Gene ID	GO	KO	KOG	ENZYME	PANTHER	PFAM
gm1.7112_g	gm1.7112_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR33778" target="_blank">PTHR33778</a>	<a href="http://pfam.xfam.org/family/PF02308" target="_blank">PF02308</a>
MicpuC2.e_gw1.8.562.1	MicpuC2.e_gw1.8.562.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0538" target="_blank">KOG0538</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.1.3.15" target="_blank">1.1.3.15</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10578" target="_blank">PTHR10578</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10578:SF65" target="_blank">PTHR10578:SF65</a>	<a href="http://pfam.xfam.org/family/PF01070" target="_blank">PF01070</a>
gm1.7192_g	gm1.7192_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">GO:0006351</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">GO:0005634</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF08711" target="_blank">PF08711</a>
gm1.7211_g	gm1.7211_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">GO:0008080</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00583" target="_blank">PF00583</a>
gm1.7235_g	gm1.7235_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0046854" target="_blank">GO:0046854</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01082" target="_blank">K01082</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG1528" target="_blank">KOG1528</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.7" target="_blank">3.1.3.7</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR20854" target="_blank">PTHR20854</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR20854:SF32" target="_blank">PTHR20854:SF32</a>	<a href="http://pfam.xfam.org/family/PF00459" target="_blank">PF00459</a>
gm1.7305_g	gm1.7305_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12446" target="_blank">K12446</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.46" target="_blank">2.7.1.46</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10457" target="_blank">PTHR10457</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10457:SF6" target="_blank">PTHR10457:SF6</a>	<a href="http://pfam.xfam.org/family/PF08544" target="_blank">PF08544</a> <a href="http://pfam.xfam.org/family/PF00288" target="_blank">PF00288</a>
gm1.7311_g	gm1.7311_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">GO:0046872</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00642" target="_blank">PF00642</a> <a href="http://pfam.xfam.org/family/PF10453" target="_blank">PF10453</a>
gm1.7319_g	gm1.7319_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0016433" target="_blank">GO:0016433</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21008" target="_blank">PTHR21008</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21008:SF0" target="_blank">PTHR21008:SF0</a>	<a href="http://pfam.xfam.org/family/PF11968" target="_blank">PF11968</a>
gm1.7354_g	gm1.7354_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.43" target="_blank">2.1.1.43</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12197" target="_blank">PTHR12197</a>	<a href="http://pfam.xfam.org/family/PF00856" target="_blank">PF00856</a>
gm1.7481_g	gm1.7481_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0071949" target="_blank">GO:0071949</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG2614" target="_blank">KOG2614</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.14.13.114" target="_blank">1.14.13.114</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR13789" target="_blank">PTHR13789</a>	<a href="http://pfam.xfam.org/family/PF01494" target="_blank">PF01494</a>
gm1.7496_g	gm1.7496_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0010181" target="_blank">GO:0010181</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0134" target="_blank">KOG0134</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22893" target="_blank">PTHR22893</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22893:SF14" target="_blank">PTHR22893:SF14</a>	<a href="http://pfam.xfam.org/family/PF00724" target="_blank">PF00724</a>
gm1.7511_g	gm1.7511_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004190" target="_blank">GO:0004190</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09595" target="_blank">K09595</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG2443" target="_blank">KOG2443</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12174" target="_blank">PTHR12174</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12174:SF42" target="_blank">PTHR12174:SF42</a>	<a href="http://pfam.xfam.org/family/PF04258" target="_blank">PF04258</a>
gm1.7538_g	gm1.7538_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008017" target="_blank">GO:0008017</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">GO:0007018</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">GO:0003777</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005871" target="_blank">GO:0005871</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10392" target="_blank">K10392</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.4.4" target="_blank">3.6.4.4</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24115" target="_blank">PTHR24115</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24115:SF546" target="_blank">PTHR24115:SF546</a>	<a href="http://pfam.xfam.org/family/PF00498" target="_blank">PF00498</a> <a href="http://pfam.xfam.org/family/PF00225" target="_blank">PF00225</a>
gm1.7590_g	gm1.7590_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0019752" target="_blank">GO:0019752</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004451" target="_blank">GO:0004451</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.8.23" target="_blank">2.7.8.23</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21631" target="_blank">PTHR21631</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21631:SF12" target="_blank">PTHR21631:SF12</a>	<a href="http://pfam.xfam.org/family/PF00463" target="_blank">PF00463</a>
gm1.7714_g	gm1.7714_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0003697" target="_blank">GO:0003697</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR33905" target="_blank">PTHR33905</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR33905:SF1" target="_blank">PTHR33905:SF1</a>	<a href="http://pfam.xfam.org/family/PF15490" target="_blank">PF15490</a>
gm1.7763_g	gm1.7763_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0030150" target="_blank">GO:0030150</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005742" target="_blank">GO:0005742</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF08038" target="_blank">PF08038</a>
gm1.7834_g	gm1.7834_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">GO:0006629</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.5" target="_blank">3.1.1.5</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR14226" target="_blank">PTHR14226</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR14226:SF29" target="_blank">PTHR14226:SF29</a>	<a href="http://pfam.xfam.org/family/PF01734" target="_blank">PF01734</a>
gm1.7874_g	gm1.7874_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">GO:0008270</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24103" target="_blank">PTHR24103</a>	<a href="http://pfam.xfam.org/family/PF13639" target="_blank">PF13639</a> <a href="http://pfam.xfam.org/family/PF12796" target="_blank">PF12796</a>
gm1.7954_g	gm1.7954_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">GO:0008270</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17808" target="_blank">K17808</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR20922" target="_blank">PTHR20922</a>	<a href="http://pfam.xfam.org/family/PF05180" target="_blank">PF05180</a>
gm1.7960_g	gm1.7960_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0009041" target="_blank">GO:0009041</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006221" target="_blank">GO:0006221</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09903" target="_blank">K09903</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.4.22" target="_blank">2.7.4.22</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21499" target="_blank">PTHR21499</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21499:SF23" target="_blank">PTHR21499:SF23</a>	<a href="http://pfam.xfam.org/family/PF00696" target="_blank">PF00696</a>
gm1.7964_g	gm1.7964_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00612" target="_blank">PF00612</a>
gm1.8008_g	gm1.8008_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">GO:0008270</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18932" target="_blank">K18932</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.225" target="_blank">2.3.1.225</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22883" target="_blank">PTHR22883</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22883:SF59" target="_blank">PTHR22883:SF59</a>	<a href="http://pfam.xfam.org/family/PF01529" target="_blank">PF01529</a>
gm1.8014_g	gm1.8014_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">GO:0003700</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007275" target="_blank">GO:0007275</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR32467" target="_blank">PTHR32467</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR32467:SF15" target="_blank">PTHR32467:SF15</a>	<a href="http://pfam.xfam.org/family/PF00847" target="_blank">PF00847</a>
gm1.8033_g	gm1.8033_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">GO:0006629</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13076" target="_blank">K13076</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG4232" target="_blank">KOG4232</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR19353" target="_blank">PTHR19353</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR19353:SF20" target="_blank">PTHR19353:SF20</a>	<a href="http://pfam.xfam.org/family/PF00173" target="_blank">PF00173</a> <a href="http://pfam.xfam.org/family/PF00487" target="_blank">PF00487</a>
gm1.8074_g	gm1.8074_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01388" target="_blank">PF01388</a>
gm1.8075_g	gm1.8075_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">GO:0008270</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.43" target="_blank">2.1.1.43</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23336" target="_blank">PTHR23336</a>	<a href="http://pfam.xfam.org/family/PF07496" target="_blank">PF07496</a>
gm1.8090_g	gm1.8090_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0006310" target="_blank">GO:0006310</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03652" target="_blank">PF03652</a>
gm1.8091_g	gm1.8091_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0006310" target="_blank">GO:0006310</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13297" target="_blank">PF13297</a> <a href="http://pfam.xfam.org/family/PF03652" target="_blank">PF03652</a>
gm1.8130_g	gm1.8130_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10264" target="_blank">PTHR10264</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10264:SF46" target="_blank">PTHR10264:SF46</a>	<a href="http://pfam.xfam.org/family/PF01145" target="_blank">PF01145</a>
gm1.8174_g	gm1.8174_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">GO:0008080</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00670" target="_blank">K00670</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG3139" target="_blank">KOG3139</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.88" target="_blank">2.3.1.88</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23091" target="_blank">PTHR23091</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23091:SF66" target="_blank">PTHR23091:SF66</a>	<a href="http://pfam.xfam.org/family/PF00583" target="_blank">PF00583</a>
gm1.8183_g	gm1.8183_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">GO:0003723</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07575" target="_blank">K07575</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG2523" target="_blank">KOG2523</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22798" target="_blank">PTHR22798</a>	<a href="http://pfam.xfam.org/family/PF01472" target="_blank">PF01472</a>
MicpuC2.e_gw1.8.388.1	MicpuC2.e_gw1.8.388.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">GO:0006260</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">GO:0005634</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10736" target="_blank">K10736</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR13454" target="_blank">PTHR13454</a>	<a href="http://pfam.xfam.org/family/PF09329" target="_blank">PF09329</a>
gm1.8318_g	gm1.8318_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003678" target="_blank">GO:0003678</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.4.12" target="_blank">3.6.4.12</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11093" target="_blank">PTHR11093</a>	<a href="http://pfam.xfam.org/family/PF06068" target="_blank">PF06068</a>
MicpuC2.e_gw1.8.150.1	MicpuC2.e_gw1.8.150.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003678" target="_blank">GO:0003678</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04499" target="_blank">K04499</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.4.12" target="_blank">3.6.4.12</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11093" target="_blank">PTHR11093</a>	<a href="http://pfam.xfam.org/family/PF06068" target="_blank">PF06068</a>
gm1.8388_g	gm1.8388_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015693" target="_blank">GO:0015693</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015095" target="_blank">GO:0015095</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12570" target="_blank">PTHR12570</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12570:SF12" target="_blank">PTHR12570:SF12</a>	<a href="http://pfam.xfam.org/family/" target="_blank"></a>
gm1.8478_g	gm1.8478_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0032012" target="_blank">GO:0032012</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005086" target="_blank">GO:0005086</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10663" target="_blank">PTHR10663</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10663:SF189" target="_blank">PTHR10663:SF189</a>	<a href="http://pfam.xfam.org/family/PF12783" target="_blank">PF12783</a> <a href="http://pfam.xfam.org/family/PF01369" target="_blank">PF01369</a>
gm1.8562_g	gm1.8562_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">GO:0003676</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24012" target="_blank">PTHR24012</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24012:SF410" target="_blank">PTHR24012:SF410</a>	<a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a>
gm1.8592_g	gm1.8592_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GO:0005525</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06942" target="_blank">K06942</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23305" target="_blank">PTHR23305</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23305:SF11" target="_blank">PTHR23305:SF11</a>	<a href="http://pfam.xfam.org/family/PF01926" target="_blank">PF01926</a> <a href="http://pfam.xfam.org/family/PF06071" target="_blank">PF06071</a>
gm1.8695_g	gm1.8695_g	<a href="http://amigo.geneontology.org/amigo/term/GO:0019236" target="_blank">GO:0019236</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007186" target="_blank">GO:0007186</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF10192" target="_blank">PF10192</a>
