Gene ID	GO	KO	KOG	PANTHER	PFAM
Cz05g13020	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02938	KOG2309	PTHR13691 PTHR13691:SF16	PF00181 PF03947
Cz05g13090	GO:0005515 GO:0003723 GO:0016070 GO:0051028 GO:0045292 GO:0005846 GO:0000339	K12882	KOG1104	PTHR12412	PF02854 PF09090 PF09088
Cz05g13110	GO:0046872 GO:0006468 GO:0004672 GO:0006397 GO:0004540	K08852	KOG1027	PTHR13954 PTHR13954:SF6	PF13360 PF00642 PF07714 PF06479
Cz05g13170	GO:0019898 GO:0015979 GO:0009654 GO:0009523 GO:0005509			PTHR33399 PTHR33399:SF3	PF05757
Cz05g13180	GO:0005739 GO:0004408	K01764	KOG3996	PTHR12743 PTHR12743:SF0	PF01265
Cz05g13190	GO:0006260 GO:0005634	K10733	KOG4071	PTHR12772	PF05916
Cz05g13210	GO:0005515	K03254		PTHR14005	PF01399
Cz05g13260	GO:0009052 GO:0004751		KOG3075	PTHR11934	PF06026
Cz05g14010	GO:0055114 GO:0051536 GO:0016651 GO:0016491	K03934		PTHR11615 PTHR11615:SF115	PF09326 PF10588 PF00384
Cz05g14050	GO:0030170		KOG0053	PTHR11808	PF10497 PF01053
Cz05g14080	GO:0016021 GO:0008233 GO:0006465 GO:0005787	K12947	KOG4072	PTHR13085	PF06703
Cz05g14090	GO:0005515 GO:0003723	K14327		PTHR12839	PF04050 PF02854
Cz05g14110	GO:0006281 GO:0003684			PTHR11076	PF11799
Cz05g14120	GO:0006281	K03509		PTHR11076 PTHR11076:SF38	PF00817
Cz05g14160	GO:0015074			PTHR24559 PTHR24559:SF174	PF03732 PF08284 PF00665
Cz05g14190	GO:0005975 GO:0004553				PF00150
Cz05g15020	GO:0032039 GO:0016180	K13146	KOG1138	PTHR11203 PTHR11203:SF2	PF10996
Cz05g15070	GO:0016021 GO:0015693 GO:0015095		KOG2922	PTHR12570 PTHR12570:SF9	PF05653
Cz05g15090	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG0500	PTHR10217	PF00027 PF00520
Cz05g15120	GO:0020037 GO:0009055	K08738	KOG3453	PTHR11961	PF00034
Cz05g15130	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10394		PTHR24115 PTHR24115:SF518	PF00225
Cz05g15140	GO:0005515	K10752		PTHR22850 PTHR22850:SF82	PF00400 PF12265
Cz05g15180	GO:0034457 GO:0006364 GO:0005732 GO:0005634			PTHR17039 PTHR17039:SF0	PF04006
Cz05g15190	GO:0034457 GO:0006364 GO:0005732 GO:0005634	K14559		PTHR17039	PF04006
Cz05g15220	GO:0016021			PTHR14255 PTHR14255:SF3	PF01925
Cz05g15230	GO:0016021			PTHR14255 PTHR14255:SF3	PF01925
Cz05g15290	GO:0006281 GO:0003904		KOG0133	PTHR10211 PTHR10211:SF0	PF03441 PF00875
Cz05g16010	GO:0006950				PF00582
Cz05g16020	GO:0005525	K06942	KOG1491	PTHR23305 PTHR23305:SF12	PF01926 PF06071
Cz05g16070	GO:0055085 GO:0016021	K07300	KOG1397	PTHR31503	PF01699
Cz05g16080	GO:0046872 GO:0005524 GO:0046488 GO:0016307		KOG0230	PTHR11353 PTHR11353:SF57	PF01363 PF00118 PF01504
Cz05g16110	GO:0046872	K15308		PTHR12506	PF00642
Cz05g16120	GO:0051539 GO:0009451 GO:0003824 GO:0051536			PTHR11918 PTHR11918:SF43	PF00919 PF04055
Cz05g16140	GO:0005515 GO:0005525	K06942	KOG2551	PTHR23305 PTHR23305:SF1	PF05773 PF01926 PF08438 PF03959
Cz05g16150	GO:0034715 GO:0034709 GO:0006884 GO:0006821 GO:0005886 GO:0005829 GO:0000387	K05019		PTHR21399	PF03517
Cz05g16160	GO:0003723 GO:0006418 GO:0005524 GO:0004812 GO:0000166 GO:0004831	K01866	KOG2623	PTHR11766 PTHR11766:SF0	PF01479 PF00579
Cz05g16180	GO:0046034 GO:0033178 GO:0015991 GO:0005524	K02145		PTHR15184 PTHR15184:SF7	PF02874 PF00306 PF16886 PF00006
Cz05g16200	GO:0006352 GO:0005669	K03126		PTHR12264	PF03847
Cz05g16210	GO:0007010 GO:0003779			PTHR11977	PF02209
Cz05g16230	GO:0016020 GO:0015269 GO:0006813	K04936		PTHR10027 PTHR10027:SF10	PF07885 PF03493
Cz05g16240	GO:0006457	K01802	KOG0544	PTHR10516 PTHR10516:SF264	PF00254
Cz05g16250	GO:0016301	K04718	KOG1116	PTHR12358 PTHR12358:SF31	PF00781
Cz05g17050	GO:0016787				PF00149
Cz05g17060	GO:0016887 GO:0005524 GO:0055085 GO:0042626 GO:0016021 GO:0006810	K05665		PTHR24223	PF00005 PF00664
Cz05g17070	GO:0016567 GO:0004842 GO:0006468 GO:0005524 GO:0004672		KOG1187	PTHR27003	PF04564 PF12796 PF00069
Cz05g17080	GO:0016787				PF00293
Cz05g17090	GO:0044237			PTHR10233	PF01008
Cz05g17100	GO:0005515 GO:0007165 GO:0004114		KOG3689	PTHR11347	PF01590 PF00233
Cz05g17110	GO:0006468 GO:0004672		KOG0192	PTHR23257	PF07714
Cz05g17130	GO:0016301			PTHR12358 PTHR12358:SF43	PF00781
Cz05g17140	GO:0016787			PTHR11383	PF09296 PF00293 PF05005
Cz05g17150	GO:0045454		KOG0907	PTHR11349 PTHR11349:SF65	PF00085
Cz05g17180	GO:0009058 GO:0003824	K00967	KOG2803	PTHR10739 PTHR10739:SF29	PF01467
Cz05g17190	GO:0004425	K01609	KOG4201	PTHR22854 PTHR22854:SF10	PF00218
Cz05g17200	GO:0008168			PTHR22808 PTHR22808:SF3	PF01189
Cz05g17260	GO:0051205 GO:0016021	K03217		PTHR12428 PTHR12428:SF19	PF02096
Cz05g18040	GO:0006468 GO:0004672			PTHR23257 PTHR23257:SF490	PF07714
Cz05g18050	GO:0006468 GO:0005524 GO:0004672			PTHR23257 PTHR23257:SF490	PF00069
Cz05g18060	GO:0051082 GO:0031072	K03686	KOG0715	PTHR24078 PTHR24078:SF315	PF00226 PF00684 PF01556
Cz05g18070	GO:0006506 GO:0005789			PTHR28650	PF08320
Cz05g18100	GO:0005737	K14801	KOG2061	PTHR12298	PF04194
Cz05g18120	GO:0055114 GO:0008137	K03936	KOG1713	PTHR10884 PTHR10884:SF10	PF00329
Cz05g18150	GO:0006412 GO:0005840 GO:0003735	K02926		PTHR10746	PF00573
Cz05g18160	GO:0008536 GO:0006886 GO:0005515	K18752		PTHR10527 PTHR10527:SF3	PF03810 PF13513 PF02985
Cz05g18170	GO:0055114 GO:0016491 GO:0008152	K00294	KOG2451	PTHR11699 PTHR11699:SF148	PF00171
Cz05g18190	GO:0042254 GO:0005622	K02941	KOG0815	PTHR21141 PTHR21141:SF3	PF00466 PF00428
Cz05g18200	GO:0003682 GO:0005515 GO:0005524	K02603	KOG1514	PTHR10763 PTHR10763:SF23	PF01426 PF00628 PF00004
Cz05g18240	GO:0005515				PF00646
Cz05g18280	GO:0055085 GO:0016021		KOG1330	PTHR23505 PTHR23505:SF12	PF07690
Cz05g19020	GO:0005515	K12865		PTHR21737 PTHR21737:SF3	PF00397
Cz05g19050	GO:0005515	K04508	KOG0277	PTHR22846	PF00400
Cz05g19060	GO:0033177 GO:0015991 GO:0015078	K03661	KOG0233	PTHR10263 PTHR10263:SF18	PF00137
Cz05g19070	GO:0003824 GO:0006470 GO:0004722	K17506	KOG0698	PTHR13832 PTHR13832:SF352	PF00481
Cz05g19090	GO:0006468 GO:0004672	K13412	KOG0032	PTHR24349 PTHR24349:SF84	PF07714
Cz05g19100	GO:0006412 GO:0005840 GO:0003735			PTHR11661	PF00298
Cz05g19110	GO:0006412 GO:0005840 GO:0003735	K02870		PTHR11661 PTHR11661:SF6	PF03946
Cz05g19120	GO:0006568 GO:0004834	K01695	KOG4175	PTHR10314 PTHR10314:SF88	PF00290
Cz05g19140	GO:0016021			PTHR13439 PTHR13439:SF0	PF03798
Cz05g19200	GO:0031167 GO:0008168			PTHR18895 PTHR18895:SF60	PF03602
Cz05g19220	GO:0005515	K14548	KOG2048	PTHR22847	PF00400
Cz05g19230	GO:0006457		KOG0544	PTHR10516 PTHR10516:SF179	PF00254
Cz05g19250	GO:0045040 GO:0005742			PTHR32409 PTHR32409:SF3	PF06552
Cz05g19260	GO:0016787 GO:0005524 GO:0003677 GO:0005515	K12823		PTHR24031 PTHR24031:SF255	PF04851 PF00397 PF00271
Cz05g19280	GO:0055114 GO:0046872 GO:0006801 GO:0004784	K04564	KOG0876	PTHR11404 PTHR11404:SF6	PF00081 PF02777
Cz05g19290	GO:0008270			PTHR22763 PTHR22763:SF34	PF12678
Cz05g19300	GO:0051861 GO:0046836 GO:0017089 GO:0005737		KOG3221	PTHR10219 PTHR10219:SF36	PF08718
Cz05g19310	GO:0007029 GO:0005789			PTHR20955	PF07086
Cz05g19320	GO:0005525			PTHR11649 PTHR11649:SF49	PF01926
Cz05g19340	GO:0006508 GO:0005622 GO:0004198 GO:0019205 GO:0006139 GO:0005524		KOG3078	PTHR23359 PTHR23359:SF92	PF00648 PF00406 PF00625
Cz05g20010	GO:0016874 GO:0009058 GO:0005524			PTHR23135 PTHR23135:SF16	PF02875 PF08245
Cz05g20020	GO:0016020	K17080	KOG3083	PTHR23222	PF01145
Cz05g20030	GO:0016020 GO:0008378 GO:0006486			PTHR11214	PF01762
Cz05g20040	GO:0016020 GO:0008378 GO:0006486				PF01762
Cz05g20120	GO:0003723			PTHR13389	PF00806
Cz05g20140	GO:0010181			PTHR32145 PTHR32145:SF22	PF00258 PF01613
Cz05g20150	GO:0006438 GO:0005737 GO:0005524 GO:0004832 GO:0000166 GO:0006418 GO:0004812	K01873		PTHR11946 PTHR11946:SF5	PF10458 PF00043 PF08264 PF00133
Cz05g20200	GO:0005525 GO:0003924	K01528		PTHR11566 PTHR11566:SF21	PF00169 PF01031 PF02212
Cz05g20240	GO:0005515		KOG1446 KOG0316 KOG0315 KOG4283 KOG0645 KOG0294 KOG0277 KOG0295 KOG0306 KOG0271	PTHR22844	PF00400
Cz05g21010	GO:0008168 GO:0008152			PTHR21091 PTHR21091:SF113	PF00590
Cz05g21020	GO:0055114 GO:0016491 GO:0008270		KOG0024	PTHR11695 PTHR11695:SF285	PF08240 PF16912
Cz05g21030	GO:0016787			PTHR17630 PTHR17630:SF44	PF01738
Cz05g21060	GO:0030245 GO:0008810	K18159		PTHR13194 PTHR13194:SF18	PF03425
Cz05g21070	GO:0006418 GO:0005524 GO:0004812 GO:0000166 GO:0006436 GO:0005737 GO:0004830	K01867		PTHR10055 PTHR10055:SF1	PF00579
Cz05g21190	GO:0007264 GO:0005525	K07942	KOG0070	PTHR11711	PF08477
Cz05g21210	GO:0003677			PTHR31140	PF02362
Cz05g21220	GO:0051087 GO:0042803 GO:0006457 GO:0000774	K03687		PTHR21237 PTHR21237:SF23	PF01025
Cz05g21230	GO:0005634		KOG0653	PTHR10177 PTHR10177:SF203	PF02984 PF00134
Cz05g21240	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10401	KOG4280	PTHR24115 PTHR24115:SF478	PF00225
Cz05g21310	GO:0019239 GO:0032264 GO:0003876	K01490		PTHR11359	PF00962
Cz05g22030	GO:0005525	K06207	KOG0462	PTHR23115 PTHR23115:SF14	PF00679 PF00009
Cz05g22040	GO:0016020		KOG1134	PTHR13018 PTHR13018:SF5	PF02714
Cz05g22050	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG0500	PTHR10217	PF00520
Cz05g22110	GO:0016787		KOG1378	PTHR22953 PTHR22953:SF18	PF14008 PF00149 PF16656
Cz05g22130	GO:0006412 GO:0005840 GO:0003735 GO:0015934	K02872		PTHR11545 PTHR11545:SF3	
Cz05g23010	GO:0051745 GO:0050992 GO:0046872 GO:0019288	K03527		PTHR31619 PTHR31619:SF2	PF02401
Cz05g23020	GO:0055114 GO:0020037 GO:0006979 GO:0004601	K00430		PTHR31388 PTHR31388:SF41	PF00141
Cz05g23040	GO:0055114 GO:0050660 GO:0016491 GO:0003824	K18204		PTHR11748 PTHR11748:SF90	PF01565 PF02913
Cz05g23090	GO:0005515 GO:0005634 GO:0003677			PTHR31251 PTHR31251:SF1	PF07707 PF00651 PF03110
Cz05g23120	GO:0008152 GO:0003824	K00142	KOG1176	PTHR24096 PTHR24096:SF190	PF13193 PF13360 PF00501
Cz05g23130	GO:0016226 GO:0008199	K19054	KOG3413	PTHR16821	PF01491
Cz05g23150	GO:0030170 GO:0019752 GO:0016831	K01634	KOG1383	PTHR11999 PTHR11999:SF5	PF00282
Cz05g23180	GO:0006284			PTHR15074 PTHR15074:SF0	PF00730 PF13086
Cz05g23220	GO:0005524 GO:0003676	K12835		PTHR24031 PTHR24031:SF125	PF00271 PF00270
Cz05g24020	GO:0070403	K11414	KOG2683	PTHR11085 PTHR11085:SF6	PF02146
Cz05g24030	GO:0006556 GO:0004478 GO:0005524	K00789		PTHR11964	PF02772 PF00438 PF02773
Cz05g24060	GO:0008408 GO:0006139 GO:0003676 GO:0006260 GO:0003887 GO:0003677	K02335		PTHR10133 PTHR10133:SF34	PF01612 PF00476
Cz05g24070	GO:0005524 GO:0003676	K14777		PTHR24031 PTHR24031:SF78	PF00271 PF00270
Cz05g24090	GO:0005524 GO:0003676	K14811		PTHR24031 PTHR24031:SF320	PF00271 PF00270
Cz05g24100	GO:0006468 GO:0004672		KOG0032	PTHR24349	PF07714
Cz05g24110	GO:0008270	K18417	KOG0542	PTHR23044	PF06839 PF00929
Cz05g24120	GO:0006629			PTHR12406 PTHR12406:SF27	PF01734
Cz05g24160	GO:0005815 GO:0000922 GO:0000226	K16569	KOG2001	PTHR19302 PTHR19302:SF13	PF04130
Cz05g24170	GO:0005524	K10756	KOG0990	PTHR11669 PTHR11669:SF9	PF00004 PF08542
Cz05g24180	GO:0016157 GO:0005985	K00696	KOG0853	PTHR12526 PTHR12526:SF360	PF00862 PF00534
Cz05g24200	GO:0005515		KOG0005	PTHR41749 PTHR41749:SF1	PF00240
Cz05g24220	GO:0016192 GO:0006886			PTHR12616	PF00637 PF12816
Cz05g24230	GO:0071949		KOG2614	PTHR13789 PTHR13789:SF216	PF01494
Cz05g24240	GO:0016787 GO:0005524 GO:0003677	K11647		PTHR10799 PTHR10799:SF577	PF04851 PF00271
Cz05g25030	GO:0016787	K18453		PTHR22769 PTHR22769:SF3	PF14803 PF00293
Cz05g25040	GO:0003676		KOG0114	PTHR24012 PTHR24012:SF491	PF00076
Cz05g25060	GO:0008171		KOG3178	PTHR11746	PF00891
Cz05g25080	GO:0016020 GO:0015031			PTHR10906 PTHR10906:SF2	PF00344
Cz05g25100	GO:0055114 GO:0020037 GO:0016705 GO:0005506		KOG0157	PTHR24305	PF00067
Cz05g25160	GO:0006508 GO:0004222			PTHR10120 PTHR10120:SF21	PF01435
Cz05g25180	GO:0016887 GO:0005524	K03924		PTHR32204	PF07728
Cz05g25190	GO:0034464	K16746		PTHR20870 PTHR20870:SF0	PF14779
Cz05g25220	GO:0055085 GO:0016020 GO:0006811 GO:0005216			PTHR10582	PF00520
Cz05g25260	GO:0016887 GO:0005524 GO:0016020			PTHR19241	PF08370 PF00005 PF01061
Cz05g26010	GO:0016042 GO:0003847	K01062	KOG3847	PTHR10272	PF12695
Cz05g26030	GO:0008234 GO:0006508			PTHR12411 PTHR12411:SF101	PF00112
Cz05g26040	GO:0055114 GO:0046872 GO:0016702	K15718 K00454		PTHR11771 PTHR11771:SF42	PF00305
Cz05g26050	GO:0055114 GO:0046872 GO:0016702			PTHR11771 PTHR11771:SF60	PF00305
Cz05g26060	GO:0032259 GO:0008168			PTHR13600 PTHR13600:SF12	PF04072
Cz05g26070	GO:0003824	K01853		PTHR11764 PTHR11764:SF20	PF00432
Cz05g26080	GO:0005515	K17868	KOG0280	PTHR22850	PF00400
Cz05g26140	GO:0006508 GO:0004185			PTHR11802 PTHR11802:SF30	PF00450
Cz05g26170	GO:0003924 GO:0007017 GO:0005874 GO:0031122 GO:0007020 GO:0000930	K10389		PTHR11588 PTHR11588:SF7	PF00091 PF03953
Cz05g26180	GO:0006468 GO:0005524 GO:0004672	K17541	KOG2137	PTHR12984 PTHR12984:SF6	PF00069
Cz05g27010	GO:0006508 GO:0004252				PF00089
Cz05g27040	GO:0008270				PF12906
Cz05g27050	GO:0006508 GO:0005524 GO:0004222		KOG0737	PTHR23076	PF01434 PF00004
Cz05g27060	GO:0051287	K18121	KOG0409	PTHR22981 PTHR22981:SF53	PF03807 PF14833
Cz05g27090	GO:0006415 GO:0003747 GO:0016149 GO:0005737	K02836	KOG2726	PTHR11075 PTHR11075:SF46	PF00472 PF03462
Cz05g27140	GO:0046872			PTHR23328	PF00097
Cz05g27150	GO:0003723 GO:0006396	K11131		PTHR23127	PF01472 PF16198 PF01509 PF08068
Cz05g27160	GO:0006468 GO:0004672		KOG0198	PTHR24362	PF07714
Cz05g27200	GO:0008168	K15264		PTHR22807 PTHR22807:SF4	PF01189
Cz05g27220	GO:0005515	K05302		PTHR13271	PF00856
Cz05g27250	GO:0055114 GO:0020037 GO:0016705 GO:0005506		KOG0157	PTHR24305	PF00067
Cz05g27260	GO:0055114 GO:0008113 GO:0030091 GO:0016671 GO:0006979	K07304	KOG1635	PTHR10173 PTHR10173:SF30	PF01625
Cz05g27270	GO:0005515	K18726	KOG1363	PTHR23322 PTHR23322:SF1	PF14555 PF00789
Cz05g28010	GO:0050662 GO:0003824			PTHR10366 PTHR10366:SF267	PF01370
Cz05g28080	GO:0008270 GO:0006508 GO:0004181			PTHR11705 PTHR11705:SF81	PF00246
Cz05g28120	GO:0055085 GO:0016021	K08193	KOG2532	PTHR11662 PTHR11662:SF282	PF07690
Cz05g28130	GO:0016746 GO:0008152	K00627	KOG0557	PTHR23151 PTHR23151:SF61	PF02817 PF00364 PF00198
Cz05g28150	GO:0016746 GO:0008152	K09699	KOG0558	PTHR23151 PTHR23151:SF71	PF02817 PF00364 PF00198
Cz05g28210	GO:0007076	K11491	KOG0413	PTHR14222 PTHR14222:SF1	PF12765 PF12717
Cz05g28260	GO:0006464			PTHR12241	PF03133
Cz05g28290	GO:0008270	K10661		PTHR13145	PF12906
Cz05g28320	GO:0005975 GO:0004553	K19355		PTHR31451	PF00150
Cz05g29010	GO:0008168	K06970	KOG2912	PTHR13393 PTHR13393:SF0	PF05971
Cz05g29050	GO:0006412 GO:0005840 GO:0003735				PF01165
Cz05g29070	GO:0046961 GO:0046933 GO:0045261 GO:0015986	K02134	KOG1758	PTHR13822 PTHR13822:SF7	PF02823
Cz05g29090	GO:0030983 GO:0006298 GO:0005524	K08735		PTHR11361 PTHR11361:SF35	PF05190 PF05188 PF05192 PF00488
Cz05g29110	GO:0005515	K14863	KOG0313	PTHR19855 PTHR19855:SF11	PF08154 PF00400
Cz05g29140	GO:0005515	K00592	KOG1337	PTHR13271 PTHR13271:SF29	PF00856 PF09273
Cz05g29160	GO:0006629 GO:0004806	K14674	KOG2214	PTHR14226 PTHR14226:SF30	PF01734 PF11815
Cz05g29190	GO:0003824			PTHR12320	PF07228
Cz05g29200	GO:0005515 GO:0055114 GO:0046872 GO:0016702			PTHR11771	PF01477
Cz05g29230	GO:0005515			PTHR22904	PF00515 PF13414
Cz05g29260	GO:0016020			PTHR36116 PTHR36116:SF1	PF02694
Cz05g29270	GO:0008173 GO:0006396 GO:0003723				PF00588
Cz05g29280	GO:0005515 GO:0016773	K14544	KOG2381	PTHR10666 PTHR10666:SF90	PF00240 PF00454
Cz05g29290	GO:0005515			PTHR26312 PTHR26312:SF66	PF13181 PF13414
Cz05g30060	GO:0008152 GO:0003824	K01897		PTHR24096 PTHR24096:SF221	PF13193 PF00501
Cz05g30100	GO:0005515 GO:0016787 GO:0008152	K15428	KOG2276	PTHR11014 PTHR11014:SF82	PF07687 PF13230 PF00400 PF01546
Cz05g30110	GO:0006760 GO:0004150	K01633			PF02152
Cz05g30120	GO:0006760 GO:0004150	K01633		PTHR20941	PF02152
Cz05g30150	GO:0005515 GO:0006396 GO:0004525 GO:0003723			PTHR14950	PF02170 PF00636
Cz05g31010	GO:0070652 GO:0051225				PF14735
Cz05g31020	GO:0070652 GO:0051225				PF14735
Cz05g31040	GO:0071949		KOG2614	PTHR13789	PF01494
Cz05g31090	GO:0008124 GO:0006729		KOG4073	PTHR12599 PTHR12599:SF8	PF01329
Cz05g31100	GO:0009058 GO:0003824	K02201		PTHR10695	PF01467
Cz05g31140	GO:0008270 GO:0003676	K13107		PTHR23139	PF05180 PF00076
Cz05g31150	GO:0006351 GO:0003899 GO:0003677 GO:0008270 GO:0005634	K02999		PTHR19376 PTHR19376:SF11	PF04997 PF05000 PF04983 PF00623 PF04998
Cz05g31160	GO:0006351 GO:0003899 GO:0003677 GO:0008270 GO:0005634			PTHR19376 PTHR19376:SF11	PF04997
Cz05g31230	GO:0006189	K11808	KOG2835	PTHR11609 PTHR11609:SF5	PF13535 PF00731
Cz05g31250	GO:0016020 GO:0006810 GO:0005215		KOG0223	PTHR19139 PTHR19139:SF180	PF00230
Cz05g31260	GO:0004386	K14780		PTHR18934 PTHR18934:SF99	PF00271 PF04408 PF07717
Cz05g32010	GO:0045454 GO:0015035 GO:0009055	K03676	KOG1752	PTHR10168 PTHR10168:SF112	PF00462
Cz05g32060	GO:0006412 GO:0005840 GO:0003735				PF01165
Cz05g32070	GO:0006281	K10895		PTHR21818 PTHR21818:SF0	PF14678
Cz05g32080	GO:0006281			PTHR21818 PTHR21818:SF0	PF14676 PF14680
Cz05g32090	GO:0006281			PTHR21818 PTHR21818:SF0	PF14675
Cz05g32110	GO:0006366	K03127	KOG3901	PTHR11380	PF02269
Cz05g32120	GO:0016021 GO:0006486 GO:0005783 GO:0004579	K12666		PTHR21049	PF04597
Cz05g32130	GO:0016021 GO:0006486 GO:0005783 GO:0004579	K12666		PTHR21049 PTHR21049:SF0	PF04597
Cz05g32150	GO:0008270			PTHR23012 PTHR23012:SF84	PF12906
Cz05g32210	GO:0005515		KOG2370	PTHR21737 PTHR21737:SF4	PF10312 PF09732
Cz05g32220	GO:0016740 GO:0009058			PTHR31480 PTHR31480:SF2	PF00494
Cz05g32230	GO:0016740 GO:0009058	K02291		PTHR31480 PTHR31480:SF2	PF00494
Cz05g32240	GO:0016021			PTHR21347 PTHR21347:SF0	PF05602
Cz05g32250	GO:0016021			PTHR21347	PF05602
Cz05g32260	GO:0016567 GO:0004842			PTHR13931	PF04564
Cz05g32270	GO:0034450 GO:0016567 GO:0006511 GO:0000151 GO:0005515			PTHR13363 PTHR13363:SF1	PF10408 PF00622
Cz05g32300	GO:0019239		KOG1097	PTHR11409 PTHR11409:SF41	PF00962
Cz05g33010	GO:0005515		KOG0472	PTHR23155	PF13855
Cz05g33020	GO:0008270				PF00569
Cz05g33040	GO:0016021		KOG2569	PTHR21229 PTHR21229:SF2	PF06814
Cz05g33090	GO:0016567 GO:0004842	K16280		PTHR10857 PTHR10857:SF11	PF04564 PF07002
Cz05g33180	GO:0032259 GO:0008168	K15451	KOG2918	PTHR13600 PTHR13600:SF6	PF04072
Cz05g33190	GO:0042546 GO:0016020 GO:0008107				PF03254
Cz05g33210	GO:0016887 GO:0005524 GO:0006508 GO:0004222	K03798		PTHR23076 PTHR23076:SF70	PF07728 PF01434
Cz05g34010	GO:0006614 GO:0005525 GO:0006886 GO:0005785 GO:0005047 GO:0003924	K13431		PTHR11564 PTHR11564:SF16	PF02881 PF04086 PF00448
Cz05g34020	GO:0006468 GO:0004672		KOG0583	PTHR24343 PTHR24343:SF167	PF07714
Cz05g34030	GO:0008270 GO:0005515	K10601		PTHR22763 PTHR22763:SF25	PF13639
Cz05g34090	GO:0030244 GO:0016866	K13379		PTHR31682 PTHR31682:SF3	PF03214
Cz05g34110	GO:0008168 GO:0008152				PF08241
Cz05g34130	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10393		PTHR24115 PTHR24115:SF410	PF00225
Cz05g34160	GO:0055114 GO:0016620	K00134	KOG0657	PTHR10836	PF00044 PF02800
Cz05g34170	GO:0003824	K01640		PTHR10277 PTHR10277:SF40	PF00682
Cz05g34180	GO:0046933 GO:0015986	K02113	KOG1662	PTHR11910 PTHR11910:SF7	PF00213
Cz05g34190	GO:0005515	K07393	KOG2903	PTHR32419	PF13409 PF13410
Cz05g34230	GO:0006470 GO:0004725	K18078	KOG1720	PTHR23339 PTHR23339:SF25	PF00102
Cz05g34240	GO:0008152 GO:0003824	K00826	KOG0975	PTHR11825 PTHR11825:SF44	PF01063
Cz05g34260	GO:0006506 GO:0004584	K07542	KOG2647	PTHR12468 PTHR12468:SF2	PF04188
Cz05g34270	GO:0030976 GO:0003824 GO:0000287	K01652		PTHR18968 PTHR18968:SF112	PF02775 PF00205 PF02776
Cz05g34280	GO:0006412 GO:0005840 GO:0003735	K02866	KOG0857	PTHR11726 PTHR11726:SF15	PF00252
Cz05g35010	GO:0005515	K16462		PTHR21715 PTHR21715:SF0	PF00397
Cz05g35020	GO:0055085 GO:0042626 GO:0016021 GO:0006810 GO:0005524	K05656		PTHR24221	PF13191 PF00664
Cz05g35040	GO:0005515			PTHR10774	PF17047 PF00168
Cz05g35060	GO:0016020	K07052		PTHR10794 PTHR10794:SF53	PF02517
Cz05g35070	GO:0008168 GO:0006479	K11434	KOG1499	PTHR11006	PF13847
Cz05g35120	GO:0005515				PF13417
Cz05g35130	GO:0005515 GO:0019205 GO:0006139 GO:0005524	K00939		PTHR23359 PTHR23359:SF105	PF13417 PF05186 PF00406
Cz05g35150	GO:0005515			PTHR13271	PF00856 PF09273
Cz05g35170	GO:0016787 GO:0005524 GO:0004003 GO:0003677			PTHR11070 PTHR11070:SF2	PF13361
Cz05g35180	GO:0016787 GO:0005524 GO:0004003 GO:0003677	K03657		PTHR11070	PF13245 PF13361
Cz05g35190	GO:0006468 GO:0005524 GO:0004672	K08857	KOG0580 KOG0192	PTHR24361 PTHR24361:SF311	PF00069
Cz05g35200	GO:0055085 GO:0016020 GO:0006811 GO:0005216			PTHR10217	PF00027 PF00520
Cz05g35210	GO:0016301 GO:0008152 GO:0005524	K15918	KOG2878	PTHR10285 PTHR10285:SF78	PF00485
Cz05g35230	GO:0005515	K15627		PTHR23153 PTHR23153:SF35	PF00789 PF11470
Cz05g36010	GO:0005524	K15710	KOG0298	PTHR10799 PTHR10799:SF695	PF00271 PF00176
Cz05g36030	GO:0015979 GO:0009538 GO:0009522	K02692		PTHR31982 PTHR31982:SF4	PF02531
Cz05g36040	GO:0016987 GO:0006355 GO:0006352 GO:0003700 GO:0003677			PTHR30603 PTHR30603:SF0	PF04539 PF04542 PF04545
Cz05g36060	GO:0005506			PTHR10909 PTHR10909:SF340	PF00301
Cz05g36080	GO:0003677				PF01342
Cz05g36100	GO:0016020			PTHR10926	PF03381
Cz05g36130	GO:0051205 GO:0016021	K03217		PTHR12428 PTHR12428:SF19	PF02096
Cz05g36140	GO:0055114 GO:0016491			PTHR10209 PTHR10209:SF144	PF03171
Cz05g36210	GO:0016021 GO:0005783	K04710		PTHR12560	PF03798
Cz05g36250	GO:0005515			PTHR13271 PTHR13271:SF25	PF00856 PF09273
Cz05g36260	GO:0005515		KOG4579	PTHR23155	PF13855
Cz05g36270	GO:0006468 GO:0004672			PTHR23257	PF07714
Cz05g36280	GO:0006468 GO:0004672			PTHR23257	PF07714
Cz05g36290	GO:0031668 GO:0019789 GO:0016925 GO:0016049 GO:0005634			PTHR10782 PTHR10782:SF34	PF14324
Cz05g36300	GO:0019205 GO:0006139 GO:0005524			PTHR23359 PTHR23359:SF85	PF00406
Cz05g37010	GO:0006887 GO:0000145	K07195		PTHR12542 PTHR12542:SF7	
