Gene ID	GO
Bathy02g03990	GO:0005524 GO:0016887
Bathy02g04000	GO:0005488
Bathy02g04010	GO:0055085
Bathy02g04040	GO:0043169 GO:0005975 GO:0003824
Bathy02g04060	GO:0005634
Bathy02g04070	GO:0003676
Bathy02g04090	GO:0008152 GO:0003824
Bathy02g04100	GO:0051539 GO:0055114 GO:0016491
Bathy02g04110	GO:0051258 GO:0005525 GO:0003924
Bathy02g04130	GO:0016773
Bathy02g04150	GO:0005524 GO:0016887
Bathy02g04180	GO:0003824 GO:0009396
Bathy02g04190	GO:0003677 GO:0005524 GO:0005694 GO:0003824 GO:0006259
Bathy02g04210	GO:0030246 GO:0005975 GO:0003824
Bathy02g04230	GO:0005509
Bathy02g04240	GO:0016070
Bathy02g04260	GO:0016020
Bathy02g04290	GO:0008270 GO:0055114 GO:0016491
Bathy02g04310	GO:0008146
Bathy02g04320	GO:0006801 GO:0046872 GO:0055114
Bathy02g04340	GO:0003677 GO:0006306
Bathy02g04350	GO:0005622 GO:0003676
Bathy02g04410	GO:0003887 GO:0006281 GO:0003684
Bathy02g04440	GO:0003779 GO:0005622
Bathy02g04460	GO:0045261 GO:0015986 GO:0005886 GO:0046933
Bathy02g04470	GO:0004798 GO:0005524 GO:0006233
Bathy02g04490	GO:0016021
Bathy02g04500	GO:0005488
Bathy02g04520	GO:0005515
Bathy02g04540	GO:0008152 GO:0008168
Bathy02g04550	GO:0019464
Bathy02g04570	GO:0005524 GO:0006412 GO:0004812
Bathy02g04590	GO:0005634 GO:0006355 GO:0003700
Bathy02g04600	GO:0005622
Bathy02g04620	GO:0003723 GO:0008168 GO:0006364 GO:0008033
Bathy02g04670	GO:0004518 GO:0003676
Bathy02g04700	GO:0043687 GO:0016881
Bathy02g04730	GO:0000162 GO:0004049
Bathy02g04740	GO:0008168
Bathy02g04770	GO:0008152 GO:0003824 GO:0005488
Bathy02g04790	GO:0045261 GO:0015986 GO:0046961 GO:0046933
Bathy02g04820	GO:0008152 GO:0016491
Bathy02g04840	GO:0000166
Bathy02g04880	GO:0004112
Bathy03g01620	GO:0005515
Bathy03g01640	GO:0005515
Bathy03g01660	GO:0006096 GO:0004618
Bathy03g01680	GO:0016020 GO:0006817 GO:0005315
Bathy03g01690	GO:0005634 GO:0003677
Bathy03g01700	GO:0009089 GO:0008837 GO:0005737
Bathy03g01720	GO:0000166
Bathy03g01740	GO:0005634 GO:0016458
Bathy03g01770	GO:0016491
Bathy03g01800	GO:0008138 GO:0006470
Bathy03g03250	GO:0005515
Bathy03g03260	GO:0004379
Bathy03g03290	GO:0006886 GO:0048280 GO:0005737 GO:0000139
Bathy03g03300	GO:0016787
Bathy03g03320	
Bathy03g03350	GO:0003677 GO:0006281 GO:0005524 GO:0004003
Bathy03g03360	GO:0045454
Bathy03g03400	GO:0005515
Bathy03g03440	GO:0000166
Bathy03g03460	GO:0016020
Bathy03g03490	GO:0008270 GO:0003676
Bathy03g03500	GO:0006231 GO:0004799
Bathy03g03510	GO:0008152 GO:0016491
Bathy03g03550	GO:0005515
Bathy03g03560	GO:0006486 GO:0030173 GO:0008373
Bathy03g03570	GO:0016020 GO:0006486 GO:0004576
Bathy03g03580	GO:0005509
Bathy03g03610	GO:0006486 GO:0030173 GO:0008373
Bathy03g03730	GO:0005524
Bathy03g03750	GO:0006486 GO:0030173 GO:0008373
Bathy03g03760	GO:0006508 GO:0004222
Bathy03g03780	GO:0004497 GO:0055114
Bathy03g03790	GO:0006464 GO:0003824
Bathy03g03800	GO:0008152 GO:0016491
Bathy03g03830	GO:0005515
Bathy03g03840	GO:0016021
Bathy03g03850	GO:0003824
Bathy03g03870	GO:0005515
Bathy03g03920	GO:0051537 GO:0055114 GO:0016491
Bathy03g03950	GO:0051537 GO:0055114 GO:0016491
Bathy03g03990	GO:0005515
Bathy03g04010	GO:0051537 GO:0055114 GO:0016491
Bathy03g04030	GO:0005524 GO:0004386 GO:0003676
Bathy03g04070	GO:0005515
Bathy03g04110	GO:0046872 GO:0003824
Bathy03g04130	GO:0005634
Bathy03g04170	GO:0003677 GO:0000784 GO:0000723
Bathy03g04180	GO:0005759
Bathy03g04220	GO:0005515
Bathy03g04230	GO:0009058 GO:0016740
Bathy03g04240	GO:0016853
Bathy03g04260	GO:0016020
Bathy03g04270	GO:0000166
Bathy03g04280	GO:0005524 GO:0006298 GO:0030983
Bathy03g04290	GO:0020037
Bathy03g04320	GO:0008168 GO:0032259 GO:0003676
Bathy03g04350	GO:0016491
Bathy03g04360	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy03g04370	GO:0007018 GO:0005524 GO:0003777
Bathy03g04380	GO:0003677
Bathy03g04390	GO:0006413 GO:0003743
Bathy03g04460	GO:0005515
Bathy03g04520	GO:0016020 GO:0006754 GO:0015662 GO:0005524
Bathy03g04530	GO:0043022 GO:0005840 GO:0006364
Bathy03g04540	GO:0005524 GO:0004386 GO:0003676
Bathy03g04550	GO:0003677
Bathy03g04560	GO:0005634 GO:0003677 GO:0006334 GO:0000786
Bathy03g04570	GO:0005515
Bathy03g04590	GO:0005515
Bathy03g04600	GO:0051258
Bathy03g04610	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy03g04630	GO:0003824 GO:0006367
Bathy03g04650	GO:0005524 GO:0004386 GO:0003676
Bathy03g04660	GO:0008168 GO:0006779
Bathy03g04680	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy03g04690	GO:0003677
Bathy03g04700	GO:0016787
Bathy03g04710	GO:0005515
Bathy03g04720	GO:0016849 GO:0009190 GO:0035556
Bathy03g04730	GO:0005515
Bathy03g04740	GO:0005488
Bathy03g04770	GO:0005515
Bathy03g04800	GO:0016020
Bathy03g04810	GO:0005524 GO:0004386 GO:0003676
Bathy03g04820	GO:0051020 GO:0005525 GO:0005085
Bathy03g04860	GO:0009052 GO:0004751
Bathy03g04870	GO:0006820 GO:0016021
Bathy03g04930	GO:0000166
Bathy03g04940	GO:0000166
Bathy03g04950	GO:0005634 GO:0042255
Bathy03g04970	GO:0005524 GO:0004386 GO:0003676
Bathy03g05010	GO:0046872 GO:0055114 GO:0016491
Bathy03g05020	GO:0006486 GO:0030173 GO:0008373
Bathy03g05070	GO:0005524 GO:0004386 GO:0003676
Bathy03g05110	GO:0005515
Bathy03g05160	GO:0010024 GO:0016636 GO:0055114 GO:0050897
Bathy03g05210	GO:0016020
Bathy03g05220	GO:0008652
Bathy03g05260	GO:0006457 GO:0051082 GO:0031072
Bathy03g05270	GO:0003677
Bathy03g05300	GO:0005515
Bathy03g05330	GO:0042651 GO:0015979 GO:0009654
Bathy03g05340	GO:0005515
Bathy03g05350	GO:0006486 GO:0030173 GO:0008373
Bathy03g05360	GO:0031072
Bathy03g05370	GO:0050661 GO:0006006
Bathy03g05390	GO:0008270 GO:0055114 GO:0016491
Bathy03g05420	
Bathy03g05460	GO:0045454
Bathy03g05470	GO:0019538
Bathy03g05480	GO:0055085
Bathy03g05510	GO:0009055 GO:0046872
Bathy03g05540	GO:0016021
Bathy03g05570	GO:0005515
Bathy03g05580	GO:0008152 GO:0003824 GO:0005488
Bathy03g05600	GO:0016020 GO:0055085 GO:0015238 GO:0015297 GO:0006855
Bathy03g05620	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy03g05640	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy03g05660	GO:0005515
Bathy03g05670	GO:0055085 GO:0016021 GO:0006812 GO:0008324
Bathy03g05720	GO:0016021
Bathy03g05740	GO:0000166
Bathy03g05750	GO:0015969
Bathy04g00050	GO:0008152 GO:0016491
Bathy04g00100	GO:0005524 GO:0006139 GO:0019205
Bathy04g00120	GO:0005975 GO:0003824
Bathy04g00140	GO:0016226
Bathy04g00180	GO:0006979 GO:0020037 GO:0004601 GO:0055114
Bathy04g00190	GO:0003677
Bathy04g00200	GO:0006413 GO:0003743
Bathy04g00230	GO:0016020 GO:0055085 GO:0046873 GO:0030001
Bathy04g00240	GO:0005515
Bathy04g00250	GO:0016787
Bathy04g00300	GO:0000166
Bathy04g00310	GO:0006413 GO:0003743
Bathy04g00320	GO:0005515
Bathy04g00340	GO:0016020
Bathy04g00360	GO:0008270
Bathy04g00420	GO:0005515
Bathy04g00430	GO:0006508 GO:0008270 GO:0004181
Bathy04g00440	GO:0004748 GO:0009186 GO:0055114
Bathy04g00450	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy04g00490	GO:0005515
Bathy04g00520	GO:0008121 GO:0006122
Bathy04g00550	GO:0003899
Bathy04g00600	GO:0006464 GO:0004719
Bathy04g00610	GO:0003887 GO:0003677 GO:0006260 GO:0000166
Bathy04g00630	GO:0006486 GO:0030173 GO:0008373
Bathy04g00660	GO:0005515
Bathy04g00700	GO:0006470 GO:0004725
Bathy04g00770	GO:0005524 GO:0003824
Bathy04g00780	GO:0016627 GO:0055114
Bathy04g00790	GO:0008734 GO:0055114 GO:0005737 GO:0009435
Bathy04g00800	GO:0016491
Bathy04g00810	GO:0015934 GO:0006412 GO:0003735
Bathy04g00840	GO:0010044
Bathy04g00890	GO:0007018 GO:0005524 GO:0003777
Bathy04g00910	GO:0044238 GO:0005488
Bathy04g00930	GO:0005975 GO:0003824
Bathy04g00940	GO:0008152 GO:0008168
Bathy04g00960	GO:0006457 GO:0051082 GO:0031072
Bathy04g00990	GO:0017150 GO:0050660 GO:0055114 GO:0008033
Bathy04g01000	GO:0006396
Bathy04g01020	GO:0005488
Bathy04g01040	GO:0045454
Bathy04g01050	GO:0004659 GO:0016021
Bathy04g01060	GO:0006269 GO:0003896
Bathy04g01090	GO:0005515
Bathy04g01100	GO:0005515
Bathy04g01150	GO:0055114 GO:0019288
Bathy04g01170	GO:0003676
Bathy04g01190	GO:0003677 GO:0006259 GO:0004518
Bathy04g01200	GO:0005515
Bathy04g01210	GO:0006457 GO:0003755
Bathy04g01220	GO:0006355 GO:0043565 GO:0003700 GO:0046983
Bathy04g01230	GO:0003676
Bathy04g01240	GO:0016070
Bathy04g01250	GO:0005515
Bathy04g01260	GO:0005515
Bathy04g01270	GO:0016020
Bathy04g01280	GO:0007165 GO:0004435 GO:0035556 GO:0006629
Bathy04g01290	GO:0005515
Bathy04g01300	GO:0005975 GO:0003824
Bathy04g01320	GO:0018342 GO:0008318
Bathy04g01330	GO:0016020
Bathy04g01340	GO:0008152 GO:0003824 GO:0005488
Bathy04g01350	GO:0005524 GO:0004386 GO:0003676
Bathy04g01360	GO:0031072
Bathy04g01370	GO:0016020
Bathy04g01390	GO:0005634 GO:0018024
Bathy04g01410	GO:0008233 GO:0016021 GO:0006465 GO:0005787
Bathy04g01420	GO:0004252 GO:0006508 GO:0004176
Bathy04g01450	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy04g01470	GO:0000087 GO:0006470 GO:0005622 GO:0004725
Bathy04g01480	GO:0016021
Bathy04g01490	GO:0003824 GO:0030170
Bathy04g01510	GO:0008121 GO:0055114
Bathy04g01520	GO:0007031 GO:0005778
Bathy04g01570	GO:0006457 GO:0005524 GO:0051082
Bathy04g01580	GO:0005524 GO:0016887
Bathy04g01590	GO:0006464 GO:0016881 GO:0005622
Bathy04g01610	GO:0005515
Bathy04g01630	GO:0016021
Bathy04g01670	GO:0003676
Bathy04g01730	GO:0070011 GO:0009376 GO:0005524 GO:0005737 GO:0016887
Bathy04g01740	GO:0003677 GO:0005622
Bathy04g01760	GO:0008138 GO:0006470
Bathy04g01790	GO:0005515
Bathy04g01800	GO:0003676
Bathy04g01810	GO:0016491
Bathy04g01870	GO:0005524 GO:0016887
Bathy04g01900	GO:0005524 GO:0004386 GO:0003676
Bathy04g01930	GO:0016491
Bathy04g01940	GO:0016787
Bathy04g01980	GO:0006464 GO:0016881 GO:0005622
Bathy04g01990	GO:0005515
Bathy04g02010	GO:0005515
Bathy04g02030	GO:0006886 GO:0030117 GO:0016192
Bathy04g02090	GO:0006457
Bathy04g02120	GO:0008270
Bathy04g02130	GO:0005622 GO:0005525
Bathy04g02140	GO:0005515
Bathy04g02220	GO:0006355 GO:0043565 GO:0005622 GO:0003700
Bathy04g02260	GO:0008233 GO:0016021 GO:0006465 GO:0005787
Bathy04g02290	GO:0004386
Bathy04g02310	GO:0008152 GO:0008168
Bathy04g02350	GO:0016787
Bathy04g02370	GO:0003676
Bathy04g02390	GO:0030488 GO:0016429
Bathy04g02430	
Bathy04g02440	GO:0033179 GO:0015991 GO:0015078
Bathy04g02450	GO:0007264 GO:0005525 GO:0015031
Bathy04g02460	GO:0003723
Bathy04g02470	GO:0045454
Bathy04g02480	GO:0008168
Bathy04g02500	GO:0016787
Bathy04g02510	GO:0005525 GO:0003924
Bathy04g02530	GO:0006457 GO:0005524 GO:0051082
Bathy04g02540	GO:0005198 GO:0009507
Bathy04g02550	GO:0016787
Bathy04g02560	GO:0008152 GO:0016491
Bathy04g02570	GO:0003676
Bathy04g02580	GO:0016020 GO:0006754 GO:0015662 GO:0005524
Bathy04g02630	GO:0005524 GO:0004386 GO:0003676
Bathy04g02650	GO:0015986 GO:0000276 GO:0015078
Bathy04g02660	GO:0006464 GO:0004835
Bathy04g02680	GO:0055085 GO:0016021
Bathy04g02700	GO:0005622
Bathy04g02730	GO:0003676
Bathy04g02780	GO:0005524 GO:0006418 GO:0000166 GO:0006412 GO:0004812 GO:0005737
Bathy04g02800	GO:0006412
Bathy04g02810	GO:0003676
Bathy04g02820	GO:0005975 GO:0003824
Bathy04g02840	GO:0006915
Bathy04g02870	GO:0016226
Bathy04g02900	GO:0016021
Bathy04g02920	GO:0016272 GO:0006457 GO:0051082
Bathy04g02990	GO:0008168 GO:0032259 GO:0003676
Bathy04g03010	GO:0000166
Bathy04g03050	GO:0008270
Bathy04g03060	GO:0008408 GO:0005622 GO:0006139 GO:0003676
Bathy04g03100	GO:0009058 GO:0016779
Bathy04g03110	GO:0007018 GO:0005524 GO:0003777
Bathy04g03160	GO:0031072
Bathy04g03180	GO:0031305
Bathy04g03210	GO:0006364
Bathy04g03220	GO:0006486 GO:0030173 GO:0008373
Bathy04g03230	GO:0003899 GO:0003677
Bathy04g03240	GO:0003676
Bathy04g03250	GO:0016787
Bathy04g03310	GO:0005622 GO:0005525
Bathy04g03340	GO:0003677 GO:0005524
Bathy04g03370	GO:0050661 GO:0006098 GO:0004616 GO:0055114
Bathy04g03390	GO:0008152 GO:0003824 GO:0005488
Bathy04g03420	GO:0005815 GO:0000922 GO:0000226
Bathy04g03430	GO:0005737 GO:0017000 GO:0016491
Bathy04g03440	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy04g03480	GO:0015991 GO:0033180
Bathy04g03490	GO:0016307 GO:0046488
Bathy04g03520	GO:0016757
Bathy04g03540	GO:0008270 GO:0005622
Bathy04g03560	GO:0000287 GO:0005525 GO:0003924
Bathy04g03580	GO:0016070
Bathy04g03600	GO:0005525
Bathy04g03610	GO:0005524 GO:0016887
Bathy04g03620	GO:0030151 GO:0003824 GO:0030170
Bathy04g03640	GO:0006396 GO:0003723 GO:0004525
Bathy04g03680	GO:0003677 GO:0005524
Bathy04g03710	GO:0005840 GO:0006412 GO:0003735
Bathy04g03720	GO:0004318 GO:0006633 GO:0055114
Bathy04g03730	GO:0016020
Bathy04g03750	GO:0003676
Bathy04g03760	GO:0004252 GO:0016021
Bathy04g03800	GO:0008152 GO:0016491
Bathy04g03850	GO:0005515
Bathy04g03870	GO:0016020 GO:0006754 GO:0015662 GO:0005524
Bathy04g03880	GO:0005622
Bathy04g03920	GO:0008612
Bathy04g03960	GO:0005515
Bathy04g03990	GO:0000049
Bathy04g04000	GO:0005515
Bathy04g04020	GO:0008299 GO:0003824
Bathy04g04030	GO:0005524 GO:0016773
Bathy04g04040	GO:0003824
Bathy06g01990	GO:0004553 GO:0005975
Bathy06g02000	GO:0016671 GO:0019538 GO:0055114
Bathy06g02030	GO:0008270
Bathy06g02050	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy06g02070	GO:0016787
Bathy06g02100	GO:0006626 GO:0045039 GO:0042719
Bathy06g02110	GO:0005515
Bathy06g02140	GO:0050660 GO:0016491
Bathy06g02150	GO:0004372 GO:0006544 GO:0006563
Bathy06g02180	GO:0008233 GO:0006508
Bathy06g02200	GO:0003824
Bathy06g02210	GO:0043169 GO:0005975 GO:0003824
Bathy06g02220	GO:0000166
Bathy06g02240	GO:0003677
Bathy06g02250	GO:0003824 GO:0030170
Bathy06g02260	GO:0016787
Bathy06g02280	GO:0005488
Bathy06g02290	GO:0016491
Bathy06g02310	GO:0045454
Bathy06g02350	GO:0004332 GO:0006096
Bathy06g02360	GO:0016021
Bathy06g02370	GO:0006486 GO:0030173 GO:0008373
Bathy06g02380	GO:0004497 GO:0055114
Bathy06g02410	GO:0005515
Bathy06g02420	GO:0006355 GO:0005694 GO:0018024
Bathy06g02440	GO:0016627 GO:0016021 GO:0005737 GO:0006629
Bathy06g02460	GO:0016020 GO:0055085 GO:0015238 GO:0015297 GO:0006855
Bathy06g02490	GO:0006979 GO:0004602 GO:0055114
Bathy06g02500	GO:0006486 GO:0030173 GO:0008373
Bathy06g02510	GO:0006511
Bathy06g02560	GO:0005524
Bathy06g02580	GO:0005622
Bathy06g02590	GO:0006355 GO:0043565 GO:0008270 GO:0003700
Bathy06g02610	GO:0016773 GO:0005975
Bathy06g02640	GO:0005515
Bathy06g02650	GO:0003723 GO:0004654 GO:0006402
Bathy06g02660	GO:0003723 GO:0004654 GO:0006402
Bathy06g02670	GO:0016070
Bathy06g02690	GO:0005515
Bathy06g02710	GO:0003899 GO:0003677
Bathy06g02720	GO:0016020 GO:0055085 GO:0046873 GO:0030001
Bathy06g02750	
Bathy06g02780	GO:0008233 GO:0006508
Bathy06g02800	GO:0006464 GO:0016881 GO:0005622
Bathy06g02810	GO:0003677 GO:0005524 GO:0006260
Bathy06g02840	GO:0055085 GO:0016021
Bathy06g02860	GO:0006810
Bathy06g02880	GO:0005515
Bathy06g02900	GO:0008152 GO:0008168
Bathy06g02910	GO:0016310 GO:0016772
Bathy06g02940	GO:0016020 GO:0006810 GO:0055085
Bathy06g02970	GO:0009055 GO:0046872
Bathy06g02980	GO:0008767
Bathy06g03000	GO:0005615
Bathy06g03070	GO:0008168 GO:0006364
Bathy06g03080	GO:0016021
Bathy06g03090	GO:0005524 GO:0004672 GO:0006468
Bathy06g03110	GO:0006357 GO:0033588
Bathy06g03120	GO:0008152 GO:0003824 GO:0005488
Bathy06g03130	GO:0008234 GO:0006508
Bathy06g03150	GO:0005515
Bathy06g03170	GO:0005840 GO:0003723 GO:0006412 GO:0005622 GO:0003735
Bathy06g03180	GO:0004765 GO:0005524
Bathy06g03190	GO:0016021
Bathy06g03250	GO:0055114 GO:0016491 GO:0006629
Bathy06g03260	GO:0005524
Bathy06g03280	GO:0008610
Bathy06g03290	GO:0016021 GO:0015031
Bathy06g03300	GO:0008270
Bathy06g03320	GO:0016020
Bathy06g03330	GO:0055114 GO:0016491 GO:0006629
Bathy06g03340	GO:0005515
Bathy06g03350	GO:0008168 GO:0032259 GO:0003676
Bathy06g03380	GO:0015031
Bathy06g03390	GO:0006629
Bathy06g03400	GO:0046912 GO:0044262
Bathy06g03420	GO:0008131 GO:0005507 GO:0048038 GO:0055114 GO:0009308
Bathy06g03430	GO:0008124 GO:0006729
Bathy06g03470	GO:0005525
Bathy06g03500	GO:0008299
Bathy06g03510	GO:0004497 GO:0055114
Bathy06g03520	GO:0009058
Bathy06g03530	GO:0016042 GO:0003847
Bathy06g03540	GO:0004765 GO:0005524
Bathy06g03560	GO:0005739 GO:0004408
Bathy06g03570	GO:0006486 GO:0030173 GO:0008373
Bathy06g03660	GO:0006457 GO:0051082 GO:0031072
Bathy06g03680	GO:0008168 GO:0032259 GO:0003676
Bathy06g03720	GO:0045454
Bathy06g03760	GO:0005975 GO:0042578
Bathy06g03770	GO:0005525 GO:0003924
Bathy06g03780	GO:0006486 GO:0030173 GO:0008373
Bathy06g03800	GO:0032040 GO:0006364
Bathy06g03820	GO:0005524 GO:0004594 GO:0015937
Bathy06g03830	GO:0006904 GO:0016192
Bathy06g03840	GO:0006486 GO:0030173 GO:0008373
Bathy06g03860	GO:0009538 GO:0015979
Bathy06g03890	GO:0007264 GO:0005525 GO:0015031
Bathy06g03910	GO:0005515
Bathy06g03970	GO:0043687 GO:0016881
Bathy06g04040	GO:0005515
Bathy06g04050	GO:0006511
Bathy06g04060	GO:0004806 GO:0006629
Bathy06g04110	GO:0016491
Bathy06g04120	GO:0005815 GO:0000922 GO:0000226
Bathy06g04130	GO:0016787
Bathy06g04160	GO:0043169 GO:0005975 GO:0003824
Bathy06g04170	GO:0017150 GO:0050660 GO:0055114 GO:0008033
Bathy06g04210	GO:0005524 GO:0006298 GO:0030983
Bathy06g04230	GO:0016020 GO:0006508 GO:0008236
Bathy06g04240	GO:0016020 GO:0006810 GO:0055085 GO:0005215
Bathy06g04270	GO:0009058 GO:0016740
Bathy06g04280	GO:0016851 GO:0015995
Bathy06g04290	GO:0003677 GO:0005524
Bathy06g04320	GO:0016020
Bathy06g04330	GO:0005524 GO:0004386 GO:0003676
Bathy07g01400	GO:0042558
Bathy07g01450	GO:0016787
Bathy07g01470	GO:0008270
Bathy07g01480	GO:0006813
Bathy07g01500	GO:0008270
Bathy07g01510	GO:0004674 GO:0006468
Bathy07g01520	GO:0008270 GO:0005622
Bathy07g01550	GO:0016020 GO:0008654 GO:0016780
Bathy07g01560	GO:0031072
Bathy07g01570	GO:0016020
Bathy07g01600	GO:0016671 GO:0019538 GO:0055114
Bathy07g01630	GO:0016020
Bathy07g01640	GO:0008152 GO:0003824
Bathy07g01650	GO:0008152 GO:0003824 GO:0005488
Bathy07g01710	GO:0003723
Bathy07g01750	GO:0020037
Bathy07g01760	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy07g01770	GO:0005525
Bathy07g01780	GO:0006508 GO:0004185
Bathy07g01800	GO:0005622
Bathy07g01810	GO:0016763
Bathy07g01900	GO:0030833 GO:0005856
Bathy07g01910	GO:0016627 GO:0016021 GO:0005737 GO:0006629
Bathy07g01920	GO:0004402
Bathy07g01930	GO:0005524 GO:0004386 GO:0003676
Bathy07g01940	GO:0005515
Bathy07g01950	GO:0006820 GO:0055085 GO:0008308 GO:0005741
Bathy07g01960	GO:0005840 GO:0006412 GO:0003735
Bathy07g01970	GO:0008408 GO:0005622 GO:0006139 GO:0003676
Bathy07g01990	GO:0006457 GO:0003755
Bathy07g02030	GO:0016671 GO:0019538 GO:0055114
Bathy07g02040	GO:0005488
Bathy07g02110	GO:0005506
Bathy07g02140	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy07g02170	GO:0016020 GO:0008519 GO:0006810 GO:0055085
Bathy07g02220	GO:0005524 GO:0004386 GO:0003676
Bathy07g02230	GO:0016021
Bathy07g02240	GO:0008152 GO:0003824
Bathy07g02250	GO:0016020 GO:0007155
Bathy07g02280	GO:0003677 GO:0006260
Bathy07g02300	GO:0004853 GO:0006779
Bathy07g02310	GO:0015934 GO:0006412 GO:0003735
Bathy07g02320	GO:0016020 GO:0055085 GO:0006812 GO:0008324
Bathy07g02330	GO:0006886 GO:0030127 GO:0008270 GO:0006888
Bathy07g02410	GO:0006282
Bathy07g02460	GO:0005515
Bathy07g02480	GO:0003676
Bathy07g02490	GO:0045040 GO:0005742
Bathy07g02500	GO:0000166
Bathy07g02510	GO:0016627 GO:0055114
Bathy07g02520	GO:0015969
Bathy07g02530	GO:0005515
Bathy07g02550	GO:0004518 GO:0003676
Bathy07g02570	GO:0009306 GO:0016021 GO:0015450
Bathy07g02580	GO:0006281 GO:0004518
Bathy07g02590	GO:0005515
Bathy07g02600	GO:0003824 GO:0051536
Bathy07g02680	GO:0005634 GO:0003677
Bathy07g02780	GO:0008168
Bathy07g02790	GO:0003917
Bathy07g02830	GO:0015031
Bathy07g02840	GO:0006163 GO:0004385
Bathy07g02870	
Bathy07g02900	GO:0003899 GO:0005634 GO:0003677
Bathy07g02910	GO:0055114 GO:0016972
Bathy07g02920	GO:0005515
Bathy07g02930	GO:0005515
Bathy07g02950	GO:0050661 GO:0050660 GO:0004499 GO:0055114
Bathy07g03000	GO:0005622
Bathy07g03010	GO:0055114 GO:0016491
Bathy07g03030	GO:0006508 GO:0004197
Bathy07g03070	GO:0006415 GO:0016149 GO:0005737
Bathy07g03080	GO:0016491
Bathy07g03120	GO:0005515
Bathy07g03150	GO:0008152 GO:0003824 GO:0005488
Bathy07g03260	GO:0006520 GO:0030170
Bathy07g03280	GO:0005515
Bathy07g03340	GO:0005515
Bathy07g03380	GO:0016671 GO:0050660 GO:0005789 GO:0055114
Bathy07g03400	GO:0010277 GO:0055114
Bathy07g03410	GO:0003824 GO:0051536
Bathy07g03420	GO:0008234 GO:0006508
Bathy07g03430	GO:0016747
Bathy07g03450	GO:0051258 GO:0005525 GO:0003924
Bathy07g03470	GO:0045454
Bathy07g03480	GO:0045454
Bathy07g03490	GO:0005524 GO:0003824
Bathy07g03500	GO:0008299
Bathy07g03520	GO:0006508 GO:0004185
Bathy07g03540	GO:0016020 GO:0006810 GO:0055085
Bathy07g03560	GO:0004748 GO:0009186 GO:0055114
Bathy07g03610	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy07g03620	GO:0005515
Bathy07g03630	GO:0006511
Bathy07g03640	GO:0003677
Bathy07g03650	GO:0016020
Bathy07g03660	GO:0006486 GO:0030173 GO:0008373
Bathy07g03680	GO:0000036
Bathy07g03700	GO:0005524 GO:0016887
Bathy07g03730	GO:0006457 GO:0003755
Bathy07g03740	GO:0006464 GO:0016881 GO:0005622
Bathy07g03780	GO:0033014 GO:0004852
Bathy07g03790	GO:0003677 GO:0005524 GO:0006260
Bathy07g03810	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy07g03820	GO:0008152 GO:0003824
Bathy07g03830	GO:0005515
Bathy07g03840	GO:0000166
Bathy07g03910	GO:0005488
Bathy07g03920	GO:0016021 GO:0005375 GO:0006825
Bathy07g03940	GO:0000502 GO:0042176 GO:0030234
Bathy07g03960	GO:0045454
Bathy07g03970	GO:0003906 GO:0016799 GO:0006284 GO:0003684 GO:0008270
Bathy07g03990	GO:0008270 GO:0003676
Bathy07g04030	GO:0005524 GO:0004386 GO:0003676
Bathy07g04040	GO:0005515
Bathy07g04060	GO:0030955 GO:0000287 GO:0004743 GO:0006096
Bathy07g04100	GO:0045158 GO:0017004 GO:0009512
Bathy07g04120	GO:0006886 GO:0030117 GO:0016192
Bathy07g04150	GO:0003677
Bathy07g04170	GO:0045454
Bathy07g04200	GO:0016747
Bathy07g04220	GO:0000166
Bathy07g04260	GO:0006508 GO:0005524 GO:0004222
Bathy07g04270	GO:0005840 GO:0006412 GO:0003735 GO:0019843
Bathy07g04300	GO:0005515
Bathy07g04330	GO:0005198 GO:0009507
Bathy07g04340	GO:0003824 GO:0030170
Bathy07g04350	GO:0005634
Bathy07g04380	GO:0005515
Bathy07g04390	GO:0004497 GO:0055114
Bathy07g04400	GO:0046422 GO:0055114 GO:0009507
Bathy07g04410	GO:0016020 GO:0015979 GO:0009654
Bathy07g04420	GO:0005524 GO:0004140 GO:0015937
Bathy07g04440	GO:0006333 GO:0005634 GO:0003682 GO:0000785
Bathy07g04450	GO:0008168 GO:0032259 GO:0003676
Bathy07g04470	GO:0031072
Bathy07g04510	GO:0018342 GO:0008318
Bathy07g04530	GO:0045454
Bathy07g04580	GO:0000166
Bathy07g04590	GO:0000287 GO:0004427 GO:0006796 GO:0005737
Bathy07g04640	GO:0006457
Bathy07g04650	GO:0005840 GO:0006412 GO:0003735
Bathy07g04660	GO:0005515
Bathy07g04690	GO:0008152 GO:0008168
Bathy07g04720	GO:0055114 GO:0008937
