Gene ID	GO	KO	PFAM
ME000023S03881	GO:0030170 GO:0019346 GO:0009058 GO:0016829 GO:0006520	K01760	PF01053 PF00155 PF00266 PF01041 PF01212
ME000023S03886	GO:0008017 GO:0007010		PF07058
ME000023S03895	GO:0004672 GO:0005524 GO:0006468	K06632	PF00069 PF07714
ME000528S08182	GO:0016746	K00627	PF00198 PF00364 PF02817
ME000528S08185	GO:0016491 GO:0055114		PF01593
ME000528S08192	GO:0016765	K11778	PF01255
ME001047S10714	GO:0005524 GO:0008134 GO:0006355 GO:0000160 GO:0016887		PF00158 PF00072 PF14532 PF00004 PF07728
ME001047S10715	GO:0016779 GO:0009058		PF00483
ME000373S06309	GO:0005506 GO:0051536 GO:0016226		PF01106
ME000373S06310	GO:0008270		PF02891 PF11789
ME000373S06311	GO:0016655 GO:0055114		PF10664
ME000373S06312	GO:0016491 GO:0055114		PF01266 PF00890
ME000373S06315	GO:0003735 GO:0006412 GO:0005840	K19032	PF04839
ME000373S06322	GO:0047429 GO:0009143	K01519	PF01725
ME000373S06324	GO:0006886 GO:0005737	K20180	PF04841 PF04840
ME000373S06326	GO:0009507		PF07207
ME000373S06328	GO:0003676 GO:0005524	K12811	PF00270 PF00271
ME000373S06330	GO:0003723 GO:0006396		PF01805 PF09750
ME000373S06331	GO:0003723 GO:0006396		PF01805 PF09750
ME000373S06334	GO:0016491 GO:0055114	K00326	PF00175
ME000373S06335	GO:0047429 GO:0009143	K01519	PF01725
ME000373S06336	GO:0016491 GO:0055114	K17871	PF07992 PF00070
ME000373S06337	GO:0005515	K11864	PF01398 PF14464
ME000373S06351	GO:0016020 GO:0016021		PF00892
ME000373S06357	GO:0045454		PF00085
ME000373S06358	GO:0006506 GO:0005789	K05287	PF06699
ME000373S06359	GO:0003676 GO:0008270 GO:0016818		PF08797
ME000373S06360	GO:0016788	K15363	PF08774
ME000373S06361	GO:0006284 GO:0008017 GO:0005515	K10773	PF00730 PF03271 PF00307
ME000373S06362	GO:0006520 GO:0055114 GO:0016491 GO:0050661	K12524	PF00742 PF03447 PF01842 PF00696 PF13840
ME000373S06363	GO:0008236 GO:0006508 GO:0016787		PF12697 PF00326 PF05448 PF01738
ME000373S06364	GO:0055114		PF08240
ME000022S03515	GO:0003723 GO:0004000 GO:0006396	K15440	PF02137
ME000022S03522	GO:0005542 GO:0016740		PF07837
ME000022S03529	GO:0016491 GO:0055114	K13963	PF00079 PF03460
ME000022S03534	GO:0003924	K10389	PF00091 PF03953 PF10644
ME000022S03536	GO:0000776 GO:0031262	K11548	PF03800 PF18595
ME000022S03540	GO:0016757	K05286	PF03901
ME000022S03543	GO:0005506 GO:0016491 GO:0008610 GO:0055114	K15746	PF04116
ME000022S03546	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000022S03549	GO:0006886		PF00790 PF03127
ME000022S03550	GO:0030170 GO:0009058		PF00155 PF01041
ME000022S03552	GO:0003924 GO:0005525	K12852	PF00009 PF16004 PF03764 PF00679 PF03144
ME000022S03553	GO:0005515	K14768	PF08149 PF00400
ME000022S03554	GO:0005524		PF00176
ME000022S03556	GO:0004571 GO:0005509 GO:0016020	K01230	PF01532
ME000022S03557	GO:0016491 GO:0055114		PF01593 PF13450 PF12831
ME000022S03558	GO:0005515		PF00400 PF12894
ME000022S03560	GO:0000287 GO:0004743 GO:0030955 GO:0006096	K00873	PF00224 PF02887
ME000022S03561	GO:0006415 GO:0003747	K02836	PF03462 PF00472
ME000022S03566	GO:0003676		PF01424
ME000022S03567	GO:0005506		PF00301
ME000022S03568	GO:0003677 GO:0006302 GO:0006310 GO:0005634	K10886	PF06632
ME000022S03569	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
ME000022S03573	GO:0003678 GO:0005524 GO:0016887 GO:0006260		PF06068 PF17856 PF00004 PF07728 PF03796
ME000022S03577	GO:0005515		PF09273 PF00856
ME000022S03578	GO:0051287 GO:0004471 GO:0055114	K00029	PF03949 PF00390
ME000022S03584	GO:0003676		PF01918
ME000022S03587	GO:0004672 GO:0005524 GO:0006468	K08832	PF00069 PF07714
ME000022S03589	GO:0016787		PF04909
ME000022S03592	GO:0003677 GO:0006355	K16222	PF02701
ME000022S03593	GO:0005507 GO:0016491 GO:0055114	K05909	PF07732 PF07731 PF00394
ME000022S03595	GO:0003676	K13094	PF00076
ME000022S03597	GO:0030170 GO:0019346 GO:0009058	K01761	PF01053 PF00155 PF00266
ME000022S03599	GO:0003735 GO:0005739		PF16053
ME000022S03605	GO:0005515		PF00646
ME000022S03606	GO:0008373 GO:0006486		PF00777
ME000022S03607	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000022S03610	GO:0003723 GO:0003743 GO:0006413	K02518	PF01176
ME000022S03613	GO:0004553 GO:0005975	K01179	PF00759
ME000022S03614	GO:0030170 GO:0019346		PF06838 PF01053
ME000022S03615	GO:0004618 GO:0006096	K00927	PF00162
ME000022S03618	GO:0006629		PF01764
ME000022S03619	GO:0005524 GO:0016887	K02045	PF00005
ME000022S03620	GO:0005524		PF00004
ME000022S03621	GO:0008250 GO:0016021	K12668	PF02109
ME000022S03623	GO:0005515 GO:0005509	K12472	PF12763 PF13202
ME000022S03624	GO:0009235		PF10229
ME000022S03626	GO:0000160 GO:0005515 GO:0000155 GO:0007165	K14509	PF02518 PF00072 PF01590 PF00512
ME000022S03628	GO:0030170 GO:0009058	K10206	PF00155
ME000022S03631	GO:0003676	K12840	PF01585 PF00076
ME000022S03632	GO:0016491 GO:0055114 GO:0016616	K00016	PF00056 PF02866
ME000022S03633	GO:0003677 GO:0000786	K11252	PF00125 PF00808
ME000022S03635	GO:0003676	K14838	PF00076
ME000022S03636	GO:0006352	K11254	PF15511 PF02969
ME000022S03637	GO:0009055 GO:0015035 GO:0045454		PF00462 PF00085
ME000022S03639	GO:0006891 GO:0017119	K20292	PF10392
ME000022S03643	GO:0005515	K12179	PF13012 PF01398
ME000022S03645	GO:0003677 GO:0006303 GO:0003678	K10884	PF02735 PF03731 PF03730 PF02037
ME000022S03646	GO:0016021	K15382	PF03083
ME000022S03647	GO:0000160 GO:0005515 GO:0000155 GO:0007165	K14509	PF02518 PF00072 PF01590 PF00512
ME000022S03648	GO:0016757		PF04577
ME000022S03649	GO:0004865 GO:0032515	K17553	PF07491
ME000022S03653	GO:0022857 GO:0055085 GO:0016021		PF03105 PF00083
ME000022S03654	GO:0016020		PF02485
ME000353S05903	GO:0005515	K20285	PF13418 PF13854 PF13964 PF01344 PF13415 PF07646
ME000353S05910	GO:0016491 GO:0055114	K08232	PF07992
ME000353S05912	GO:0003968 GO:0003677 GO:0005524 GO:0016787 GO:0003676	K11699	PF05183 PF00271 PF04851 PF00270
ME000353S05914	GO:0004853 GO:0006779		PF01208
ME000353S05917	GO:0005515		PF00400
ME000353S05921	GO:0016021		PF05832
ME000353S05922	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000353S05923	GO:0005515		PF00400 PF12894
ME000353S05924	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000353S05925	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000353S05926	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714 PF17667
ME1124401C07608	GO:0016020		PF01061
ME000263S04355	GO:0008521 GO:0016021	K03372	PF13000
ME000263S04356	GO:0004298 GO:0051603 GO:0005839	K02739	PF00227
ME000263S04362	GO:0004252 GO:0006508 GO:0005515	K08669	PF13365 PF17820 PF00089 PF13180
ME000263S04363	GO:0000166 GO:0004812 GO:0005524 GO:0006418	K01870	PF00133 PF08264
ME000263S04364	GO:0000166 GO:0004812 GO:0005524 GO:0006418		PF00133 PF09334
ME000263S04368	GO:0003697 GO:0005524 GO:0006281		PF00154 PF06745 PF08423
ME000263S04369	GO:0016491 GO:0055114	K17761	PF00171
ME000263S04370	GO:0005515		PF00400 PF12937
ME000263S04372	GO:0003743 GO:0031369 GO:0006413 GO:0005852	K03252	PF05470 PF01399
ME000263S04373	GO:0003725		PF01300
ME000263S04380	GO:0022857 GO:0055085 GO:0016021	K08150	PF00083 PF07690
ME000263S04382	GO:0005515		PF13516
ME000263S04384	GO:0022857 GO:0055085 GO:0016021		PF00083
ME000263S04386	GO:0003755 GO:0000413		PF00160
ME000263S04389	GO:0005524	K03061	PF00004
ME000263S04390	GO:0008168		PF08241
ME000263S04391	GO:0008168 GO:0032259		PF01728
ME000263S04392	GO:0003676 GO:0004386 GO:0005524 GO:0016818 GO:0006139 GO:0003677 GO:0003678	K11273	PF13307 PF06733
ME000263S04393	GO:0005515		PF00651
ME000263S04394	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714 PF14531
ME000263S04395	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000263S04397	GO:0003824	K00826	PF01063
ME000545S08411	GO:0008184 GO:0005975		PF00343
ME000123S00228	GO:0003824 GO:0005975	K01176	PF00128
ME000123S00235	GO:0008233 GO:0006465 GO:0005787 GO:0016021	K12948	PF04573
ME000123S00237	GO:0005524 GO:0016301 GO:0016310	K08244	PF01326
ME000123S00240	GO:0005384 GO:0030026	K22736	PF01988
ME000123S00241	GO:0003676		PF00076
ME000123S00242	GO:0003872 GO:0006096	K00895	PF00365
ME000123S00245	GO:0008124 GO:0006729	K01724	PF01329
ME000123S00246	GO:0003700 GO:0006355		PF00170 PF07716
ME000123S00254	GO:0004356 GO:0006807		PF00120
ME000123S00256	GO:0016021		PF03798
ME000123S00268	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000123S00269	GO:0005524 GO:0009378 GO:0006281 GO:0006310 GO:0016887	K07478	PF12002 PF16193 PF00004 PF05496 PF07728 PF05673
ME000123S00270	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000123S00271	GO:0003997 GO:0006635 GO:0005777 GO:0016627 GO:0055114	K00232	PF01756 PF14749 PF02770
ME000123S00274	GO:0006891 GO:0030173	K09313	PF08172
ME000123S00275	GO:0003690 GO:0006355	K15032	PF02536
ME000123S00280	GO:0005515		PF12796 PF13606
ME000123S00281	GO:0046983		PF00010
ME000123S00282	GO:0009306 GO:0005887		PF04357
ME000123S00285	GO:0003677 GO:0006355		PF05920
ME000123S00288	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000123S00289	GO:0016787	K01956	PF00988 PF00117 PF07722
ME000123S00290	GO:0006289 GO:0006355 GO:0000439	K10845	PF06331
ME000123S00291	GO:0005515		PF00498
ME000123S00292	GO:0005524 GO:0016887	K05643	PF12698 PF00005
ME000123S00293	GO:0016772 GO:0016310 GO:0005524 GO:0016301	K01006	PF02896 PF01326 PF00391
ME000123S00295	GO:0015297 GO:0042910 GO:0055085 GO:0016020		PF01554 PF14667
ME000123S00296	GO:0016021		PF03040
ME000123S00298	GO:0004672 GO:0006468 GO:0005524 GO:0005515		PF07714 PF00069 PF13855
ME000123S00301	GO:0016020		PF01758
ME000123S00302	GO:0016409 GO:0005515	K20032	PF01529 PF12796 PF13637 PF00023
ME000123S00305	GO:0016020		PF01758
ME000123S00307	GO:0005515		PF00514
ME000464S07766	GO:0046872	K13346	PF13639 PF13923 PF13920 PF00097 PF13445 PF04757
ME000067S09030	GO:0016020	K03453	PF01758 PF13593
ME000067S09032	GO:0003700 GO:0006355 GO:0003677 GO:0005634		PF00170 PF12498 PF07716 PF03131
ME000141S00981	GO:0006629		PF01764
ME000141S00982	GO:0003755 GO:0000413	K09565	PF00160
ME000141S00983	GO:0006886 GO:0016020	K08493	PF05008
ME000141S00984	GO:0005515		PF17035 PF00439
ME000141S00985	GO:0016756 GO:0046872 GO:0010038 GO:0046938		PF09328
ME000141S00989	GO:0016756 GO:0046872 GO:0010038 GO:0046938	K05941	PF05023
ME001565S01383	GO:0006282		PF02631
ME001565S01385	GO:0003857 GO:0016491 GO:0006631 GO:0055114	K00074	PF02737 PF00725
ME001791S02298	GO:0006415 GO:0003747	K02836	PF03462 PF00472
ME001791S02299	GO:0005525 GO:0006614	K03110	PF00448 PF02881 PF13604
ME001791S02300	GO:0016624 GO:0003824 GO:0030976 GO:0008661 GO:0016114		PF00676 PF02775 PF13292 PF00456
ME001791S02301	GO:0009231 GO:0009349		PF00885
ME001791S02302	GO:0004427 GO:0009678 GO:1902600 GO:0016020		PF03030
ME1155825C09445	GO:0003735 GO:0006412 GO:0005840	K02966	PF01090
ME1132893C07549	GO:0005524 GO:0016491 GO:0055114	K03609	PF13614 PF10609 PF01656 PF06564 PF02374 PF00142 PF09140
ME1126269C07556	GO:0005086 GO:0032012		PF01369
ME1109847C05658	GO:0004559 GO:0006013		PF07748
ME000139S00969	GO:0004096 GO:0020037 GO:0055114	K03781	PF00199 PF06628
ME000139S00970	GO:0070531 GO:0070552	K12173	PF06113
ME000139S00972	GO:0005524 GO:0046034 GO:1902600	K02147	PF00006 PF02874
ME000139S00973	GO:0004252 GO:0006508	K01280	PF00082
ME000139S00976	GO:0005515	K17262	PF14560 PF01302
ME000139S00977	GO:0003824		PF12357 PF13091 PF00614
ME000139S00979	GO:0004650 GO:0005975		PF00295
ME000698S09225	GO:0015979 GO:0009522	K02701	PF05479
ME000698S09226	GO:0009058	K01627	PF00793
ME000122S00034	GO:0004451 GO:0019752	K01637	PF00463 PF13714
ME000122S00036	GO:0008915 GO:0009245		PF02684
ME000122S00037	GO:0005515	K22077	PF13417 PF13409 PF02798 PF14497 PF00043 PF13410
ME000122S00042	GO:0010207 GO:0015979		PF11264
ME000122S00043	GO:0005515	K22077	PF13417 PF13409 PF02798 PF00043 PF14497
ME000122S00045	GO:0003700 GO:0006355		PF02594 PF00847
ME000122S00048	GO:0005515 GO:0005524 GO:0051276 GO:0005694	K06636	PF02463 PF06470 PF13476 PF13304 PF13175 PF13555
ME000099S10486	GO:0043015	K16570	PF17681 PF04130
ME000099S10489	GO:0005525	K19788	PF06071 PF01926
ME000099S10491	GO:0007064 GO:0031390	K11271	PF09724
ME000099S10492	GO:0031625 GO:0006511	K10609	PF00888 PF10557
ME000099S10493	GO:0005515		PF00515 PF13414 PF13181 PF07719 PF13431 PF13432 PF13424 PF13176 PF14559 PF13374 PF13174 PF10373
ME000099S10494	GO:0005515		PF00439
ME000099S10497	GO:0046872 GO:0006801 GO:0030001	K04569	PF00080 PF00403
ME000099S10500	GO:0012511 GO:0016021		PF01277
ME000099S10501	GO:0046872 GO:0006801	K04565	PF00080
ME000099S10502	GO:0005515 GO:0008536 GO:0006886	K20221	PF02985 PF03810 PF12755 PF13513
ME000099S10503	GO:0003777 GO:0005524 GO:0008017 GO:0007018	K10398	PF00225
ME000099S10506	GO:0003777 GO:0005524 GO:0008017 GO:0007018		PF00225
ME000099S10510	GO:0012511 GO:0016021		PF01277
ME000099S10511	GO:0004177 GO:0008270 GO:0006508	K01267	PF02127 PF05343
ME000099S10512	GO:0016757	K03846	PF03901
ME000099S10514	GO:0006886 GO:0016192 GO:0030117	K12397	PF01602 PF12717
ME000099S10516	GO:0016787		PF07859 PF00135
ME000099S10519	GO:0008270		PF01428
ME001732S01987	GO:0016491 GO:0016209 GO:0055114	K24140	PF08534 PF00578
ME000437S07220	GO:0055085 GO:0016021		PF03600
ME000437S07221	GO:0005515		PF00917
ME000437S07222	GO:0000160 GO:0000155 GO:0007165		PF02518 PF00072 PF00512 PF13188
ME000437S07225	GO:0042254 GO:0005634	K14569	PF04950 PF08142
ME000437S07226	GO:0004751 GO:0009052		PF06026
ME000437S07228	GO:0005509 GO:0051082 GO:0006457 GO:0005783	K08057	PF00262
ME000437S07231	GO:0004721 GO:0006397 GO:0005634	K15544	PF04722
ME000437S07235	GO:0005515	K03038	PF13012 PF01398
ME000437S07236	GO:0003755 GO:0000413	K03768	PF00160
ME000149S01033	GO:0005515		PF14559 PF07719 PF13181 PF13374
ME000149S01034	GO:0016787		PF00149
ME000149S01036	GO:0016829 GO:0017009		PF06206
ME000149S01037	GO:0016746 GO:0005509	K13510	PF01553 PF13499 PF13833 PF13202
ME000149S01038	GO:0003950 GO:0005515		PF12796 PF13637 PF00644 PF13857 PF00023 PF13606
ME000524S08055	GO:0003899 GO:0046983 GO:0006351 GO:0008270		PF01000 PF12906
ME000524S08056	GO:0016021		PF01925
ME000524S08061	GO:0010215 GO:0031225		PF04833
ME000524S08064	GO:0005515	K24755	PF00400
ME000524S08065	GO:0008251 GO:0002100		PF14437 PF00383
ME000524S08066	GO:0003723 GO:0019843	K02997	PF01479 PF00163
ME000524S08070	GO:0005524 GO:0016772	K20115	PF03618
ME000524S08071	GO:0030071 GO:0005680 GO:0005515	K03355	PF04049 PF13181 PF13414 PF13432
ME000448S07414	GO:0016811		PF03069
ME000448S07415	GO:0003989 GO:0006633 GO:0009317	K01962	PF03255 PF01039
ME000448S07416	GO:0055085 GO:0016021	K13754	PF01699
ME000448S07417	GO:0051287 GO:0055114		PF03807 PF02826 PF07991
ME000448S07418	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
ME000448S07425	GO:0016757 GO:0016021		PF09258 PF04577 PF01501
ME000716S09336	GO:0005515	K00799	PF13417 PF13409 PF02798
ME000716S09337	GO:0008963 GO:0016021	K01000	PF00953 PF10555
ME1121085C07557	GO:0046872		PF00642
ME000266S04513	GO:0016627 GO:0006629	K10258	PF02544
ME000266S04514	GO:0005515		PF13181
ME000266S04518	GO:0016021 GO:0016020		PF02460 PF12349 PF03176
ME000266S04519	GO:0003755 GO:0005515		PF00254 PF13174
ME000266S04520	GO:0003735 GO:0008097 GO:0006412 GO:0005840	K02932	PF17144 PF14204
ME000266S04521	GO:0005515		PF00498
ME000618S08814	GO:0003824		PF00481
ME000618S08816	GO:0022857 GO:0055085 GO:0016021		PF00083 PF07690
ME000618S08819	GO:0003700 GO:0043565 GO:0006355		PF03106
ME000618S08821	GO:0003677 GO:0006355		PF05920 PF00046
ME000618S08826	GO:0016627 GO:0055114 GO:0005737	K00254	PF01180
ME000179S02143	GO:0008234 GO:0006508		PF00112
ME000179S02145	GO:0005515		PF13855
ME000097S10562	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000097S10563	GO:0008234 GO:0006508		PF00112 PF01476 PF00008
ME000097S10564	GO:0005515		PF00454 PF00240
ME000097S10565	GO:0005506 GO:0016491 GO:0008610 GO:0055114	K00227	PF04116
ME000097S10569	GO:0005525 GO:0003924	K07942	PF00025 PF08477 PF09439 PF00071 PF04670 PF01926
ME000097S10575	GO:0016409	K20028	PF01529
ME000097S10577	GO:0005524 GO:0016887		PF00005
ME000097S10578	GO:0043814 GO:0009108		PF09837 PF01983
ME000097S10579	GO:0005524 GO:0016887		PF00005
ME000279S04719	GO:0003677 GO:0005524 GO:0006270	K02209	PF00493 PF17855 PF17207 PF14551 PF01078
ME000279S04723	GO:0005515		PF00646
ME000279S04727	GO:0005524 GO:0016887		PF00005 PF12848
ME000279S04729	GO:0005381 GO:0034755 GO:0016020 GO:0033573	K07243	PF03239
ME000279S04730	GO:0015018 GO:0016020	K20871	PF03360
ME000279S04732	GO:0005515	K09667	PF00515 PF13414 PF07719 PF13181 PF13844 PF13176 PF13374
ME000279S04734	GO:0004386 GO:0003676	K12818	PF04408 PF07717 PF00271 PF00575
ME000279S04735	GO:0004553 GO:0005975		PF00722
ME000279S04738	GO:0003676		PF00076
ME000279S04739	GO:0008233 GO:0006508		PF02557
ME000279S04742	GO:0030246		PF00139 PF18483 PF02469
ME000039S06681	GO:0005515 GO:0008270 GO:0018024 GO:0034968 GO:0005634		PF00856 PF05033
ME000039S06685	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
ME000039S06686	GO:0003712 GO:0006355 GO:0016592	K15153	PF05669
ME000039S06688	GO:0004672 GO:0006468 GO:0005524		PF12819 PF07714 PF00069 PF11721
ME000039S06689	GO:0008081 GO:0006281 GO:0005634	K10862	PF06087
ME000039S06690	GO:0005515		PF12937 PF00646
ME000039S06691	GO:0003735 GO:0006412 GO:0005840	K02890	PF00237
ME000039S06692	GO:0003676 GO:0005515		PF02171 PF02170 PF16488 PF08699
ME000039S06700	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000039S06708	GO:0005524		PF00176
ME000039S06710	GO:0005524		PF00176
ME000039S06715	GO:0003690 GO:0006355		PF02536
ME000039S06718	GO:0003690 GO:0006355		PF02536
ME000039S06722	GO:0003690 GO:0006355		PF02536
ME000039S06723	GO:0003690 GO:0006355		PF02536
ME000039S06724	GO:0003690 GO:0006355		PF02536
ME000039S06725	GO:0003911 GO:0006260 GO:0006281		PF01653 PF03120 PF12826 PF14520 PF00533
ME000039S06726	GO:0003690 GO:0006355		PF02536
ME000039S06727	GO:0003690 GO:0006355		PF02536
ME000039S06728	GO:0003690 GO:0006355		PF02536
ME000039S06731	GO:0008236 GO:0006508 GO:0016787		PF00326 PF01738
ME000039S06738	GO:0019901 GO:0000079		PF08613 PF00134
ME000039S06739	GO:0006355		PF07818
ME000039S06741	GO:0016787		PF07859 PF00135
ME000039S06743	GO:0019867	K07277	PF01103
ME1127309C07642	GO:0008234 GO:0006508		PF00112
ME1078083C05665	GO:0003755 GO:0000413		PF00160
ME000029S05036	GO:0003824	K14497	PF00481 PF13672
ME000029S05038	GO:0051082 GO:0006457 GO:0016272	K09549	PF01920
ME000029S05042	GO:0003677 GO:0005524 GO:0006270		PF17855 PF00493 PF17207
ME000029S05043	GO:0016301	K04715	PF00781
ME000029S05046	GO:0016620 GO:0055114	K05298	PF02800 PF00044 PF02672
ME000029S05050	GO:0016192 GO:0016021	K08515	PF00957 PF13774
ME000029S05051	GO:0032039	K13139	PF14750
ME000013S00767	GO:0003755 GO:0000413	K01802	PF00160
ME000013S00768	GO:0005515	K09256	PF12796 PF00023
ME000013S00772	GO:0000166 GO:0003677 GO:0003887 GO:0006260	K02320	PF00136 PF08996 PF03104 PF12254
ME000013S00774	GO:0005515 GO:0004672 GO:0005524 GO:0006468		PF13855 PF00069 PF07714
ME000013S00775	GO:0003676	K12831	PF00076
ME000013S00777	GO:0016779		PF03828 PF01909
ME000013S00778	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000013S00780	GO:0016758	K23260	PF00201
ME000013S00782	GO:0015979		PF02941
ME000013S00785	GO:0030599 GO:0042545	K01051	PF01095
ME000013S00789	GO:0005524 GO:0005534	K12446	PF00288 PF13528 PF10509 PF08544
ME000013S00799	GO:0006487 GO:0034998		PF05251
ME000013S00803	GO:0003700 GO:0043565 GO:0006355		PF03106
ME000013S00804	GO:0016020	K02221	PF02325
ME000013S00805	GO:0008080		PF13302
ME000013S00808	GO:0005515	K13342	PF07719 PF13181 PF13176 PF13432
ME000013S00809	GO:0015267 GO:0055085 GO:0016020		PF00230
ME000013S00810	GO:0005337 GO:1901642 GO:0016021	K15014	PF01733
ME000013S00812	GO:0005524 GO:0042626 GO:0055085 GO:0016021 GO:0016887 GO:0005525		PF00664 PF00005 PF01926
ME000013S00815	GO:0005524 GO:0003677 GO:0016787 GO:0042393		PF00176 PF00271 PF04851 PF14619
ME000013S00817	GO:0003824		PF00481 PF13672
ME000013S00820	GO:0003677 GO:0006355 GO:0005634		PF05920 PF03790 PF03791 PF00046
ME000013S00823	GO:0016021		PF01151
ME000013S00824	GO:0016021		PF01151
ME000013S00825	GO:0005524 GO:0016887		PF12698 PF00005 PF13304
ME000013S00826	GO:0003735 GO:0006412 GO:0005840	K02978	PF01667
ME000013S00827	GO:0003723 GO:0008168 GO:0006364 GO:0016429 GO:0030488 GO:0031515	K14563	PF01269 PF08704
ME000013S00828	GO:0005524		PF13304
ME000013S00829	GO:0016757		PF04577
ME000013S00833	GO:0003824		PF00857
ME000013S00840	GO:0004045	K01056	PF01195
ME000013S00843	GO:0015116 GO:0008272 GO:0016021		PF00916 PF01740
ME000013S00844	GO:0004553 GO:0005975		PF00150
ME000013S00845	GO:0008270		PF02891
ME000013S00846	GO:0003690 GO:0006355	K15032	PF02536
ME000013S00848	GO:0003824 GO:0045454	K05907	PF01507 PF00085
ME000013S00851	GO:0003755 GO:0000413		PF00160
ME000013S00852	GO:0005515		PF00515 PF13432 PF13181 PF13414 PF13428 PF13176
ME000013S00855	GO:0008168	K15334	PF01189
ME000013S00858	GO:0005515		PF12796 PF13857 PF13637 PF17830 PF00023 PF13606
ME000013S00862	GO:0004177 GO:0030145		PF05195
ME000013S00872	GO:0046873 GO:0030001 GO:0016020		PF01566
ME000013S00873	GO:0004842	K10589	PF00632
ME000013S00874	GO:0003677 GO:0006334 GO:0000786 GO:0042025	K09422	PF00249 PF00538 PF13921
ME000013S00875	GO:0033926		PF12899
ME000013S00877	GO:0008299	K05356	PF00348
ME000013S00880	GO:0006281	K03509	PF00817
ME000013S00882	GO:0004601 GO:0020037 GO:0006979 GO:0055114	K00430	PF00141
ME000013S00883	GO:0008061 GO:0005576		PF01607
ME000013S00884	GO:0004601 GO:0020037 GO:0006979 GO:0055114	K00430	PF00141
ME000013S00885	GO:0004499 GO:0050660 GO:0050661 GO:0055114	K00485	PF00743 PF13450
ME000013S00886	GO:0003676	K12837	PF00076
ME000013S00887	GO:0008061 GO:0005576		PF01607
ME000013S00888	GO:0008234 GO:0006508		PF01476 PF00112
ME000013S00891	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
ME000197S02523	GO:0004411 GO:0006559 GO:0006570 GO:0055114	K00451	PF04209
ME000197S02525	GO:0004411 GO:0006559 GO:0006570 GO:0055114		PF04209
ME000197S02526	GO:0004411 GO:0006559 GO:0006570 GO:0055114		PF04209
ME000197S02531	GO:0008168		PF08241 PF13649 PF13847 PF08242 PF01209
ME000197S02532	GO:0005525		PF04548 PF01926
ME000197S02537	GO:0005515 GO:0008270 GO:0018024 GO:0034968 GO:0005634	K11420	PF02182 PF00856 PF05033
ME000197S02539	GO:0005975	K17525	PF00704
ME000197S02540	GO:0003723		PF05634
ME000197S02541	GO:0016021	K05770	PF03073
ME000197S02542	GO:0004672 GO:0005524 GO:0006468	K07760	PF00069 PF07714 PF06293
ME000197S02547	GO:0003723 GO:0009982 GO:0001522 GO:0009451		PF00849
ME000197S02550	GO:0003824	K17506	PF00481
ME000197S02552	GO:0005524 GO:0017038 GO:0016020 GO:0003676	K03070	PF07517 PF07516 PF01043 PF00270
ME000145S01008	GO:0016020 GO:0005524 GO:0016887		PF01061 PF00005 PF08370
ME000233S03897	GO:0005515		PF13855 PF12799 PF00560 PF13516
ME000233S03898	GO:0003676		PF00096
ME000233S03899	GO:0003824 GO:0050662		PF13460 PF08547 PF01370 PF05368
ME000233S03900	GO:0007275		PF04690
ME000253S04218	GO:0005515 GO:0004672 GO:0005524 GO:0006468		PF13855 PF00069 PF07714 PF00560 PF08263 PF13516
ME001420S00892	GO:0005515		PF13516 PF12937 PF00646
ME000051S08078	GO:0016757 GO:0016021	K08238	PF05637
ME000051S08080	GO:0016757 GO:0016021	K08238	PF05637
ME1034419C03909	GO:0033926		PF12899
ME000165S01857	GO:0003873 GO:0005524 GO:0006000	K01103	PF01591 PF00300
ME000489S07941	GO:0004402 GO:0006355 GO:0016573 GO:0003712 GO:0008270 GO:0042025	K04498	PF08214 PF02135 PF00569
ME000489S07942	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
ME000489S07943	GO:0046912	K01647	PF00285
ME000032S05471	GO:0003676	K12833	PF00076 PF13893
ME000032S05477	GO:0010038	K03926	PF03091
ME000032S05478	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000032S05480	GO:0008168		PF08241 PF13649 PF07021
ME000032S05484	GO:0004553 GO:0005975	K01179	PF00759
ME000032S05485	GO:0022857 GO:0055085 GO:0016020		PF13520
ME000032S05488	GO:0004553 GO:0005975	K01179	PF00759
ME000358S06245	GO:0020037		PF00042
