Gene ID	GO	ENZYME	PANTHER	PFAM
Phatr3_J48235	GO:0005506 GO:0055114 GO:0016491 GO:0016706 GO:0016705 GO:0031418		PTHR12907 PTHR12907:SF26	PF13640
Phatr3_J38498	GO:0016020 GO:0016021		PTHR18640 PTHR18640:SF5	PF13593
Phatr3_J14792	GO:0016740 GO:0005524 GO:0006096 GO:0016301 GO:0016310 GO:0004618	2.7.2.3	PTHR11406 PTHR11406:SF11	PF00162
Phatr3_J48226	GO:0016020 GO:0016021		PTHR10794	
Phatr3_J38642	GO:0016021 GO:0000166 GO:0005524 GO:0006810 GO:0055085 GO:0016887 GO:0042626 GO:0016020		PTHR24221 PTHR24221:SF187	PF00005 PF00664
Phatr3_J38534	GO:0055114 GO:0016491 GO:0045454 GO:0005623	1.11.1.15	PTHR10430 PTHR10430:SF16	PF08534
Phatr3_J54842	GO:0016853 GO:0008152 GO:0055114 GO:0016491		PTHR10668 PTHR10668:SF84	PF01593
Phatr3_J38634	GO:0008289 GO:0016020 GO:0016021		PTHR11955 PTHR11955:SF92	
Phatr3_J22166	GO:0046873 GO:0030001 GO:0016020 GO:0055085		PTHR11040 PTHR11040:SF87	PF02535
Phatr3_J38705	GO:0005515 GO:0016020 GO:0016021			PF00595
Phatr3_J48221	GO:0016020 GO:0016021		PTHR10794	
Phatr3_J48289	GO:0005524 GO:0003676			PF00270
Phatr3_J14762	GO:0006102 GO:0004450 GO:0055114 GO:0016616 GO:0005509	1.1.1.42	PTHR11822 PTHR11822:SF21	PF00036 PF00180
Phatr3_J48178	GO:0016020 GO:0016021 GO:0006810 GO:0006811 GO:0055085 GO:0005216 GO:0034220 GO:0005249 GO:0006813 GO:0071805 GO:0008076		PTHR11537 PTHR11537:SF14	PF07885
Phatr3_J38409	GO:0003676 GO:0015074	2.7.7.7	PTHR44381 PTHR44381:SF3	PF07727
Phatr3_J48202	GO:0000079 GO:0019901 GO:0005515		PTHR14248 PTHR14248:SF34	PF00134 PF00397
Phatr3_J4604	GO:0008152 GO:0008168 GO:0032259		PTHR43036 PTHR43036:SF1	PF08241
Phatr3_J38474	GO:0000166 GO:0003676 GO:0003723		PTHR21245	PF00076
Phatr3_J48058	GO:0016020 GO:0016021			
Phatr3_J48287	GO:0016020 GO:0016021		PTHR21461 PTHR21461:SF0	PF01697
Phatr3_J48085	GO:0016020 GO:0016021			
Phatr3_J48199	GO:0016020 GO:0016021			
Phatr3_J48233	GO:0016020 GO:0016021	2.1.1.17	PTHR12714 PTHR12714:SF5	PF04191
Phatr3_J29283	GO:0005634		PTHR10177 PTHR10177:SF335	PF00134 PF02984
Phatr3_J48173	GO:0016020 GO:0016021		PTHR42742 PTHR42742:SF5	PF00480 PF01138
Phatr3_J52368	GO:0015914 GO:0004012 GO:0000166 GO:0005524 GO:0016021 GO:0000287		PTHR24092 PTHR24092:SF35	PF13246 PF16209 PF16212
Phatr3_J48253	GO:0030246 GO:0005515		PTHR13460	PF11721
Phatr3_J14715	GO:0005622 GO:0005840 GO:0042254		PTHR11560	PF00466
Phatr3_J14713	GO:0006412 GO:0003735 GO:0005840		PTHR11545 PTHR11545:SF2	PF00572
Phatr3_J48337	GO:0005515		PTHR19959 PTHR19959:SF204	PF13424
Phatr3_J48446	GO:0003993 GO:0016311 GO:0016020 GO:0016021		PTHR11567 PTHR11567:SF110	PF00328
Phatr3_EG01970	GO:0003676		PTHR44381	
Phatr3_J5527	GO:0003824 GO:0008152		PTHR43684 PTHR43684:SF1	PF00378
Phatr3_J48357	GO:0016020 GO:0016021			
Phatr3_J22411	GO:0055114 GO:0016491 GO:0008152		PTHR42760	PF13561
Phatr3_J14899	GO:0005680 GO:0031145		PTHR12936	PF03256
Phatr3_J14908	GO:0006355 GO:0003677 GO:0003700 GO:0006352 GO:0016987		PTHR30603 PTHR30603:SF0	PF04539 PF04542 PF04545
Phatr3_J38720	GO:0009507 GO:0016020 GO:0018298 GO:0016021 GO:0015979 GO:0009523 GO:0009579 GO:0016168 GO:0009765 GO:0009535		PTHR21649 PTHR21649:SF15	PF00504
Phatr3_J3351	GO:0000154 GO:0008649 GO:0000179 GO:0006364		PTHR11727 PTHR11727:SF18	PF00398
Phatr3_J48297	GO:0016020 GO:0016021		PTHR12482 PTHR12482:SF4	PF05057
Phatr3_J48365	GO:0016020 GO:0016021		PTHR20913	PF00566
Phatr3_J48381	GO:0005515		PTHR19856	PF00400
Phatr3_J48356	GO:0005727			
Phatr3_EG01965	GO:0006355 GO:0003700 GO:0043565 GO:0005634 GO:0003677		PTHR10015 PTHR10015:SF220	PF00447
Phatr3_EG00539	GO:0006310 GO:0006281 GO:0000287			PF05866
Phatr3_J38755	GO:0055114 GO:0003824 GO:0018580		PTHR32332 PTHR32332:SF28	PF03060
Phatr3_J38802	GO:0016020 GO:0016021			
Phatr3_J48479	GO:0008270 GO:0046872			
Phatr3_J48423	GO:0006629 GO:0055114 GO:0016491 GO:0016020 GO:0016021		PTHR32100 PTHR32100:SF0	PF00487
Phatr3_J48361	GO:0006355 GO:0003677 GO:0003700 GO:0043565 GO:0005634		PTHR10015 PTHR10015:SF220	PF00447
Phatr3_J15019	GO:0003723 GO:0006396 GO:0001510 GO:0008173 GO:0008168		PTHR12029 PTHR12029:SF58	PF00588 PF08032
Phatr3_J38769	GO:0016020 GO:0016021			
Phatr3_J48350	GO:0016810 GO:0007165 GO:0006807 GO:0009190 GO:0016849 GO:0035556 GO:0004114 GO:0016020 GO:0016021 GO:0005622		PTHR11920	PF00211 PF00233 PF00795
Phatr3_J29608	GO:0003723 GO:0003676 GO:0005515		PTHR22836	PF00013 PF00400
Phatr3_J38736	GO:0016020 GO:0016021		PTHR34801	PF07386
Phatr3_J38886	GO:0005680 GO:0030071 GO:0005515		PTHR12558 PTHR12558:SF10	PF04049 PF13181
Phatr3_J15031	GO:0048015 GO:0046854 GO:0016301 GO:0005515		PTHR10048	PF00454
Phatr3_J48491	GO:0006508 GO:0008233 GO:0016787 GO:0008236 GO:0004252		PTHR43806 PTHR43806:SF25	PF00082
Phatr3_J48451	GO:0006508 GO:0008233 GO:0005634		PTHR12792	PF03568
Phatr3_J38849	GO:0016020 GO:0016021		PTHR11183 PTHR11183:SF39	
Phatr3_J14983	GO:0000166 GO:0005524 GO:0003676 GO:0008152 GO:0016787 GO:0004386 GO:0008026		PTHR24031 PTHR24031:SF25	PF00270 PF00271
Phatr3_J48315	GO:0016020 GO:0006810 GO:0005215 GO:0071705 GO:0022857 GO:0016021 GO:0055085		PTHR30047 PTHR30047:SF7	PF02028
Phatr3_EG00544	GO:0005515			
Phatr3_J38893	GO:0000814 GO:0071985		PTHR13149	PF05871
Phatr3_J48417	GO:0005506 GO:0055114 GO:0016491 GO:0016706 GO:0016705 GO:0031418 GO:0046872		PTHR10869 PTHR10869:SF50	PF13640
Phatr3_J14898	GO:0016491 GO:0045454	1.11.1.15	PTHR10430	PF08534 PF09731
Phatr3_J38946	GO:0003824 GO:0008152 GO:0030170		PTHR43586 PTHR43586:SF8	PF00266
Phatr3_J48489	GO:0005737 GO:0005852 GO:0006413 GO:0003743		PTHR21681	PF08597
Phatr3_J48300	GO:0004553 GO:0005975 GO:0016020 GO:0016021		PTHR31361	PF03935
Phatr3_J48414	GO:0046901 GO:0004326 GO:0005524 GO:0016874 GO:0009058 GO:0009396	6.3.2.17	PTHR11136 PTHR11136:SF5	PF08245
Phatr3_J48307	GO:0008898 GO:0032259 GO:0047150 GO:0009086 GO:0005737 GO:0008270 GO:0016740 GO:0046872 GO:0008168		PTHR11103	PF02574
Phatr3_J22418	GO:0042744 GO:0020037 GO:0055114 GO:0046872 GO:0016491 GO:0004601 GO:0006979 GO:0004096 GO:0098869	1.11.1.6	PTHR11465 PTHR11465:SF9	PF00199 PF06628
Phatr3_J38878	GO:1902979 GO:0005634		PTHR12775	PF04641
Phatr3_J29606	GO:0003676 GO:0046872 GO:0008152 GO:0016787		PTHR13966 PTHR13966:SF5	PF01223
Phatr3_J48362	GO:0016020 GO:0016021		PTHR43932	PF08263
Phatr3_J48386	GO:0016021 GO:0055085 GO:0016020		PTHR23504 PTHR23504:SF31	PF07690
Phatr3_J38929	GO:0016020 GO:0016021			
Phatr3_J38757	GO:0016020 GO:0016021			
Phatr3_J48359	GO:0005509 GO:0015979 GO:0009523 GO:0009654 GO:0019898		PTHR31407	PF01789
Phatr3_J38781	GO:0016020 GO:0016021			
Phatr3_J38899	GO:0015689 GO:0015098 GO:0016020 GO:0016021		PTHR31970 PTHR31970:SF0	PF16983
Phatr3_J29561	GO:0008152 GO:0016787 GO:0004721 GO:0016311 GO:0006470	3.1.3.16	PTHR11668 PTHR11668:SF24	PF00149
Phatr3_J15016	GO:0003677 GO:0003682		PTHR10641 PTHR10641:SF703	PF00249
Phatr3_J38966	GO:0006508 GO:0008233 GO:0016787 GO:0008236 GO:0004252		PTHR43806 PTHR43806:SF25	PF00082 PF04886
Phatr3_J48488	GO:0016020 GO:0016021			
Phatr3_J48310	GO:0008430 GO:0045454 GO:0016020 GO:0016021		PTHR13544 PTHR13544:SF0	PF10262
Phatr3_J48358	GO:0005515		PTHR19959 PTHR19959:SF204	PF13181 PF13424
Phatr3_J14922	GO:0008324 GO:0006813 GO:0055085 GO:0016021		PTHR43652 PTHR43652:SF2	PF02080 PF03600
Phatr3_J29502	GO:0005634 GO:0006281 GO:0003676 GO:0005515		PTHR10644 PTHR10644:SF3	PF03178 PF10433
Phatr3_J14962	GO:0003824 GO:0008152 GO:0016829 GO:0030170		PTHR11808	PF01053
Phatr3_J48347	GO:0004843 GO:0008152 GO:0005515		PTHR44275	
Phatr3_J48492	GO:0006508 GO:0008233 GO:0016787 GO:0008236 GO:0004252		PTHR43806 PTHR43806:SF25	PF00082
Phatr3_J48435	GO:0006508 GO:0004176			PF02190
Phatr3_EG00547	GO:0005515		PTHR13140 PTHR13140:SF725	PF00612
Phatr3_J3145	GO:0015937 GO:0004594 GO:0005524	2.7.1.33	PTHR12280 PTHR12280:SF30	PF03630
Phatr3_EG00536	GO:0004114 GO:0007165			PF00233
Phatr3_J6437	GO:0004408 GO:0008152 GO:0005739 GO:0016020 GO:0046872 GO:0016829 GO:0005743	4.4.1.17	PTHR12743 PTHR12743:SF4	PF01265
Phatr3_J38754	GO:0016021 GO:0016020		PTHR13353 PTHR13353:SF5	PF01940
Phatr3_J38879	GO:0005515		PTHR19959 PTHR19959:SF204	PF13374 PF13424
Phatr3_J22395	GO:0009507 GO:0016020 GO:0018298 GO:0016021 GO:0015979 GO:0009523 GO:0009579 GO:0016168 GO:0009765 GO:0009535		PTHR21649 PTHR21649:SF15	PF00504
Phatr3_J48434	GO:0005515			PF00400
Phatr3_J38974	GO:0005515		PTHR13271 PTHR13271:SF83	PF00856
Phatr3_J52412	GO:0016020 GO:0016021 GO:0030554 GO:0006810 GO:0006811 GO:0055085 GO:0005216 GO:0005247 GO:0006821 GO:0034220 GO:0044070 GO:1902476		PTHR11689 PTHR11689:SF59	PF00571 PF00654
Phatr3_J48495	GO:0006508 GO:0008233 GO:0016787 GO:0008236 GO:0004252		PTHR43806 PTHR43806:SF25	PF00082
Phatr3_J14995	GO:0000166 GO:0005737 GO:0003924 GO:0005525 GO:0005874 GO:0007017 GO:0051258		PTHR30314 PTHR30314:SF12	PF00091 PF12327
Phatr3_J29532	GO:0003676		PTHR43788 PTHR43788:SF2	PF01424 PF13086 PF13087
Phatr3_J48463	GO:0016020 GO:0016021			
Phatr3_EG02261	GO:0003824 GO:0015977 GO:0006099 GO:0008964	4.1.1.31	PTHR30523	PF00311
Phatr3_EG02265	GO:0007165 GO:0009190 GO:0016849 GO:0035556 GO:0004114 GO:0016020 GO:0016021 GO:0005622		PTHR11920	PF00092 PF00211 PF00233
Phatr3_J48313	GO:0005515			
Phatr3_J38965	GO:0004540 GO:0003723		PTHR23355	PF00773 PF17849
Phatr3_J48378	GO:0005727			PF17517
Phatr3_J14996	GO:0016020		PTHR33219 PTHR33219:SF1	PF02325
Phatr3_EG01966	GO:0015074 GO:0003676	2.7.7.7	PTHR44381 PTHR44381:SF3	PF07727
Phatr3_EG02264	GO:0005524 GO:0003824 GO:0008152 GO:0004672 GO:0006468 GO:0016772 GO:0004722 GO:0006470 GO:0003676	3.1.3.16	PTHR13832	PF00069 PF00481
Phatr3_J38924	GO:0016020 GO:0016021			
Phatr3_J6062	GO:0009507 GO:0016020 GO:0018298 GO:0016021 GO:0015979 GO:0009523 GO:0009579 GO:0016168 GO:0009765 GO:0009535		PTHR21649 PTHR21649:SF7	PF00504
Phatr3_J38724	GO:0016020 GO:0016021 GO:0006810 GO:0005789		PTHR22811 PTHR22811:SF58	PF01105
Phatr3_J54901				
Phatr3_J48408	GO:0016702 GO:0055114 GO:0046872		PTHR10543 PTHR10543:SF37	PF03055
Phatr3_J14998	GO:0016887 GO:0005524		PTHR19211 PTHR19211:SF58	PF00005 PF12848
Phatr3_J14915	GO:0003723 GO:0006412 GO:0003735 GO:0015934		PTHR23105 PTHR23105:SF51	PF00687
Phatr3_EG00521	GO:0003676	2.7.7.7	PTHR44381 PTHR44381:SF3	PF07727
Phatr3_EG00559	GO:0004553 GO:0005975			
Phatr3_J48455	GO:0005515			
Phatr3_J48415				
Phatr3_EG00543	GO:0005515		PTHR24153 PTHR24153:SF8	PF12796
Phatr3_J15042	GO:0005524 GO:0016853 GO:0003677 GO:0003918 GO:0006265		PTHR10871 PTHR10871:SF4	PF09239 PF13589
Phatr3_J38848	GO:0003697 GO:0004519 GO:0005634 GO:0006281 GO:0090305 GO:0004518 GO:0006289 GO:0003677 GO:0016788 GO:0003824		PTHR16171 PTHR16171:SF7	PF00752 PF00867
Phatr3_J48354	GO:0007165 GO:0009190 GO:0016849 GO:0035556 GO:0004114 GO:0016020 GO:0016021 GO:0046872 GO:0016787 GO:0005622		PTHR11920	PF00211 PF00233
Phatr3_J48493	GO:0006508 GO:0008233 GO:0016787 GO:0008236 GO:0004252		PTHR43806 PTHR43806:SF25	PF00082
Phatr3_J38881	GO:0000166 GO:0003676			
Phatr3_J14945	GO:0016020 GO:0016021		PTHR21236 PTHR21236:SF2	
Phatr3_J38931	GO:0016570 GO:0003677 GO:0005634 GO:0006352 GO:0016593 GO:0006368		PTHR13115 PTHR13115:SF8	PF03126
Phatr3_J48490	GO:0003824 GO:0008152 GO:0004722 GO:0006470	3.1.3.16	PTHR13832 PTHR13832:SF525	PF00481
Phatr3_J22388	GO:0055114 GO:0016491 GO:0045454 GO:0005623	1.11.1.15	PTHR10430	PF08534
Phatr3_J48379	GO:0005727			
Phatr3_J22404	GO:0000287 GO:0016740 GO:0006096 GO:0003824 GO:0004743 GO:0016301 GO:0016310 GO:0030955	2.7.1.40	PTHR11817 PTHR11817:SF3	PF00224 PF02887
Phatr3_J38794	GO:0005975 GO:0004553 GO:0016020 GO:0016021		PTHR10963 PTHR10963:SF24	PF00722
Phatr3_J48482	GO:0016020 GO:0016021		PTHR31094	PF10184
Phatr3_J38821	GO:0016020 GO:0016021 GO:0005509 GO:0006810 GO:0006811 GO:0071805 GO:0005267		PTHR11003 PTHR11003:SF243	PF07885 PF13202
Phatr3_J48343	GO:0016020 GO:0016021		PTHR10994 PTHR10994:SF3	PF03407
Phatr3_J14917	GO:0071951 GO:0004479 GO:0016742 GO:0003824 GO:0009058 GO:0006413	2.1.2.9	PTHR11138 PTHR11138:SF4	PF00551 PF02911
Phatr3_J38713	GO:0003676			
Phatr3_EG02448	GO:0005509			PF13499
Phatr3_J48329	GO:0005515			PF00595
Phatr3_J51134	GO:0000166 GO:0005524 GO:0019538		PTHR11638 PTHR11638:SF146	PF00004 PF02861 PF07724 PF10431 PF17871
Phatr3_EG00556	GO:0033588 GO:0002098 GO:0005515		PTHR44111	PF00400
Phatr3_J48348	GO:0016020 GO:0016021		PTHR22050 PTHR22050:SF0	
Phatr3_EG00552	GO:0005525		PTHR43681	PF01926
Phatr3_J14927	GO:0008199 GO:0004322 GO:0055114 GO:0005739 GO:0016226	1.16.3.1	PTHR16821 PTHR16821:SF2	PF01491
Phatr3_J48411	GO:0003723 GO:0006412 GO:0003735 GO:0005840 GO:0015935 GO:1990904		PTHR13718 PTHR13718:SF79	PF00333 PF03719
Phatr3_J54907	GO:0006862 GO:0005471 GO:0016021		PTHR31187 PTHR31187:SF1	PF03219
Phatr3_J38930	GO:0016810 GO:0006807		PTHR43674 PTHR43674:SF3	PF00795
Phatr3_J15081	GO:0004672		PTHR11947	PF02518 PF10436
Phatr3_J48496	GO:0006508 GO:0008233 GO:0016787 GO:0008236 GO:0004252		PTHR43806 PTHR43806:SF25	PF00082
Phatr3_J29488	GO:0005506 GO:0006629 GO:0006633 GO:0016717 GO:0020037 GO:0055114 GO:0016491 GO:0016021 GO:0016020		PTHR19353 PTHR19353:SF19	PF00173 PF00487
Phatr3_J4674	GO:0008033		PTHR43686 PTHR43686:SF2	PF01171
Phatr3_J48302	GO:0009058 GO:0003824		PTHR10695 PTHR10695:SF25	PF01467
Phatr3_J48430	GO:0005786 GO:0030942 GO:0005047 GO:0006614 GO:0008312 GO:0003723		PTHR12860	PF16969
Phatr3_J38958	GO:0055114 GO:0016491			PF13640
Phatr3_J22367	GO:0006511 GO:0031461 GO:0031625		PTHR11932	PF00888 PF10557
Phatr3_J7346	GO:0042254		PTHR10792 PTHR10792:SF8	PF01246
Phatr3_J48406	GO:0016020 GO:0016021		PTHR36978	PF17784
Phatr3_J15083	GO:0004046 GO:0005737 GO:0008152 GO:0016787 GO:0006520	3.5.1.14	PTHR11014 PTHR11014:SF106	PF01546 PF07687
Phatr3_J48471	GO:0005515		PTHR19959 PTHR19959:SF204	PF13374 PF13424
Phatr3_J38891	GO:0004400 GO:0016740 GO:0003824 GO:0008152 GO:0030170 GO:0009058 GO:0000105	2.6.1.9	PTHR42885 PTHR42885:SF2	PF00155
Phatr3_J38963	GO:0019478 GO:0005737 GO:0016787 GO:0016788 GO:0051499 GO:0002161 GO:0003723 GO:0000049 GO:0106074 GO:0051500 GO:0006399		PTHR10472 PTHR10472:SF5	PF02580
Phatr3_J48306	GO:0006412 GO:0006413 GO:0003743		PTHR13227	PF08662
Phatr3_J48341	GO:0003824 GO:0008152 GO:0016020 GO:0016021		PTHR31047 PTHR31047:SF0	PF06824
Phatr3_J29551	GO:0008152 GO:0016787 GO:0003993 GO:0046872 GO:0016311		PTHR22953 PTHR22953:SF46	PF00149 PF14008 PF16656
Phatr3_J22357	GO:0004356 GO:0003824 GO:0006807	6.3.1.2	PTHR42974	PF00120 PF12437 PF18318
Phatr3_J48395	GO:0016879 GO:0000166 GO:0005524 GO:0005737 GO:0008033 GO:0005515		PTHR43033 PTHR43033:SF3	PF01171 PF06041
Phatr3_J1174	GO:0008152 GO:0005975 GO:0016758 GO:0030259	2.4.1.227	PTHR11926 PTHR11926:SF692	PF00201 PF03033
Phatr3_J48355	GO:0016020 GO:0016021		PTHR15907 PTHR15907:SF21	PF04749
Phatr3_J48484	GO:0006508 GO:0008233 GO:0016787 GO:0008236 GO:0004252		PTHR43806 PTHR43806:SF25	PF00082
Phatr3_J48486	GO:0005515		PTHR12197	PF00856
Phatr3_J14990	GO:0045454 GO:0016020 GO:0016021 GO:0005623		PTHR10984 PTHR10984:SF37	PF00085 PF07970 PF13850
Phatr3_J48316	GO:0006412		PTHR20982	PF01765
Phatr3_J48371	GO:0005515		PTHR45171	
Phatr3_J48338	GO:0003676 GO:0005634		PTHR15092 PTHR15092:SF22	PF04857
Phatr3_J48445	GO:0006629 GO:0008081		PTHR13593 PTHR13593:SF35	
Phatr3_J22459	GO:0005506 GO:0006629 GO:0006633 GO:0016717 GO:0020037 GO:0055114 GO:0016491 GO:0016021 GO:0016020		PTHR19353 PTHR19353:SF54	PF00173 PF00487
Phatr3_J48394	GO:0006355 GO:0003677 GO:0003700 GO:0043565 GO:0005634		PTHR10015 PTHR10015:SF220	PF00447
Phatr3_J48469	GO:0055114 GO:0008270 GO:0016491		PTHR44013 PTHR44013:SF1	
Phatr3_J48376	GO:0005634 GO:0006364 GO:0005730 GO:0042254 GO:0000469		PTHR21738	PF06102
Phatr3_J38892	GO:0016020 GO:0016021			
Phatr3_J3182	GO:0005515		PTHR22870 PTHR22870:SF244	PF00415 PF00651
Phatr3_J48494	GO:0006508 GO:0008233 GO:0016787 GO:0008236 GO:0004252		PTHR43806 PTHR43806:SF25	PF00082
Phatr3_J48436	GO:0016021 GO:0006810			
Phatr3_J54899	GO:0016020 GO:0016021		PTHR20913	PF00566
Phatr3_J48305	GO:0016020 GO:0016021			
Phatr3_J14986	GO:0009507 GO:0016020 GO:0018298 GO:0016021 GO:0015979 GO:0009523 GO:0009579 GO:0016168 GO:0009765 GO:0009535		PTHR21649 PTHR21649:SF7	PF00504
Phatr3_J48416	GO:0008168 GO:0016740 GO:0003723 GO:0032259		PTHR22808 PTHR22808:SF1	PF01189
Phatr3_J14994	GO:0004360 GO:0016740 GO:0005975 GO:0030246 GO:0008483 GO:0016051 GO:1901137 GO:1901135 GO:0097367	2.6.1.16	PTHR10937 PTHR10937:SF0	PF01380 PF13522
Phatr3_J15032	GO:0000774 GO:0005739 GO:0006457 GO:0042803 GO:0005759 GO:0051087 GO:0050790		PTHR21237 PTHR21237:SF23	PF01025
Phatr3_J48393	GO:0055114 GO:0016491 GO:0050660 GO:0045454 GO:0005623		PTHR43014 PTHR43014:SF2	PF02852 PF07992
Phatr3_J22353	GO:0016021 GO:1902600 GO:0006810 GO:0006811 GO:0055085 GO:0006814 GO:0006812 GO:0006885 GO:0015297 GO:0015299 GO:0015385 GO:0035725 GO:0016020		PTHR10110	PF00999
Phatr3_J22453	GO:0008324 GO:0006813 GO:0055085 GO:0016021		PTHR43652 PTHR43652:SF2	PF02080 PF03600
Phatr3_J48388	GO:0016021 GO:0006810 GO:0022857 GO:0055085 GO:0016020		PTHR14233 PTHR14233:SF4	PF06027
Phatr3_J7656	GO:0045454 GO:0005623		PTHR12143 PTHR12143:SF19	PF01841 PF09409 PF13905
Phatr3_J48444	GO:0004591 GO:0030976 GO:0055114 GO:0008152 GO:0006099 GO:0016624	1.2.4.2	PTHR23152	PF00676
Phatr3_J15068	GO:0055114 GO:0006779 GO:0004109	1.3.3.3	PTHR10755 PTHR10755:SF0	PF01218
Phatr3_J48342	GO:0016020 GO:0016021			
Phatr3_EG02263	GO:0007165 GO:0008152 GO:0004114 GO:0009190 GO:0016849 GO:0035556		PTHR11920	PF00211 PF00233
Phatr3_J22398	GO:0005524		PTHR12169	PF03969
Phatr3_J48691	GO:0016020 GO:0016021			
Phatr3_J48603	GO:0055114 GO:0016491		PTHR10742	PF01593
Phatr3_EG02256	GO:0016020 GO:0016021		PTHR43642 PTHR43642:SF1	PF13191
Phatr3_J48699	GO:0005622 GO:0006412 GO:0003735 GO:0005840		PTHR11726 PTHR11726:SF10	PF00252
Phatr3_J39062	GO:0005515			PF00627
Phatr3_J48689	GO:0055114 GO:0016491 GO:0016706 GO:0005515			
Phatr3_J605	GO:0003678 GO:0006260 GO:0005524		PTHR12873	PF13155 PF13481
Phatr3_J48525	GO:0016020 GO:0016021 GO:0016740 GO:0008270 GO:0046872 GO:0008152 GO:0016746 GO:0019706		PTHR22883 PTHR22883:SF40	PF01529
Phatr3_J15089	GO:0055114 GO:0045454 GO:0015035 GO:0006662 GO:0005623		PTHR10438 PTHR10438:SF284	PF00085
Phatr3_J48679	GO:0016020 GO:0016021			
Phatr3_J15186	GO:0070143 GO:0006419 GO:0004813 GO:0000166 GO:0005524 GO:0005737 GO:0003676 GO:0008270 GO:0046872 GO:0003723 GO:0005739 GO:0006412 GO:0016874 GO:0000049 GO:0004812 GO:0043039	6.1.1.7	PTHR11777	PF01411 PF02272 PF07973
Phatr3_J15126	GO:0016020 GO:0016021		PTHR34187 PTHR34187:SF4	PF02656
Phatr3_J39090	GO:0008270 GO:0046872		PTHR11210 PTHR11210:SF2	PF12678
Phatr3_J48664	GO:0008152 GO:0016772		PTHR22603	PF01633
Phatr3_J48667	GO:0006355 GO:0003677 GO:0003700 GO:0043565 GO:0005634		PTHR10015 PTHR10015:SF220	PF00447
Phatr3_EG00517	GO:0008168		PTHR22807 PTHR22807:SF4	PF01189
Phatr3_J22629	GO:0016020 GO:0000166 GO:0005524 GO:0016887 GO:0016021		PTHR19241	PF00005 PF01061
Phatr3_EG00497	GO:0003676			
Phatr3_J48538	GO:0016020 GO:0016021		PTHR10783 PTHR10783:SF60	PF02656 PF09359
Phatr3_J48656	GO:0016020 GO:0016021 GO:0016740 GO:0008270 GO:0046872 GO:0008152 GO:0016746 GO:0019706		PTHR22883 PTHR22883:SF40	PF01529
Phatr3_J39129	GO:0055114 GO:0016491 GO:0005507		PTHR11709 PTHR11709:SF146	PF00394 PF07732
Phatr3_J39235	GO:0016020 GO:0016021		PTHR12907 PTHR12907:SF25	
Phatr3_J7778	GO:0005524 GO:0004672 GO:0006468 GO:0016772		PTHR44012	PF00069
Phatr3_J39095	GO:0005515		PTHR23244 PTHR23244:SF401	PF13418
Phatr3_J39127	GO:0016020 GO:0016021			
Phatr3_J48698	GO:0016020 GO:0016021		PTHR10981 PTHR10981:SF0	PF02487
Phatr3_J48517	GO:0008610		PTHR43832	PF02353
Phatr3_J39236	GO:0005516 GO:0004683 GO:0006468	5.3.3.1		PF08332
Phatr3_J39159	GO:0016020 GO:0016021			
Phatr3_J29633	GO:0055114 GO:0016491		PTHR43675 PTHR43675:SF4	PF01593 PF02353
Phatr3_J48636	GO:0055114 GO:0016491 GO:0004601 GO:0006979 GO:0004602 GO:0098869		PTHR11592 PTHR11592:SF76	PF00255
Phatr3_J48523	GO:0043048 GO:0030176 GO:0004168 GO:0016310 GO:0016020 GO:0016021		PTHR13205	
Phatr3_J48684	GO:0005515		PTHR19855 PTHR19855:SF11	PF00400
Phatr3_J48518	GO:0016020 GO:0055085 GO:0030001 GO:0046873 GO:0016021		PTHR16950 PTHR16950:SF16	PF02535
Phatr3_J48640	GO:0016020 GO:0016021		PTHR31595	PF13813
Phatr3_J48573	GO:0003677 GO:0003682 GO:0031848 GO:0042162 GO:0000784 GO:0000723 GO:0005634		PTHR21717 PTHR21717:SF13	
Phatr3_J48599	GO:0016020 GO:0016021			
Phatr3_J48560	GO:0016020 GO:0016021			
Phatr3_J48508	GO:0006614 GO:0005515 GO:0005737 GO:0005786		PTHR14094	
Phatr3_J39223	GO:0003676 GO:0015074	2.7.7.7	PTHR44381 PTHR44381:SF3	PF07727
Phatr3_J48643	GO:0045454 GO:0005623		PTHR13871 PTHR13871:SF52	PF13905
Phatr3_J48605	GO:0016020 GO:0016021			
Phatr3_J48678	GO:0009190 GO:0016849 GO:0035556 GO:0016020 GO:0016021 GO:0005622		PTHR11920	PF00211
Phatr3_J15207	GO:0008152 GO:0016787		PTHR13994	PF00293 PF18290
Phatr3_J39133	GO:0055114 GO:0009055 GO:0045454 GO:0015035 GO:0022900 GO:0005623		PTHR10168 PTHR10168:SF14	
Phatr3_EG01955	GO:0003989 GO:0006633 GO:0000166 GO:0005524 GO:0046872 GO:0003824 GO:0008152 GO:0016874 GO:0004075	6.4.1.2	PTHR18866 PTHR18866:SF6	PF00289 PF00364 PF01039 PF02785 PF02786 PF08326
Phatr3_J48645	GO:0042823 GO:0004733 GO:0055114 GO:0016491 GO:0010181 GO:0048037 GO:0016020 GO:0016021	1.4.3.5	PTHR39336	PF01243
Phatr3_EG01954	GO:0016887 GO:0042626 GO:0005524 GO:0055085 GO:0016021		PTHR19229 PTHR19229:SF154	PF00005
Phatr3_J48512	GO:0008152 GO:0016881		PTHR24068 PTHR24068:SF72	PF00179
Phatr3_J22554	GO:0097502 GO:0033164 GO:0004378 GO:0016740 GO:0016757 GO:0009058		PTHR12526	PF00534 PF13439
