Gene ID	GO	KO
GFH13266	GO:0016573 GO:0006355 GO:0004402	K11308
GFH13267	GO:0005737 GO:0006420 GO:0005524 GO:0004814 GO:0000166	
GFH13268	GO:0006420 GO:0005524 GO:0004814	K01887
GFH13274	GO:0003676	K12822
GFH13275	GO:0006397	
GFH13278	GO:0005515	
GFH13279	GO:0005515	
GFH13281	GO:0003676	K10739
GFH13283	GO:0007165 GO:0004114	
GFH13285	GO:0055114 GO:0010277	
GFH13286	GO:0006468 GO:0004672 GO:0005524	
GFH13295	GO:0005515	
GFH13299	GO:0055114 GO:0016491	K00111
GFH13300	GO:0016021 GO:0015689 GO:0015098	
GFH13301	GO:0017119 GO:0006891	
GFH13310	GO:0005515	
GFH13319	GO:0035091	
GFH13324	GO:0006281 GO:0003684	K03515
GFH13325	GO:0005515	
GFH13327	GO:0005515	
GFH13338	GO:0007165 GO:0004114	
GFH13342	GO:0006508 GO:0004252 GO:0005525	
GFH13354	GO:0030259 GO:0005975 GO:0016758	K05841
GFH13355	GO:0005515	
GFH13363	GO:0003723	K07575
GFH13366	GO:0005524	K09500
GFH13367	GO:0005524	K09500
GFH13375	GO:0016887 GO:0005524 GO:0016021 GO:0055085 GO:0042626	K05658
GFH13376	GO:0016021 GO:0055085 GO:0042626 GO:0005524	
GFH13391	GO:0050661 GO:0051287	
GFH13396	GO:0030915 GO:0006281	K22817
GFH13405	GO:0016020 GO:0055085 GO:0022857	
GFH13409	GO:0004807	K01803
GFH13411	GO:0006468 GO:0005524 GO:0004672	
GFH13414	GO:0045454	
GFH13416	GO:0016020 GO:0055085 GO:0022857	K06901
GFH13421	GO:0006486 GO:0003980	
GFH13425	GO:0005525	
GFH13427	GO:0006468 GO:0005524 GO:0004672	
GFH13434	GO:0005975 GO:0004553	
GFH13439	GO:0005779 GO:0016559	
GFH13446	GO:0005524 GO:0015986 GO:1902600 GO:0046034	
GFH13453	GO:0016020 GO:0055085 GO:0022857	
GFH13454	GO:0006468 GO:0005524 GO:0004672	
GFH13468	GO:0005515	K17868
GFH13482	GO:0006508 GO:0004190	K11885
GFH13487	GO:0006468 GO:0005524 GO:0004672	
GFH13489	GO:0007165 GO:0004114	
GFH13494	GO:0006096 GO:0004332	K01623
GFH13498	GO:0008641	K22132
GFH13510	GO:0055114 GO:0016491 GO:0016209	
GFH13511	GO:0045454	K03671
GFH13519	GO:0006096 GO:0030955 GO:0004743 GO:0000287	
GFH13527	GO:0004842	
GFH13533	GO:0005515	
GFH13534	GO:0005509	
GFH13535	GO:0015979 GO:0010207	
GFH13541	GO:0042025 GO:0000786 GO:0006334 GO:0003677	K11275
GFH13544	GO:0006468 GO:0005524 GO:0004672	
GFH13545	GO:0005515	
GFH13546	GO:0046872	
GFH13551	GO:0000160 GO:0007165 GO:0000155 GO:0016020 GO:0006811 GO:0005216 GO:0005515 GO:0035556 GO:0009190	
GFH13555	GO:0006396 GO:0008173	
GFH13560	GO:0055114 GO:0050660 GO:0016491	
GFH13564	GO:0016020 GO:0055085 GO:0042910 GO:0015297	K03327
GFH13575	GO:0045261 GO:0015986 GO:0046933	K02115
GFH13581	GO:0005524 GO:0003676 GO:0016787 GO:0003677	
GFH13582	GO:0070823 GO:0016575	K11654
GFH13590	GO:0055114 GO:0016491	
GFH13597	GO:0016020 GO:0055085 GO:0006821 GO:0005247	
GFH13598	GO:0016020 GO:0055085 GO:0006821 GO:0005247	
GFH13605	GO:0032259 GO:0008168	
GFH13608	GO:2001070	
GFH13615	GO:0055114 GO:0016491	
GFH13619	GO:0005515	K14824
GFH13620	GO:0006364 GO:0005515	K14824
GFH13635	GO:0006468 GO:0004672 GO:0005524	
GFH13638	GO:0005840 GO:0006412 GO:0003735	K02895
GFH13643	GO:0006298 GO:0030983 GO:0005524	K08740
GFH13656	GO:0016020 GO:0055114 GO:0017004	K06196
GFH13664	GO:0005515	K17579
GFH13667	GO:0003824	
GFH13668	GO:0006468 GO:0005524 GO:0004672	K07198
GFH13673	GO:0070567	K00991
GFH13678	GO:0006508 GO:0004252	
GFH13681	GO:0005681 GO:0000398	K06063
GFH13682	GO:0005524 GO:0003676	
GFH13684	GO:0005515	K14556
GFH13688	GO:0045454	K03671
GFH13695	GO:0009231 GO:0008531	K20884
GFH13697	GO:0009116	K00761
GFH13709	GO:0016887 GO:0005524	K03404
GFH13712	GO:0005515	
GFH13713	GO:0009058 GO:0003824	K02201
GFH13722	GO:0007034	K12192
GFH13726	GO:0016020 GO:0006486 GO:0008417	
GFH13727	GO:0005515	
GFH13729	GO:0002100 GO:0008251	K01493
GFH13730	GO:0005777 GO:0007031 GO:0005524	
GFH13731	GO:0005524	K13338
GFH13732	GO:0006508 GO:0004252	
GFH13738	GO:0016787	
GFH13743	GO:0055114 GO:0016491 GO:0016209	K03564
GFH13756	GO:0006511 GO:0004843	
GFH13772	GO:0016021 GO:0015693 GO:0015095	K22733
GFH13776	GO:0055114 GO:0016491 GO:0016209 GO:0051920	K03386
GFH13781	GO:0006468 GO:0005524 GO:0004672	
GFH13789	GO:0003855	K13832
GFH13798	GO:0016020 GO:0006817 GO:0005315	
GFH13799	GO:0016020 GO:0006817 GO:0005315	
GFH13804	GO:0003676	K12890
GFH13806	GO:0005975 GO:0004553	K07407
GFH13807	GO:0005524 GO:0003676	
GFH13816	GO:0030001 GO:0046872	K17686
GFH13820	GO:0003725	
GFH13827	GO:0020037	K12319
GFH13828	GO:0020037 GO:0006182 GO:0004383	K12319
GFH13829	GO:0007165 GO:0004114	
GFH13831	GO:0003676	
GFH13834	GO:0006468 GO:0005524 GO:0004672	
GFH13837	GO:0055114	
GFH13849	GO:0042578	
GFH13855	GO:0005515	
GFH13861	GO:0035556 GO:0009190	
GFH13867	GO:0016020 GO:0055085 GO:0022857	
GFH13873	GO:0009229 GO:0005524 GO:0004788 GO:0030975	K00949
GFH13887	GO:0006457 GO:0051082 GO:0005524 GO:0016021 GO:0008272 GO:0015116	K04079
GFH13897	GO:0009116 GO:0003824	
GFH13898	GO:0005515 GO:0003723	K14327
GFH13907	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH13908	GO:0009073 GO:0004107	K01736
GFH13909	GO:0016021 GO:0055085 GO:0006812 GO:0008324	K14689
GFH13933	GO:0006355 GO:0003700	
GFH13935	GO:0005515	
GFH13938	GO:0005975 GO:0004553	
GFH13941	GO:0009264 GO:0008253	
GFH13945	GO:0003676	
GFH13946	GO:0003676	
GFH13952	GO:0003723	
GFH13960	GO:0006508 GO:0008236	
GFH13962	GO:0032012 GO:0005086	
GFH13966	GO:0005524 GO:0016887 GO:0006355 GO:0008134	
GFH13968	GO:0016021 GO:0006869 GO:0005319	K06316
GFH13970	GO:0046872	
GFH13981	GO:0055114 GO:0016491	
GFH13991	GO:0005509	
GFH13999	GO:0071949	
GFH14001	GO:0000145 GO:0006887	
GFH14004	GO:0006355 GO:0003690	
GFH14005	GO:0005515	
GFH14011	GO:0006418 GO:0005524 GO:0004812 GO:0000166 GO:0003723	K01866
GFH14016	GO:0005737	K14801
GFH14018	GO:0003676	K12837
GFH14019	GO:0050662 GO:0003824	K11161
GFH14020	GO:0005515	K17508
GFH14021	GO:0003824	K17508
GFH14023	GO:0055114 GO:0016702	
GFH14024	GO:0055114 GO:0016702	
GFH14026	GO:0000786 GO:0003677	K11251
GFH14028	GO:0042025 GO:0000786 GO:0006334 GO:0003677	K11275
GFH14033	GO:0042025 GO:0000786 GO:0006334 GO:0003677	
GFH14040	GO:0030688 GO:0006364	K14849
GFH14051	GO:0055085 GO:0022857	
GFH14056	GO:0003676	K14325
GFH14057	GO:0006468 GO:0005524 GO:0004672	K08835
GFH14064	GO:0006468 GO:0005524 GO:0004672	
GFH14068	GO:0006468 GO:0005524 GO:0004672	
GFH14090	GO:0006468 GO:0005524 GO:0004672	K17545
GFH14101	GO:0006508 GO:0004252	
GFH14107	GO:0016021 GO:0055085 GO:0042626 GO:0005524 GO:0016887	K05665
GFH14108	GO:0016021 GO:0055085 GO:0042626 GO:0005524	
GFH14111	GO:0006468 GO:0005524 GO:0004672	K08867
GFH14112	GO:0016192 GO:0006904	
GFH14113	GO:0016192 GO:0006904	
GFH14119	GO:0006457 GO:0051087 GO:0042803 GO:0000774	
GFH14123	GO:0008168	
GFH14126	GO:0055114 GO:0016491 GO:0016616	K00051
GFH14127	GO:0006468 GO:0005524 GO:0004672	K08857
GFH14129	GO:0035556 GO:0009190	
GFH14134	GO:0016021 GO:0008272 GO:0015116	K03321
GFH14136	GO:0016757	
GFH14138	GO:0005975 GO:0004553	
GFH14148	GO:0006468 GO:0005524 GO:0004672	
GFH14152	GO:0030117 GO:0016192 GO:0006886	K12400
GFH14155	GO:0006468 GO:0004672 GO:0005524	
GFH14162	GO:0016787	K03574
GFH14170	GO:0051536 GO:0009055	K02639
GFH14173	GO:0006468 GO:0005524 GO:0004672	
GFH14193	GO:0051260	
GFH14196	GO:0051260	K21917
GFH14197	GO:0006468 GO:0004672 GO:0005524	
GFH14198	GO:0008168	K00591
GFH14202	GO:0008168	
GFH14207	GO:0005515	
GFH14211	GO:0003743	
GFH14214	GO:0005515	
GFH14216	GO:0006813	
GFH14217	GO:0016021 GO:0055085 GO:0006812 GO:0015299	
GFH14225	GO:0006468 GO:0005524 GO:0004672	K08857
GFH14229	GO:0008017 GO:0007018 GO:0005524 GO:0003777	K10405
GFH14233	GO:0005524 GO:1902600 GO:0046034	K02133
GFH14249	GO:0016887 GO:0005524	
GFH14250	GO:0016020	
GFH14251	GO:0005840 GO:0006412 GO:0003735	K02894
GFH14256	GO:0007264 GO:0005092	K17255
GFH14271	GO:0016021 GO:0006506 GO:0016758	
GFH14279	GO:0016226 GO:0008199	K19054
GFH14284	GO:0003729 GO:0000340	
GFH14288	GO:0006355	
GFH14292	GO:0005524	
GFH14294	GO:0005524	
GFH14297	GO:0055085 GO:0022857 GO:0016021	
GFH14300	GO:0005525	
GFH14301	GO:0005525	
GFH14306	GO:0015631	K21766
GFH14313	GO:0042626	K02149
GFH14317	GO:0030286 GO:0007018 GO:0003777	
GFH14320	GO:0006614 GO:0005525	K03110
GFH14322	GO:0005789	K13249
GFH14323	GO:0006418 GO:0005524 GO:0004812 GO:0000166	K01866
GFH14324	GO:0055114 GO:0006520 GO:0016491	
GFH14327	GO:0005789 GO:0016758	
GFH14328	GO:0005789 GO:0016758	
GFH14330	GO:0005789 GO:0016758	K03848
GFH14333	GO:0003676	
GFH14335	GO:0006629	
GFH14336	GO:0009507 GO:0055114 GO:0046422	
GFH14338	GO:0016887 GO:0005524	
GFH14339	GO:0016887 GO:0005524	
GFH14343	GO:0016021 GO:0006890 GO:0004252	
GFH14354	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH14358	GO:0005524	
GFH14359	GO:0006468 GO:0005524 GO:0004672	
GFH14361	GO:0006468 GO:0005524 GO:0004672	K02218
GFH14362	GO:0016887 GO:0005524	K06185
GFH14365	GO:0000398	
GFH14366	GO:0000398 GO:0017070 GO:0030623 GO:0003723 GO:0005515	K12856
GFH14374	GO:2001070	
GFH14399	GO:0006413 GO:0003743 GO:0003723	K15025
GFH14405	GO:0005840 GO:0006412 GO:0003735 GO:0003723	K02981
GFH14419	GO:0046488 GO:0016307	K00921
GFH14422	GO:0016788	
GFH14427	GO:0005515	
GFH14434	GO:0005515	K22184
GFH14454	GO:0006779 GO:0004853	K01599
GFH14461	GO:0006508 GO:0008236	
GFH14465	GO:0006468 GO:0005524 GO:0004672	K20606
GFH14469	GO:0006629	
GFH14470	GO:0016788	
GFH14472	GO:0005525 GO:0003924	K19372
GFH14475	GO:0016020 GO:0055085 GO:0030001 GO:0046873	K14709
GFH14476	GO:0016020 GO:0055085 GO:0030001 GO:0046873	
GFH14477	GO:0015074	
GFH14493	GO:0006355	
GFH14503	GO:0005975 GO:0004553	K19355
GFH14513	GO:0055114 GO:0005975 GO:0004367 GO:0046168 GO:0051287 GO:0016616	
GFH14515	GO:2001070	
GFH14523	GO:0006468 GO:0004672 GO:0005524 GO:0016020	
GFH14533	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH14541	GO:0016020 GO:0055085 GO:0042910 GO:0015297	
GFH14542	GO:0016020 GO:0055085 GO:0042910 GO:0015297	
GFH14556	GO:0055114 GO:0008113	K07304
GFH14559	GO:0030117 GO:0016192 GO:0006886	K12392
GFH14560	GO:0030117 GO:0016192 GO:0006886	
GFH14566	GO:0008270 GO:0008237	K08776
GFH14569	GO:0050662 GO:0003824 GO:0055114 GO:0006694 GO:0016616 GO:0003854	
GFH14570	GO:0050662 GO:0003824	K01784
GFH14572	GO:0046983	
GFH14575	GO:0003824	K22696
GFH14576	GO:0007165 GO:0004114	
GFH14581	GO:0003676	K12840
GFH14590	GO:0000813 GO:0032509	K12184
GFH14594	GO:0019752 GO:0030170 GO:0016831	K01580
GFH14612	GO:0016021 GO:0055085	
GFH14617	GO:0008168	
GFH14619	GO:0051536 GO:0003824 GO:0008080	
GFH14644	GO:0006508 GO:0008236	K01285
GFH14645	GO:0006508 GO:0008236	K01285
GFH14646	GO:0006508 GO:0008236	
GFH14649	GO:0006418 GO:0005524 GO:0004812 GO:0000166	K01870
GFH14655	GO:0055114 GO:0009916	K17893
GFH14660	GO:0016020 GO:0005509 GO:0004571	K23741
GFH14668	GO:0006508 GO:0004252 GO:0005515	
GFH14670	GO:0055114 GO:0006694 GO:0016616 GO:0003854 GO:0050662 GO:0003824	K07748
GFH14674	GO:0035556 GO:0009190	
GFH14676	GO:0043565	
GFH14678	GO:0030286 GO:0007017	
GFH14679	GO:0005634 GO:0006334	K11279
GFH14680	GO:0016624 GO:0030976 GO:0003824 GO:0016114 GO:0008661	K00161
GFH14686	GO:0006397	
GFH14697	GO:0009538 GO:0009522 GO:0015979	K02699
GFH14705	GO:0005525	
GFH14706	GO:0006568 GO:0004640	K01817
GFH14717	GO:0005509	
GFH14718	GO:0006164 GO:0004643 GO:0003937	K00602
GFH14722	GO:0000079 GO:0019901	
GFH14724	GO:0005840 GO:0006412 GO:0003735	K02866
GFH14726	GO:0003677	
GFH14727	GO:0005515	
GFH14731	GO:0055114 GO:0016491	
GFH14732	GO:0016811	
GFH14734	GO:0016811	
GFH14735	GO:0016811	
GFH14740	GO:0006096 GO:0004618	K00927
GFH14760	GO:0005524	
GFH14764	GO:0006468 GO:0005524 GO:0004672	
GFH14765	GO:0006468 GO:0005524 GO:0004672	
GFH14776	GO:0006355 GO:0003700	
GFH14780	GO:0008299 GO:0004421	
GFH14781	GO:0016787	K03574
GFH14784	GO:0003824	K01897
GFH14787	GO:0003824	K01687
GFH14788	GO:0006629 GO:0008081	K18696
GFH14794	GO:0006418 GO:0005524 GO:0004812 GO:0000166	K01881
GFH14795	GO:0016757	K00766
GFH14801	GO:0016758	K07432
GFH14804	GO:0055114 GO:0016491	
GFH14805	GO:0005515	K14319
GFH14808	GO:0003723	K13095
GFH14809	GO:0003676	
GFH14816	GO:0006412 GO:0003735 GO:0005840	
GFH14820	GO:0004425	
GFH14822	GO:0016747	K22848
GFH14836	GO:0006355 GO:0003690	
GFH14850	GO:0005634	K13119
GFH14857	GO:0005515	
GFH14858	GO:0006289 GO:0016799 GO:0008270 GO:0003906 GO:0003684 GO:0006284	K10563
GFH14860	GO:0035556 GO:0009190	
GFH14865	GO:0005515	
GFH14867	GO:0016020 GO:0005507 GO:0004129	K02261
GFH14871	GO:0006629 GO:0055114 GO:0016717	K10257
GFH14876	GO:0007018 GO:0008017 GO:0005524 GO:0003777	K10397
GFH14899	GO:0005975 GO:0004553	K01190
GFH14902	GO:0046872	K19045
GFH14910	GO:0003676	
GFH14921	GO:0016020 GO:0009523 GO:0015979	
GFH14927	GO:0055114 GO:0016491	
GFH14946	GO:0055114 GO:0046872 GO:0016491	K04035
GFH14950	GO:0035556 GO:0009190	
GFH14961	GO:0007165 GO:0000155	
GFH14963	GO:0016021	
GFH14966	GO:0005975 GO:0016773	K22935
GFH14969	GO:0003676	
GFH14972	GO:0005524 GO:0003676 GO:0016787 GO:0003677	K02349
GFH14975	GO:0051082 GO:0031072	
GFH14988	GO:0006508 GO:0008236	
GFH14992	GO:0016020 GO:0055085 GO:0006811 GO:0005216	
GFH14993	GO:0016020 GO:0055085 GO:0006811 GO:0005216	
GFH14999	GO:0005515	K12821
GFH15006	GO:0005515	
GFH15012	GO:0008168	
GFH15026	GO:0035556 GO:0009190	
GFH15034	GO:0016887 GO:0005524	
GFH15037	GO:0035556 GO:0009190	
GFH15038	GO:0046983	
GFH15042	GO:0003725	
GFH15046	GO:0055114 GO:0016702	
GFH15051	GO:0005525	
GFH15052	GO:0055085 GO:0022857 GO:0016021	
GFH15054	GO:0005525	
GFH15059	GO:0005515	
GFH15075	GO:0071949	
GFH15076	GO:0055114 GO:0006631 GO:0045300	
GFH15078	GO:0046872	K10666
GFH15091	GO:0055114 GO:0006979 GO:0004602	
GFH15092	GO:0042765 GO:0016255	
GFH15093	GO:0045454 GO:0005783	K09584
GFH15100	GO:0000049	K15437
GFH15101	GO:0004842	K10590
GFH15108	GO:0055114 GO:0010309	K08967
GFH15110	GO:0016021	
GFH15113	GO:0055114 GO:0008610 GO:0016491 GO:0005506	K15746
GFH15115	GO:0007018 GO:0008017 GO:0005524 GO:0003777	K10395
GFH15120	GO:0006468 GO:0005524 GO:0004672	
GFH15127	GO:0030880 GO:0006352	K03012
GFH15129	GO:0006468 GO:0005524 GO:0004672	
GFH15130	GO:0003676	
GFH15132	GO:0005525	
GFH15133	GO:0005525 GO:0003924	
GFH15134	GO:0006281 GO:0004518	K10846
GFH15147	GO:0009073 GO:0004107	K01736
GFH15152	GO:0070403	
GFH15157	GO:0005515	
GFH15158	GO:0016310 GO:0016772	
GFH15161	GO:0005524 GO:0003676	K14805
GFH15165	GO:0008612	K00809
GFH15169	GO:0030163	
GFH15172	GO:0016021 GO:0015031	K19995
GFH15173	GO:0004527 GO:0003676	
GFH15176	GO:0005524 GO:0003678 GO:0006260 GO:0016887	K11338
GFH15177	GO:0005524 GO:0003678	
GFH15194	GO:0016020 GO:0055085 GO:0042910 GO:0015297	K03327
GFH15203	GO:0003352	
GFH15214	GO:0003824	K17506
GFH15219	GO:0055114 GO:0016491	K00231
GFH15238	GO:0005525	K06943
GFH15245	GO:0006520 GO:0016829	
GFH15246	GO:0006188 GO:0004018	
GFH15253	GO:0005515	K17262
GFH15267	GO:0016787	K01307
GFH15272	GO:0006303 GO:0003677 GO:0003678	K10884
GFH15278	GO:0016020 GO:0006633 GO:0016747	
GFH15283	GO:0016020 GO:0006633 GO:0016747	
GFH15284	GO:0016020 GO:0006633 GO:0016747	
GFH15289	GO:0006468 GO:0005524 GO:0004672	
GFH15294	GO:0005643 GO:0016973	K18723
GFH15302	GO:0006629 GO:0008081	
GFH15303	GO:0005515	K13108
GFH15305	GO:0035556 GO:0009190	
GFH15310	GO:0006468 GO:0004672 GO:0005524	
GFH15311	GO:0006413 GO:0003743	K03262
GFH15313	GO:0006468 GO:0005524 GO:0004672	
GFH15316	GO:0016020 GO:0055085 GO:0022857	
GFH15321	GO:0005525	K12483
GFH15325	GO:0042578 GO:0005515	
GFH15333	GO:0005681 GO:0008380	K12817
GFH15341	GO:0006397 GO:0003676	K13123
GFH15355	GO:0055114 GO:0020037 GO:0016705 GO:0005506	
GFH15359	GO:0005741 GO:0055085	K11518
GFH15371	GO:0006614 GO:0005525 GO:0048500 GO:0008312	
GFH15377	GO:0009058 GO:0016779	
GFH15390	GO:0006468 GO:0004672 GO:0005524	
GFH15405	GO:0006468 GO:0005524 GO:0004672	
GFH15411	GO:0055114 GO:0006979 GO:0004602	
GFH15412	GO:0055114 GO:0006979 GO:0004602	K00432
GFH15414	GO:0005515	K14555
GFH15416	GO:0003824	
GFH15423	GO:0055114 GO:0016491	
GFH15426	GO:0003968	
GFH15427	GO:0003968	K11699
GFH15434	GO:0005524	K01941
GFH15439	GO:0006529 GO:0004066	
GFH15442	GO:0035556 GO:0009190	
GFH15443	GO:0035556 GO:0009190	
GFH15449	GO:0006468 GO:0005524 GO:0004672	
GFH15451	GO:0006468 GO:0005524 GO:0004672	
GFH15468	GO:0034477 GO:0004518	K23093
GFH15472	GO:0030170 GO:0008483	K00819
GFH15473	GO:0008080	
GFH15474	GO:0016624	K00166
GFH15484	GO:0005525	K03977
GFH15489	GO:0005515	K16474
GFH15490	GO:0016301 GO:0005524	K00855
GFH15494	GO:0031262 GO:0000776	K11548
GFH15495	GO:0006468 GO:0005524 GO:0004672	
GFH15499	GO:0016021 GO:0016192	K08515
GFH15502	GO:0005524	
GFH15512	GO:0005524	
GFH15513	GO:0030286 GO:0007018 GO:0003777 GO:0016887 GO:0005524	K10408
GFH15515	GO:0005840 GO:0006412 GO:0003735	K02871
GFH15517	GO:0005515	
GFH15519	GO:0016020 GO:0055085 GO:0006811 GO:0005216	
GFH15520	GO:0016021 GO:0016765	K06125
GFH15521	GO:0032040	K14766
GFH15538	GO:0016020 GO:0009523 GO:0015979	
GFH15539	GO:0006468 GO:0005524 GO:0004672 GO:0005509	K13412
GFH15540	GO:0006468 GO:0005524 GO:0004672	
GFH15543	GO:0005634	K12873
GFH15545	GO:0055114 GO:0016491	
GFH15547	GO:0003676	
GFH15548	GO:0008080 GO:0016747	
GFH15550	GO:0009231 GO:0008686	K14652
GFH15555	GO:0005515	
GFH15558	GO:0005509	
GFH15578	GO:0016021 GO:0055085 GO:0042626 GO:0005524 GO:0016887	K05661
GFH15586	GO:0005634 GO:0006334	K11279
GFH15591	GO:0008299	
GFH15597	GO:0016740	K03341
GFH15598	GO:0016740	
GFH15601	GO:0006355 GO:0005515	
GFH15609	GO:0016021 GO:0016765	K04040
GFH15613	GO:0005524	
GFH15616	GO:0016020 GO:0055085 GO:0006821 GO:0005247	
GFH15617	GO:0016020 GO:0055085 GO:0006821 GO:0005247	
GFH15623	GO:0005509	
GFH15631	GO:0003824	
GFH15637	GO:0005515	K19673
GFH15643	GO:0016887 GO:0005524	
GFH15644	GO:0016021 GO:0055085 GO:0042626 GO:0005524	
GFH15645	GO:0016887 GO:0005524	
GFH15646	GO:0016021 GO:0055085 GO:0042626 GO:0005524	
GFH15648	GO:0005525 GO:0003924	K21594
GFH15651	GO:0003723	
GFH15655	GO:0006418 GO:0005524 GO:0004812 GO:0000166	
GFH15659	GO:0006508 GO:0008234	K08592
GFH15661	GO:0005524	K08900
GFH15664	GO:0006396 GO:0003723	K12825
GFH15666	GO:0005634 GO:0006334	K11290
GFH15672	GO:0016021 GO:0055085 GO:0022857	
GFH15673	GO:0030001 GO:0046872	K17686
GFH15674	GO:0005524	
GFH15675	GO:0005524	
GFH15676	GO:0005524	
GFH15677	GO:0016787 GO:0005524	
GFH15681	GO:0009451 GO:0001522 GO:0009982 GO:0003723	K06173
GFH15683	GO:0007165 GO:0005515	
GFH15685	GO:0003824	
GFH15686	GO:0005515	K11790
GFH15699	GO:0016887 GO:0005524	K14572
GFH15702	GO:0016887 GO:0005524	
GFH15706	GO:0005525 GO:0003924	
GFH15709	GO:0055114 GO:0006098 GO:0004616 GO:0050661	K00033
GFH15710	GO:0005524 GO:0003676 GO:0016787 GO:0003677	
GFH15748	GO:0005515	
GFH15749	GO:0003676	
GFH15758	GO:0003676	K14573
GFH15759	GO:0009058 GO:0016742	
GFH15760	GO:0016459 GO:0005524 GO:0003774 GO:0005515	K10357
GFH15763	GO:0003676	
GFH15767	GO:0005515	
GFH15768	GO:0005524 GO:0016887	
GFH15776	GO:0016409	K20027
GFH15778	GO:0005515	
GFH15783	GO:0055114 GO:0045454 GO:0006265 GO:0003918 GO:0003677	
GFH15785	GO:0055114 GO:0016491	
GFH15787	GO:0030170 GO:0030151 GO:0003824	
GFH15788	GO:0046872	
GFH15792	GO:0016021 GO:0008272 GO:0015116	
GFH15795	GO:0005524 GO:0003676	
GFH15817	GO:0045454	
GFH15819	GO:0005515	K06665
GFH15820	GO:0005515	
GFH15823	GO:0003924	
GFH15832	GO:0005515	
GFH15836	GO:0035556 GO:0009190	
GFH15846	GO:0005524 GO:0006310 GO:0006281 GO:0009378	K07767
GFH15847	GO:0006418 GO:0005524 GO:0004812 GO:0000166	K01883
GFH15858	GO:0000413 GO:0003755	K12868
GFH15873	GO:0006351 GO:0046983 GO:0003899 GO:0005975 GO:0004553	K03011
GFH15885	GO:0009058 GO:0016788	
GFH15891	GO:0030117 GO:0016192 GO:0006886	K12392
GFH15892	GO:0055114 GO:0008113	K07304
GFH15904	GO:0019211	K17605
GFH15912	GO:0003924	
GFH15922	GO:0035299 GO:0005524	
GFH15923	GO:0008295 GO:0006597 GO:0004014	K01611
GFH15927	GO:0035556 GO:0009190	
GFH15931	GO:0035556 GO:0009190	
GFH15940	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH15945	GO:0006629	
GFH15946	GO:0050662 GO:0003824	K10046
GFH15947	GO:0045263 GO:0015986 GO:0015078	
GFH15949	GO:0005694 GO:0051276 GO:0005524 GO:0005515	K06674
GFH15950	GO:0006468 GO:0005524 GO:0004672	K18669
GFH15960	GO:0009229 GO:0005524 GO:0004788	
GFH15974	GO:0008270 GO:0003677	
GFH15977	GO:0055085 GO:0022857	
GFH15979	GO:0003924	K07374
GFH15981	GO:0055114 GO:0016491	K00326
GFH15992	GO:0005515	
GFH15997	GO:0016021	K07034
GFH16011	GO:0016226 GO:0051536 GO:0005506	K22068
GFH16014	GO:0022904	K03949
GFH16023	GO:0055114 GO:0004488 GO:0006464	
GFH16026	GO:0004488	
GFH16032	GO:0005789 GO:0016758	K03848
GFH16034	GO:0003676	
GFH16035	GO:0006629	
GFH16038	GO:0055114 GO:0016491 GO:0071949	
GFH16058	GO:0005840 GO:0006412 GO:0003735	
GFH16061	GO:0005839 GO:0051603 GO:0004298	K02734
GFH16094	GO:0016020 GO:0055085 GO:0006811 GO:0005216	K04874
GFH16095	GO:0003824	K01897
GFH16103	GO:0030117 GO:0016192 GO:0006886 GO:0005198	K17302
GFH16110	GO:0009451 GO:0001522 GO:0009982 GO:0003723	
GFH16113	GO:0005840 GO:0006412 GO:0019843 GO:0003735	K02887
GFH16114	GO:0045454	
GFH16117	GO:0016020 GO:0055085 GO:0006811 GO:0005216 GO:0005515	
GFH16122	GO:0006511	K14016
GFH16126	GO:0016787	
GFH16127	GO:0003824	
GFH16134	GO:0005515	K12857
GFH16135	GO:0008168	K23095
GFH16138	GO:0006777	K03637
GFH16139	GO:0005515	
GFH16144	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH16146	GO:0020037 GO:0009055	K08738
GFH16149	GO:0016020 GO:0055085 GO:0006811 GO:0005216	
GFH16150	GO:0016020 GO:0055085 GO:0006811 GO:0005216	
GFH16151	GO:0016020 GO:0055085 GO:0006811 GO:0005216	
GFH16157	GO:0035556 GO:0009190	
GFH16168	GO:0016887 GO:0005524	
GFH16176	GO:0055114	
GFH16178	GO:0005840 GO:0006412 GO:0019843 GO:0003735	K02990
GFH16197	GO:0005525 GO:0003924	
GFH16198	GO:0005524	K10756
GFH16200	GO:0042765 GO:0016021	
GFH16205	GO:0006415	
GFH16215	GO:0016020	
GFH16217	GO:0016887 GO:0005524	
GFH16220	GO:0045454 GO:0015035 GO:0009055	
GFH16224	GO:0003676	
GFH16225	GO:0008610 GO:0008168	
GFH16226	GO:0005515	K12158
GFH16233	GO:0005515	
GFH16238	GO:0009451 GO:0001522 GO:0009982 GO:0003723	K06176
GFH16244	GO:0005515	
GFH16251	GO:0016021 GO:0055085 GO:0022857	K15287
GFH16255	GO:0005874 GO:0071929 GO:0019799	
GFH16260	GO:0003677 GO:0000166	K02350
GFH16261	GO:0003677 GO:0000166	
GFH16266	GO:0006468 GO:0005524 GO:0004672	
