Gene ID	GO	KO	PFAM
SM000018S03742	GO:0005509	K11583	PF17958 PF13499
SM000018S03743	GO:0004672 GO:0006468	K14500	PF07714
SM000019S04925	GO:0046983		PF00010
SM000019S04926	GO:0004553 GO:0005975	K07407	PF16499 PF17801
SM000019S04928	GO:0005515		PF12014 PF02151
SM000019S04931	GO:0016773 GO:0005975		PF00012 PF06723 PF02782
SM000019S04932	GO:0003676 GO:0008408 GO:0006139 GO:0002161		PF01612 PF00035 PF04073
SM000019S04935	GO:0003676 GO:0005634	K12830	PF10433 PF03178
SM000019S04936	GO:0008233 GO:0006508		PF02557
SM000019S04937	GO:0008080 GO:0016747	K00670	PF00583 PF13673 PF13508 PF08445
SM000019S04941	GO:0005515		PF12937
SM000019S04943	GO:0015018 GO:0016020	K20871	PF03360
SM000019S04944	GO:0016491 GO:0030151		PF03404
SM000019S04946	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069 PF12819 PF11721
SM000019S04951	GO:0016757	K13680	PF13632 PF13641 PF00535 PF13506
SM000019S04952	GO:0019905		PF09728
SM000019S04953	GO:0016021		PF02990
SM000019S04955	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
SM000019S04956	GO:0004672 GO:0005524 GO:0006468 GO:0005515		PF00069 PF07714 PF13855 PF08263
SM000019S04957	GO:0005509		PF13405 PF13202
SM000019S04964	GO:0030488 GO:0031515	K03256	PF04189
SM000019S04965	GO:0000398 GO:0017070 GO:0030623 GO:0003723 GO:0005515	K12856	PF08083 PF12134 PF10596 PF08082 PF10597 PF08084 PF10598 PF01398
SM000019S04973	GO:0003676	K11093	PF12220 PF00076
SM000019S04974	GO:0004222 GO:0005524 GO:0006508 GO:0008270 GO:0016021		PF01434 PF00004 PF06480 PF17862
SM000019S04975	GO:0016435 GO:0070476 GO:0008168	K19306	PF12589 PF08241 PF13649
SM000019S04976	GO:0008612	K00809	PF01916
SM000019S04978	GO:0015031		PF04278
SM000019S04979	GO:0016788		PF13472 PF00657
SM000019S04982	GO:0008168 GO:0008171	K12502	PF08241 PF13649 PF01209 PF13847 PF08242 PF13489 PF00891
SM000019S04984	GO:0003677 GO:0003678 GO:0005524 GO:0003676 GO:0004386 GO:0016818 GO:0006139	K15362	PF06733 PF13307
SM000019S04985	GO:0003677 GO:0005524 GO:0006270	K02209	PF00493 PF17207 PF17855 PF01078
SM000019S04987	GO:0016579	K11855	PF00443 PF13423
SM000019S04990	GO:0016020		PF02485
SM000019S04995	GO:0005515	K20285	PF13418 PF13854 PF13415 PF01344
SM000019S04996	GO:0017025	K06634	PF08698 PF00134 PF00382
SM000019S04997	GO:0008661 GO:0016114 GO:0016624		PF13292 PF02780 PF00676
SM000019S04998	GO:0005525		PF16897 PF02824 PF01926
SM000019S05002	GO:0015031 GO:0016020		PF00344 PF10559
SM000019S05004	GO:0016579	K11851	PF00443 PF13423
SM000019S05005	GO:0008138 GO:0016311		PF00782
SM000019S05006	GO:0005515		PF01425 PF13181
SM000019S05007	GO:0003676 GO:0005524 GO:0003677 GO:0016787	K13116	PF00270 PF00271 PF04851
SM000019S05009	GO:0006629	K00507	PF00487
SM000019S05010	GO:0006629 GO:0016042		PF01764 PF03893
SM000019S05012	GO:0016579 GO:0008270		PF00443 PF17807 PF00627 PF02148 PF13423
SM000019S05013	GO:0003824 GO:0005992	K01087	PF02358
SM000019S05017	GO:0016787	K01464	PF01979
SM000019S05018	GO:0003723 GO:0033897		PF00445
SM000019S05020	GO:0005524 GO:0003677 GO:0016787		PF00176 PF06461 PF00271 PF04851 PF06465 PF00385
SM000019S05021	GO:0003824	K01640	PF00682
SM000019S05025	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
SM000019S05027	GO:0004345 GO:0050661 GO:0006006 GO:0016614	K00036	PF02781 PF00479
SM000019S05030	GO:0004518 GO:0006281	K10746	PF00867 PF00752 PF12813
SM000019S05032	GO:0015979 GO:0009522 GO:0009538	K02692	PF02531
SM000019S05035	GO:0016857 GO:0005975	K01783	PF00834
SM000019S05037	GO:0003678 GO:0005524	K04499	PF06068 PF17856
SM000019S05038	GO:0005515		PF14559 PF13181
SM000019S05040	GO:0019867		PF01103
SM000019S05044	GO:0005524		PF00004
SM000019S05047	GO:0004366 GO:0016746	K00630	PF14829 PF01553
SM000019S05050	GO:0008839 GO:0009089		PF05173
SM000019S05051	GO:0005515	K15627	PF00789
SM000019S05052	GO:0003676 GO:0008270		PF00098
SM000019S05057	GO:0006807		PF00795
SM000019S05058	GO:0046933 GO:0015986	K02137	PF00213
SM000019S05061	GO:0005515	K12880	PF00400 PF12894
SM000019S05063	GO:0004474 GO:0006097	K01638	PF01274
SM000019S05064	GO:0005509 GO:0015979 GO:0009523 GO:0009654 GO:0019898		PF01789
SM000019S05066	GO:0003747 GO:0006415	K15033	PF00472
SM000019S05067	GO:0008168	K02493	PF05175 PF13649 PF13847 PF06325
SM000019S05070	GO:0005515 GO:0003712 GO:0004402 GO:0008270 GO:0006355 GO:0042025		PF00651 PF02135
SM000019S05071	GO:0016773 GO:0005975	K00864	PF02782 PF00370
SM000019S05072	GO:0005515 GO:0005524 GO:0051276 GO:0005694	K06675	PF02463 PF06470 PF13304
SM000019S05073	GO:0009055 GO:0015035 GO:0045454	K07390	PF00462
SM000019S05074	GO:0004672 GO:0005524 GO:0006468	K08287	PF00069 PF07714
SM000019S05075	GO:0016746		PF01553
SM000019S05079	GO:0008168		PF03141 PF08241
SM000019S05080	GO:0005524		PF13604 PF13245 PF18335 PF14490 PF13538 PF14520 PF01443 PF05127
SM000019S05081	GO:0004553 GO:0005975	K01188	PF00232
SM000019S05082	GO:0008374 GO:0006629		PF02450
SM000019S05083	GO:0005509 GO:0015979 GO:0009523 GO:0009654 GO:0019898		PF01789
SM000019S05084	GO:0003777 GO:0005524 GO:0008017 GO:0007018 GO:0003677	K10403	PF00225 PF16796 PF00633
SM000019S05086	GO:0008236 GO:0006508 GO:0005515	K03797	PF03572 PF17820 PF13180 PF00595
SM000019S05089	GO:0006623	K20195	PF03164
SM000019S05095	GO:0016301 GO:0016774 GO:0016310		PF00871
SM000019S05096	GO:0003824 GO:0051536 GO:0035596 GO:0051539	K15865	PF04055 PF00919
SM000019S05098	GO:0016746		PF01515 PF07085
SM000019S05099	GO:0003677 GO:0003918 GO:0006265	K03167	PF09239 PF13589
SM000019S05100	GO:0003924	K07375	PF00091 PF03953
SM000019S05101	GO:0055085 GO:0005741	K11518	PF01459
SM000019S05102	GO:0003824		PF00857
SM000019S05103	GO:0003700 GO:0006355 GO:0003677 GO:0005634		PF00170 PF07716 PF03131
SM000019S05106	GO:0045454	K03671	PF00085 PF13098
SM000019S05109	GO:0015299 GO:0006812 GO:0055085 GO:0016021 GO:0006813		PF00999 PF02254
SM000019S05110	GO:0016757	K00766	PF00591 PF02885
SM000019S05111	GO:0005524 GO:0009378 GO:0006281 GO:0006310 GO:0016887		PF00004 PF05496 PF07728
SM000019S05112	GO:0008234 GO:0006508		PF00112 PF00396 PF08246
SM000019S05115	GO:0015930 GO:0016638 GO:0006537 GO:0006807 GO:0016491		PF01645 PF00310 PF04898 PF01493 PF07992 PF14691 PF13450 PF01593
SM000019S05128	GO:0017150 GO:0050660 GO:0008033		PF01207
SM000019S05130	GO:0016787	K07018	PF02129
SM000019S05133	GO:0006397 GO:0003676	K12822	PF01480 PF00076
SM000019S05134	GO:0004222 GO:0006508	K01414	PF01432
SM000019S05135	GO:0003743 GO:0003676 GO:0008270		PF06273 PF00098
SM000019S05136	GO:0004298 GO:0051603 GO:0005839 GO:0004175 GO:0006511 GO:0019773	K02726	PF00227 PF10584
SM000019S05137	GO:0008080	K14682	PF00696 PF00583 PF13508
SM000019S05139	GO:0016573 GO:0000123	K11344	PF09340
SM000020S05951	GO:0016491		PF14226 PF03171
SM000020S05954	GO:0004356 GO:0006807		PF00120
SM000020S05957	GO:0005049		PF08767
SM000020S05958	GO:0006887 GO:0000145		PF03081
SM000020S05959	GO:0009001 GO:0006535 GO:0005737	K00640	PF06426 PF00132 PF14602
SM000020S05961	GO:0008080	K20793	PF00583 PF13508 PF13673
SM000020S05966	GO:0005509	K11583	PF17958 PF13499
SM000020S05967	GO:0016021		PF05602
SM000020S05968	GO:0004672 GO:0006468 GO:0005524	K14500	PF07714 PF00069
SM000020S05971	GO:0010277 GO:0016491 GO:0051537		PF08417 PF00355
SM000020S05980	GO:0003824 GO:0009116	K01244	PF01048
SM000020S05981	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
SM000020S05986	GO:0016161 GO:0000272	K01177	PF01373
SM000020S05987	GO:0005515		PF00612
SM000020S05988	GO:0005515		PF00646
SM000020S05990	GO:0046872		PF00642 PF14608
SM000020S05992	GO:0005515	K03353	PF13181 PF13424 PF12895 PF13176 PF13432
SM000020S05997	GO:0004601 GO:0020037 GO:0006979	K00434	PF00141
SM000020S05998	GO:0016579 GO:0008270	K12847	PF00443 PF02148
SM000020S06001	GO:0003924 GO:0005525		PF00071 PF08477 PF00025
SM000020S06004	GO:0003676	K23312	PF01336 PF10451
SM000020S06005	GO:0008942 GO:0016491 GO:0051537		PF13806 PF00504 PF00355
SM000020S06010	GO:0000287 GO:0004743 GO:0030955 GO:0006096	K00873	PF00224
SM000020S06011	GO:0051225 GO:0070652		PF14817
SM000020S06012	GO:0003924 GO:0005525	K06949	PF03193
SM000020S06013	GO:0004672 GO:0005524 GO:0006468 GO:0004674	K04345	PF00069 PF07714 PF14531 PF00433
SM000020S06014	GO:0046872		PF00642
SM000020S06015	GO:0016491 GO:0051537		PF01266 PF00355 PF13450 PF00890
SM000020S06016	GO:0016491 GO:0051537		PF01266 PF00355 PF07992 PF00890 PF13450
SM000020S06018	GO:0000160 GO:0000155 GO:0007165		PF02518 PF00072 PF00512
SM000020S06021	GO:0006629	K10257	PF00487
SM000020S06025	GO:0005524 GO:0042626 GO:0055085 GO:0016021 GO:0016887	K05665	PF00664 PF00005
SM000020S06027	GO:0033925 GO:0005737		PF03644
SM000020S06029	GO:0032039		PF14750
SM000020S06030	GO:0022857 GO:0055085 GO:0016020	K20989	PF00474
SM000020S06032	GO:0016491	K08232	PF07992 PF00070
SM000020S06038	GO:0016491	K02641	PF00175
SM000020S06039	GO:0016787		PF00149 PF13418
SM000020S06049	GO:0016788	K03424	PF01026
SM000020S06050	GO:0045735		PF00190
SM000020S06051	GO:0045735		PF00190
SM000020S06052	GO:0005975	K17525	PF00704
SM000020S06054	GO:0005525		PF04548 PF01926
SM000020S06055	GO:0004411 GO:0006559 GO:0006570	K00451	PF04209
SM000020S06056	GO:0005525 GO:0003924	K12272	PF09439 PF00025 PF00009 PF03029
SM000020S06067	GO:0003924 GO:0005525	K03234	PF00009 PF03764 PF00679 PF14492 PF03144
SM000020S06069	GO:0005515	K03364	PF00400 PF12894
SM000020S06071	GO:0005515		PF13855
SM000020S06072	GO:0004144 GO:0045017		PF06974 PF03007
SM000020S06073	GO:0015299 GO:0006812 GO:0055085 GO:0016021	K24160	PF00999
SM000020S06074	GO:0005515		PF12799 PF00560 PF08263
SM000020S06075	GO:0003723		PF05634
SM000020S06078	GO:0008318 GO:0018342	K14050	PF01239
SM000020S06082	GO:0016787		PF00149
SM000020S06083	GO:0015299 GO:0006812 GO:0055085 GO:0016021		PF00999
SM000020S06086	GO:0005525	K03979	PF01018 PF01926
SM000020S06088	GO:0003677 GO:0000786		PF16211 PF00125
SM000020S06089	GO:0005524	K09500	PF00118
SM000020S06090	GO:0003677 GO:0003918 GO:0005524 GO:0006265	K03164	PF00521 PF16898 PF00204 PF02518 PF01751
SM000020S06095	GO:0004672 GO:0005524 GO:0006468 GO:0005509		PF00069 PF00036 PF13499 PF13202 PF13405 PF13833 PF07714
SM000020S06097	GO:0005515		PF00560 PF13516
SM000021S06397	GO:0016491		PF01593
SM000021S06398	GO:0016020	K08486	PF00804 PF05739
SM000021S06401	GO:0005515	K20241	PF00400
SM000021S06402	GO:0016409		PF01529
SM000021S06405	GO:0005515		PF00514
SM000021S06406	GO:0015267 GO:0055085 GO:0016020	K09872	PF00230
SM000021S06408	GO:0008168		PF08241 PF13649
SM000021S06411	GO:0005524		PF00288 PF08544
SM000021S06412	GO:0005524 GO:0016887	K03235	PF00005 PF00385
SM000021S06414	GO:0016020 GO:0005524 GO:0016887		PF01061 PF00005
SM000021S06415	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069 PF08263
SM000021S06418	GO:0005524 GO:0003677 GO:0016787		PF00176 PF00271 PF07529 PF04851
SM000021S06420	GO:0045454		PF00085
SM000021S06425	GO:0005525	K07937	PF00025
SM000021S06426	GO:0003735 GO:0019843 GO:0006412 GO:0005840		PF01250
SM000021S06428	GO:0003824	K01711	PF16363 PF01370
SM000021S06429	GO:0022857 GO:0055085	K02575	PF07690
SM000021S06431	GO:0005515	K13108	PF00498
SM000021S06434	GO:0046907	K15306	PF00638
SM000021S06435	GO:0004190 GO:0016021	K09595	PF04258
SM000021S06436	GO:0004683 GO:0005516 GO:0006468	K13800	PF14938 PF00406 PF13207 PF08332
SM000021S06437	GO:0008236 GO:0006508 GO:0005515	K03797	PF03572 PF17820 PF00595 PF13180
SM000021S06440	GO:0003676		PF00076
SM000021S06443	GO:0003676		PF00575
SM000021S06444	GO:0003824 GO:0003852 GO:0009098	K01649	PF00682 PF08502
SM000021S06445	GO:0003723	K03681	PF15985
SM000021S06446	GO:0030599 GO:0042545	K01051	PF01095
SM000021S06447	GO:0016620 GO:0046556 GO:0046373	K01209	PF02800 PF06964 PF00044
SM000021S06448	GO:0005634	K12829	PF04037 PF04046
SM000021S06449	GO:0004869		PF16845 PF00031
SM000021S06450	GO:0005524 GO:0016887	K06158	PF00005 PF12848
SM000021S06452	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069 PF17667
SM000021S06453	GO:0004197 GO:0071586 GO:0016020		PF02517
SM000021S06454	GO:0005548 GO:0015914		PF02121 PF04784
SM000021S06457	GO:0016491		PF01593 PF13450 PF00890
SM000021S06458	GO:0016579	K11844	PF00443
SM000021S06459	GO:0003723	K17943	PF00806
SM000021S06464	GO:0032012	K13462	PF01369 PF12783 PF16213 PF09324
SM000021S06466	GO:0005515 GO:0006886	K18752	PF13513 PF02985 PF03810
SM000021S06473	GO:0005759	K15414	PF02330
SM000021S06475	GO:0003676 GO:0005524 GO:0003677 GO:0016787		PF00270 PF00271 PF04851
SM000021S06476	GO:0008270		PF07496
SM000021S06479	GO:0003735 GO:0005739		PF16053
SM000021S06482	GO:0005515	K19044	PF12796 PF13637 PF13857 PF00023 PF13606
SM000021S06483	GO:0006487 GO:0034998		PF05251
SM000021S06484	GO:0003755 GO:0000413		PF00160
SM000021S06490	GO:0003700 GO:0043565 GO:0006355		PF03106
SM000021S06501	GO:0003700 GO:0043565 GO:0006355	K13426	PF03106
SM000021S06502	GO:0003700 GO:0043565 GO:0006355	K13426	PF03106
SM000021S06512	GO:0003700 GO:0043565 GO:0006355	K13425	PF03106
SM000021S06515	GO:0003677 GO:0006355		PF02365
SM000021S06517	GO:0003700 GO:0043565 GO:0006355	K13425	PF03106
SM000021S06521	GO:0055085 GO:0016021		PF01699
SM000021S06525	GO:0016757		PF04577
SM000021S06529	GO:0004252 GO:0016021		PF01694
SM000021S06530	GO:0000160 GO:0005515		PF02518 PF00072 PF01590
SM000021S06533	GO:0003677 GO:0006355		PF02365
SM000021S06534	GO:0003677 GO:0006355		PF02365
SM000022S07120	GO:0006281 GO:0003684		PF00817 PF11799
SM000022S07121	GO:0046983		PF00010
SM000022S07123	GO:0005515		PF13637 PF12796 PF17830 PF13857 PF00023 PF13606
SM000022S07125	GO:0008138 GO:0016311		PF00782
SM000022S07126	GO:0003824 GO:0030151 GO:0030170		PF03476 PF03473
SM000022S07129	GO:0003843 GO:0006075 GO:0000148 GO:0016020	K11000	PF02364 PF14288 PF04652
SM000022S07131	GO:0015095 GO:0015693 GO:0016021		PF05653
SM000022S07132	GO:0004499 GO:0050660 GO:0050661 GO:0016491	K00485	PF00743 PF07992 PF13450 PF01593
SM000022S07134	GO:0005634 GO:0005515		PF13832 PF13771 PF05964 PF00856 PF13831 PF00855 PF13365 PF00628 PF05965
SM000022S07135	GO:0005515		PF00515 PF07719 PF13432 PF13371 PF13181 PF13414 PF14559 PF13176 PF13174
SM000022S07138	GO:0003676	K11294	PF00076
SM000022S07140	GO:0003676 GO:0005524		PF00270 PF00271 PF16124
SM000022S07141	GO:0008168	K15334	PF01189
SM000022S07143	GO:0004650 GO:0005975		PF00295 PF12708 PF13229
SM000022S07145	GO:0005515	K17262	PF14560 PF01302
SM000022S07148	GO:0005515 GO:0000062		PF13854 PF13964 PF13415 PF13418 PF07646 PF01344 PF00887
SM000022S07150	GO:0004672 GO:0005524 GO:0006468 GO:0005515	K08333	PF01490 PF00069 PF00400
SM000022S07155	GO:0004664 GO:0009094	K05359	PF00800
SM000022S07158	GO:0003333	K03834	PF03222
SM000022S07159	GO:0046872	K18753	PF00642
SM000022S07160	GO:0003723 GO:0004540	K12585	PF00773 PF17849 PF13638 PF17216 PF17215
SM000022S07161	GO:0003824 GO:0003854 GO:0016616 GO:0006694		PF01370 PF01073 PF13460 PF07993
SM000022S07163	GO:0008484	K01513	PF01663 PF00884
SM000022S07164	GO:0000155 GO:0007165		PF02518 PF00512
SM000022S07169	GO:0004672 GO:0005524 GO:0006468 GO:0004674	K04688	PF00069 PF07714 PF14531 PF17667 PF06293 PF00433
SM000022S07170	GO:0022857 GO:0055085 GO:0016021	K03444	PF00083 PF07690
SM000022S07171	GO:0008324 GO:0006812 GO:0055085 GO:0016021		PF01545 PF16916
SM000022S07172	GO:0008168	K14568	PF03587
SM000022S07180	GO:0008253 GO:0009264		PF06941
SM000022S07182	GO:0005515		PF09273 PF00856
SM000022S07187	GO:0007064 GO:0031390	K11271	PF09724
SM000022S07188	GO:0016192 GO:0016021	K08511	PF00957 PF13774
SM000022S07190	GO:0004222 GO:0006508 GO:0007155 GO:0016020	K13539	PF01457
SM000022S07195	GO:0008168	K05928	PF08241 PF13649 PF13847 PF13489 PF08242 PF02353 PF01209
SM000022S07196	GO:0006659	K08730	PF03034
SM000022S07198	GO:0008168	K23870	PF03141 PF08241 PF13649
SM000022S07200	GO:0005515		PF00240 PF11976
SM000022S07202	GO:0005515		PF12796 PF13857 PF00023
SM000022S07203	GO:0005515	K11797	PF00400
SM000022S07205	GO:0004784 GO:0046872 GO:0006801	K04564	PF02777 PF00081
SM000022S07206	GO:0005634		PF01125
SM000022S07208	GO:0005515		PF02042 PF00564
SM000022S07209	GO:0005543		PF07651 PF01417
SM000022S07210	GO:0003924 GO:0005525	K02519	PF11987 PF00009 PF04760 PF01926
SM000022S07212	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714 PF01636
SM000022S07213	GO:0004197 GO:0071586 GO:0016020		PF02517
SM000022S07214	GO:0004109 GO:0006779 GO:0003676 GO:0005524 GO:0003677 GO:0016787		PF01218 PF00270 PF00271 PF04851
SM000022S07218	GO:0003723 GO:0008173 GO:0006396		PF00588
SM000022S07219	GO:0017053		PF15306
SM000022S07220	GO:0008236 GO:0006508	K01285	PF05577
SM000022S07221	GO:0004852 GO:0033014	K01719	PF02602
SM000022S07226	GO:0005515	K12821	PF01846 PF00397
SM000022S07229	GO:0003924 GO:0005525		PF03143 PF00009
SM000022S07230	GO:0005524	K18798	PF03969
SM000022S07231	GO:0004559 GO:0006013	K01191	PF01074 PF07748 PF09261 PF17677 PF08161
SM000022S07232	GO:0005515		PF00856 PF09273
SM000022S07234	GO:0003910 GO:0005524 GO:0006281 GO:0006310 GO:0003677	K10747	PF01068 PF04675 PF07522 PF04679 PF14555
SM000022S07235	GO:0004571 GO:0005509 GO:0016020	K10084	PF01532
SM000022S07237	GO:0003735 GO:0006412 GO:0005840		PF00252
SM000022S07238	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
SM000022S07239	GO:0005515		PF03000 PF00651
SM000022S07241	GO:0008081 GO:0006281 GO:0005634		PF06087
SM000022S07242	GO:0015267 GO:0055085 GO:0016020		PF00230
SM000022S07243	GO:0004812 GO:0005524 GO:0043039 GO:0000166 GO:0006418 GO:0005737	K01885	PF00749 PF03950
SM000022S07244	GO:0005524 GO:0046034 GO:1902600	K02133	PF00006 PF02874
SM000022S07245	GO:0005515		PF08447
SM000022S07246	GO:0016409	K20032	PF01529
SM000022S07250	GO:0008168		PF08241
SM000022S07251	GO:0003677	K11292	PF14633 PF14639 PF14641 PF14635 PF14632
SM000022S07252	GO:0004488		PF02882 PF00763
SM000022S07255	GO:0003677 GO:0003899 GO:0006351	K03010	PF00562 PF04563 PF04561 PF04560 PF04565 PF04566 PF04567
SM000022S07257	GO:0003676 GO:0005524		PF00270
SM000022S07260	GO:0004518	K10846	PF00867
SM000022S07262	GO:0046873 GO:0030001 GO:0055085 GO:0016020	K14709	PF02535
SM000022S07263	GO:0006364 GO:0005515	K14824	PF08145 PF00400
SM000022S07264	GO:0005515	K12816	PF00400
SM000022S07268	GO:0004518 GO:0006281		PF00752
SM000022S07270	GO:0004555 GO:0005991		PF01204 PF03200
SM000022S07272	GO:0004553 GO:0005975 GO:0003824	K01214	PF02922 PF00128
SM000022S07274	GO:0006487 GO:0008250 GO:0016021		PF05817
SM000022S07276	GO:0009055 GO:0016491 GO:0016020		PF00033 PF13631
SM000022S07280	GO:0000049 GO:0004812 GO:0005524 GO:0043039	K01889	PF01409 PF18553 PF17759
SM000022S07284	GO:0016491		PF01593
SM000022S07286	GO:0016829 GO:0006520	K01620	PF01212
SM000023S07532	GO:0051537 GO:0043231	K23882	PF09360
SM000023S07534	GO:0051743	K13545	PF06405
SM000023S07537	GO:0022857 GO:0055085 GO:0016020		PF13520 PF00324
SM000023S07539	GO:0016787		PF18290 PF00293
SM000023S07541	GO:0005509	K11583	PF13202
SM000023S07542	GO:0003697 GO:0005524 GO:0006281		PF08423 PF00154 PF06745 PF13481 PF14520
SM000023S07543	GO:0006366		PF02269
SM000023S07544	GO:0003735 GO:0006412 GO:0005840	K02899	PF01016
SM000023S07546	GO:0005515		PF13424 PF13374 PF13176
SM000023S07547	GO:0003677 GO:0003678 GO:0005524 GO:0003676 GO:0004386 GO:0016818 GO:0006139		PF06733 PF13307
SM000023S07551	GO:0003924	K07374	PF00091 PF03953
SM000023S07552	GO:0004252 GO:0016021		PF01694
SM000023S07554	GO:0003924	K07374	PF00091 PF03953
SM000023S07555	GO:0005524 GO:0003677 GO:0016787	K14439	PF00176 PF00271 PF04851
SM000023S07557	GO:0016491 GO:0005509	K17871	PF07992 PF00070 PF13202 PF00036 PF13405
SM000023S07559	GO:0016798 GO:0016020		PF03662
SM000023S07565	GO:0017150 GO:0050660 GO:0008033		PF01207
SM000023S07568	GO:0006811 GO:0016021		PF02932
SM000023S07570	GO:0016021		PF05562
SM000023S07571	GO:0003824		PF00481
SM000023S07573	GO:0003924 GO:0005525	K03243	PF00009 PF11987 PF03144 PF01926
SM000023S07574	GO:0004489 GO:0006555	K00297	PF02219
SM000023S07575	GO:0004553 GO:0005975		PF00150
SM000023S07577	GO:0016579 GO:0005515	K11843	PF00443 PF13423 PF00240
SM000023S07578	GO:0016757	K08098	PF03901
SM000023S07581	GO:0016788	K03424	PF01026
SM000023S07583	GO:0070569	K22920	PF01704
SM000023S07584	GO:0030599 GO:0042545	K01051	PF01095
SM000023S07585	GO:0030599 GO:0042545	K01051	PF01095
SM000023S07586	GO:0003735 GO:0006412 GO:0005840	K02901	PF01777
SM000023S07590	GO:0016491	K02641	PF00175
SM000023S07592	GO:0005525		PF04548 PF01926
SM000023S07593	GO:0005525		PF04548 PF01926
SM000023S07598	GO:0016788	K03424	PF01026
SM000023S07601	GO:0045735		PF00190
SM000023S07602	GO:0045735		PF00190
SM000023S07604	GO:0008168		PF00145
SM000023S07608	GO:0003924 GO:0005525		PF00009 PF03764 PF00679 PF03144
SM000023S07609	GO:0004411 GO:0006559 GO:0006570	K00451	PF04209
SM000023S07610	GO:0005525	K12272	PF09439 PF00025
SM000023S07612	GO:0004144 GO:0045017		PF06974 PF03007
SM000023S07616	GO:0005515		PF12799 PF00560 PF08263
SM000023S07618	GO:0008318 GO:0018342	K14050	PF01239
SM000023S07620	GO:0003723		PF05634
SM000023S07623	GO:0005525		PF01018 PF01926
SM000023S07625	GO:0005524	K09500	PF00118
SM000023S07627	GO:0003677 GO:0000786		PF00125 PF16211
SM000023S07628	GO:0005515		PF00400 PF12894
SM000023S07629	GO:0003677 GO:0003918 GO:0005524 GO:0006265	K03164	PF00521 PF16898 PF00204 PF02518 PF01751
SM000023S07632	GO:0016853 GO:0005975	K01792	PF01263
SM000023S07633	GO:0003743 GO:0031369 GO:0006413 GO:0005852	K03252	PF05470 PF01399
SM000023S07634	GO:0015299 GO:0006812 GO:0055085 GO:0016021		PF00999
SM000023S07635	GO:0003678 GO:0005524 GO:0006260	K17680	PF13662 PF13155 PF03796
SM000023S07640	GO:0017150 GO:0050660 GO:0008033	K05543	PF01207
SM000023S07641	GO:0016787		PF00149
SM000023S07645	GO:0015299 GO:0006812 GO:0055085 GO:0016021		PF00999
SM000023S07647	GO:0003723 GO:0009982 GO:0001522 GO:0009451		PF00849
SM000023S07652	GO:0004553 GO:0005975		PF00759
SM000023S07655	GO:0016209 GO:0016491 GO:0051920		PF00578 PF08534 PF10417
SM000023S07658	GO:0003824 GO:0051536	K03644	PF04055 PF16881
SM000023S07660	GO:0004553 GO:0005975		PF00722
SM000023S07663	GO:0004672 GO:0005524 GO:0006468	K07760	PF00069 PF07714 PF06293
SM000023S07664	GO:0008270		PF02148
SM000023S07665	GO:0005515		PF14299 PF00646
SM000023S07667	GO:0003677 GO:0006275 GO:0000077 GO:0030896	K04802	PF00705 PF02747 PF04139
SM000023S07668	GO:0016021	K05770	PF03073
SM000023S07669	GO:0016972	K17783	PF04777
SM000023S07670	GO:0005524 GO:0042626 GO:0055085 GO:0016021 GO:0016887		PF00664 PF00005
SM000023S07671	GO:0003824	K17506	PF00481
SM000023S07674	GO:0005524 GO:0017038 GO:0016020 GO:0003676	K03070	PF07517 PF07516 PF01043 PF00270
SM000023S07676	GO:0004553 GO:0005975 GO:0003824 GO:0043169	K00700	PF02922 PF02806 PF00128
SM000023S07678	GO:0044237	K00899	PF01008 PF01636
SM000023S07684	GO:0005506 GO:0016705 GO:0020037		PF00067
SM000023S07688	GO:0008641	K22132	PF00899
SM000023S07692	GO:0016491 GO:0051537 GO:0010277	K13600	PF00355 PF08417
SM000023S07693	GO:0004553 GO:0005975 GO:0003824	K01214	PF02922 PF00128
SM000023S07694	GO:0003677		PF08755
SM000023S07696	GO:0008138 GO:0016311	K14165	PF09192 PF00782
SM000023S07697	GO:0005524	K09493	PF00118
SM000023S07698	GO:0004525 GO:0006396		PF00636
SM000023S07705	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
SM000023S07708	GO:0003700 GO:0006355	K09060	PF00170 PF07777 PF07716
SM000023S07713	GO:0008168	K00599	PF10294 PF13649 PF08242 PF08241 PF13847 PF13489 PF05175
SM000023S07714	GO:0004185 GO:0006508	K16297	PF00450
SM000024S07724	GO:0050661 GO:0051287	K18121	PF03446 PF14833 PF03807
SM000024S07726	GO:0016787 GO:0016788 GO:0006397	K18328	PF00149 PF05011
SM000024S07727	GO:0005524 GO:0003677 GO:0016787 GO:0006355 GO:0005634		PF00176 PF00271 PF04851 PF08880
SM000024S07730	GO:0008324 GO:0006812 GO:0055085 GO:0016021	K14696	PF01545
SM000024S07731	GO:0008168		PF00145
SM000024S07735	GO:0008168	K15190	PF06859 PF08241 PF13847 PF06325
SM000024S07737	GO:0005515 GO:0005524		PF00023 PF00004 PF12796 PF13857 PF13606 PF13637
