Gene ID	GO	KO
GFH14249	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14249" target="_blank">GFH14249</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH14250	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14250" target="_blank">GFH14250</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	
GFH14251	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14251" target="_blank">GFH14251</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02894" target="_blank">K02894</a>
GFH14256	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14256" target="_blank">GFH14256</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007264" target="_blank">small GTPase mediated signal transduction (GO:0007264)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005092" target="_blank">GDP-dissociation inhibitor activity (GO:0005092)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17255" target="_blank">K17255</a>
GFH14271	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14271" target="_blank">GFH14271</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006506" target="_blank">GPI anchor biosynthetic process (GO:0006506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016758" target="_blank">transferase activity, transferring hexosyl groups (GO:0016758)</a>	
GFH14279	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14279" target="_blank">GFH14279</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016226" target="_blank">iron-sulfur cluster assembly (GO:0016226)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008199" target="_blank">ferric iron binding (GO:0008199)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19054" target="_blank">K19054</a>
GFH14284	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14284" target="_blank">GFH14284</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003729" target="_blank">mRNA binding (GO:0003729)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000340" target="_blank">RNA 7-methylguanosine cap binding (GO:0000340)</a>	
GFH14288	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14288" target="_blank">GFH14288</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a>	
GFH14292	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14292" target="_blank">GFH14292</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH14294	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14294" target="_blank">GFH14294</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH14297	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14297" target="_blank">GFH14297</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
GFH14300	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14300" target="_blank">GFH14300</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	
GFH14301	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14301" target="_blank">GFH14301</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	
GFH14306	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14306" target="_blank">GFH14306</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015631" target="_blank">tubulin binding (GO:0015631)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21766" target="_blank">K21766</a>
GFH14313	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14313" target="_blank">GFH14313</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042626" target="_blank">ATPase-coupled transmembrane transporter activity (GO:0042626)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02149" target="_blank">K02149</a>
GFH14317	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14317" target="_blank">GFH14317</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030286" target="_blank">dynein complex (GO:0030286)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	
GFH14320	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14320" target="_blank">GFH14320</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006614" target="_blank">SRP-dependent cotranslational protein targeting to membrane (GO:0006614)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03110" target="_blank">K03110</a>
GFH14322	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14322" target="_blank">GFH14322</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005789" target="_blank">endoplasmic reticulum membrane (GO:0005789)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13249" target="_blank">K13249</a>
GFH14323	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14323" target="_blank">GFH14323</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006418" target="_blank">tRNA aminoacylation for protein translation (GO:0006418)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01866" target="_blank">K01866</a>
GFH14324	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14324" target="_blank">GFH14324</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006520" target="_blank">cellular amino acid metabolic process (GO:0006520)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
GFH14327	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14327" target="_blank">GFH14327</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005789" target="_blank">endoplasmic reticulum membrane (GO:0005789)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016758" target="_blank">transferase activity, transferring hexosyl groups (GO:0016758)</a>	
GFH14328	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14328" target="_blank">GFH14328</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005789" target="_blank">endoplasmic reticulum membrane (GO:0005789)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016758" target="_blank">transferase activity, transferring hexosyl groups (GO:0016758)</a>	
GFH14330	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14330" target="_blank">GFH14330</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005789" target="_blank">endoplasmic reticulum membrane (GO:0005789)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016758" target="_blank">transferase activity, transferring hexosyl groups (GO:0016758)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03848" target="_blank">K03848</a>
GFH14333	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14333" target="_blank">GFH14333</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	
GFH14335	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14335" target="_blank">GFH14335</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a>	
GFH14336	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14336" target="_blank">GFH14336</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009507" target="_blank">chloroplast (GO:0009507)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046422" target="_blank">violaxanthin de-epoxidase activity (GO:0046422)</a>	
GFH14338	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14338" target="_blank">GFH14338</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH14339	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14339" target="_blank">GFH14339</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH14343	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14343" target="_blank">GFH14343</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006890" target="_blank">retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">serine-type endopeptidase activity (GO:0004252)</a>	
GFH14354	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14354" target="_blank">GFH14354</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008017" target="_blank">microtubule binding (GO:0008017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	
GFH14358	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14358" target="_blank">GFH14358</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH14359	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14359" target="_blank">GFH14359</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH14361	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14361" target="_blank">GFH14361</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02218" target="_blank">K02218</a>
GFH14362	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14362" target="_blank">GFH14362</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06185" target="_blank">K06185</a>
GFH14365	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14365" target="_blank">GFH14365</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000398" target="_blank">mRNA splicing, via spliceosome (GO:0000398)</a>	
GFH14366	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14366" target="_blank">GFH14366</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000398" target="_blank">mRNA splicing, via spliceosome (GO:0000398)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017070" target="_blank">U6 snRNA binding (GO:0017070)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030623" target="_blank">U5 snRNA binding (GO:0030623)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12856" target="_blank">K12856</a>
GFH14374	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14374" target="_blank">GFH14374</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:2001070" target="_blank">starch binding (GO:2001070)</a>	
GFH14399	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14399" target="_blank">GFH14399</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006413" target="_blank">translational initiation (GO:0006413)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003743" target="_blank">translation initiation factor activity (GO:0003743)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15025" target="_blank">K15025</a>
GFH14405	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14405" target="_blank">GFH14405</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02981" target="_blank">K02981</a>
GFH14419	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14419" target="_blank">GFH14419</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046488" target="_blank">phosphatidylinositol metabolic process (GO:0046488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016307" target="_blank">phosphatidylinositol phosphate kinase activity (GO:0016307)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00921" target="_blank">K00921</a>
GFH14422	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14422" target="_blank">GFH14422</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016788" target="_blank">hydrolase activity, acting on ester bonds (GO:0016788)</a>	
GFH14427	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14427" target="_blank">GFH14427</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH14434	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14434" target="_blank">GFH14434</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22184" target="_blank">K22184</a>
GFH14454	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14454" target="_blank">GFH14454</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006779" target="_blank">porphyrin-containing compound biosynthetic process (GO:0006779)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004853" target="_blank">uroporphyrinogen decarboxylase activity (GO:0004853)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01599" target="_blank">K01599</a>
GFH14461	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14461" target="_blank">GFH14461</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">serine-type peptidase activity (GO:0008236)</a>	
GFH14465	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14465" target="_blank">GFH14465</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20606" target="_blank">K20606</a>
GFH14469	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14469" target="_blank">GFH14469</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a>	
GFH14470	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14470" target="_blank">GFH14470</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016788" target="_blank">hydrolase activity, acting on ester bonds (GO:0016788)</a>	
GFH14472	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14472" target="_blank">GFH14472</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19372" target="_blank">K19372</a>
GFH14475	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14475" target="_blank">GFH14475</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030001" target="_blank">metal ion transport (GO:0030001)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046873" target="_blank">metal ion transmembrane transporter activity (GO:0046873)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14709" target="_blank">K14709</a>
GFH14476	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14476" target="_blank">GFH14476</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030001" target="_blank">metal ion transport (GO:0030001)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046873" target="_blank">metal ion transmembrane transporter activity (GO:0046873)</a>	
GFH14477	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14477" target="_blank">GFH14477</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015074" target="_blank">DNA integration (GO:0015074)</a>	
GFH14493	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14493" target="_blank">GFH14493</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a>	
GFH14503	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14503" target="_blank">GFH14503</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19355" target="_blank">K19355</a>
GFH14513	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14513" target="_blank">GFH14513</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004367" target="_blank">glycerol-3-phosphate dehydrogenase [NAD+] activity (GO:0004367)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046168" target="_blank">glycerol-3-phosphate catabolic process (GO:0046168)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051287" target="_blank">NAD binding (GO:0051287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a>	
GFH14515	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14515" target="_blank">GFH14515</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:2001070" target="_blank">starch binding (GO:2001070)</a>	
GFH14523	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14523" target="_blank">GFH14523</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	
GFH14533	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14533" target="_blank">GFH14533</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008017" target="_blank">microtubule binding (GO:0008017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	
GFH14541	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14541" target="_blank">GFH14541</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042910" target="_blank">xenobiotic transmembrane transporter activity (GO:0042910)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015297" target="_blank">antiporter activity (GO:0015297)</a>	
GFH14542	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14542" target="_blank">GFH14542</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042910" target="_blank">xenobiotic transmembrane transporter activity (GO:0042910)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015297" target="_blank">antiporter activity (GO:0015297)</a>	
GFH14556	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14556" target="_blank">GFH14556</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008113" target="_blank">peptide-methionine (S)-S-oxide reductase activity (GO:0008113)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07304" target="_blank">K07304</a>
GFH14559	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14559" target="_blank">GFH14559</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030117" target="_blank">membrane coat (GO:0030117)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12392" target="_blank">K12392</a>
GFH14560	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14560" target="_blank">GFH14560</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030117" target="_blank">membrane coat (GO:0030117)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a>	
GFH14566	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14566" target="_blank">GFH14566</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008237" target="_blank">metallopeptidase activity (GO:0008237)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08776" target="_blank">K08776</a>
GFH14569	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14569" target="_blank">GFH14569</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006694" target="_blank">steroid biosynthetic process (GO:0006694)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003854" target="_blank">3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)</a>	
GFH14570	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14570" target="_blank">GFH14570</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01784" target="_blank">K01784</a>
GFH14572	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14572" target="_blank">GFH14572</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046983" target="_blank">protein dimerization activity (GO:0046983)</a>	
GFH14575	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14575" target="_blank">GFH14575</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22696" target="_blank">K22696</a>
GFH14576	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14576" target="_blank">GFH14576</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004114" target="_blank">3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)</a>	
GFH14581	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14581" target="_blank">GFH14581</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12840" target="_blank">K12840</a>
