Gene ID	GO
Bathy04g03100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03100" target="_blank">Bathy04g03100</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">GO:0009058</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016779" target="_blank">GO:0016779</a>
Bathy04g03110	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03110" target="_blank">Bathy04g03110</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">GO:0007018</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">GO:0003777</a>
Bathy04g03160	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03160" target="_blank">Bathy04g03160</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0031072" target="_blank">GO:0031072</a>
Bathy04g03180	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03180" target="_blank">Bathy04g03180</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0031305" target="_blank">GO:0031305</a>
Bathy04g03210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03210" target="_blank">Bathy04g03210</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">GO:0006364</a>
Bathy04g03220	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03220" target="_blank">Bathy04g03220</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006486" target="_blank">GO:0006486</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030173" target="_blank">GO:0030173</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008373" target="_blank">GO:0008373</a>
Bathy04g03230	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03230" target="_blank">Bathy04g03230</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">GO:0003899</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a>
Bathy04g03240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03240" target="_blank">Bathy04g03240</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">GO:0003676</a>
Bathy04g03250	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03250" target="_blank">Bathy04g03250</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">GO:0016787</a>
Bathy04g03310	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03310" target="_blank">Bathy04g03310</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GO:0005525</a>
Bathy04g03340	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03340" target="_blank">Bathy04g03340</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a>
Bathy04g03370	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03370" target="_blank">Bathy04g03370</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0050661" target="_blank">GO:0050661</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006098" target="_blank">GO:0006098</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004616" target="_blank">GO:0004616</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a>
Bathy04g03390	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03390" target="_blank">Bathy04g03390</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">GO:0005488</a>
Bathy04g03420	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03420" target="_blank">Bathy04g03420</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005815" target="_blank">GO:0005815</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000922" target="_blank">GO:0000922</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000226" target="_blank">GO:0000226</a>
Bathy04g03430	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03430" target="_blank">Bathy04g03430</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">GO:0005737</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017000" target="_blank">GO:0017000</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
Bathy04g03440	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03440" target="_blank">Bathy04g03440</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
Bathy04g03480	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03480" target="_blank">Bathy04g03480</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015991" target="_blank">GO:0015991</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0033180" target="_blank">GO:0033180</a>
Bathy04g03490	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03490" target="_blank">Bathy04g03490</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016307" target="_blank">GO:0016307</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046488" target="_blank">GO:0046488</a>
Bathy04g03520	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03520" target="_blank">Bathy04g03520</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016757" target="_blank">GO:0016757</a>
Bathy04g03540	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03540" target="_blank">Bathy04g03540</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">GO:0008270</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a>
Bathy04g03560	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03560" target="_blank">Bathy04g03560</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">GO:0000287</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GO:0005525</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GO:0003924</a>
Bathy04g03580	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03580" target="_blank">Bathy04g03580</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016070" target="_blank">GO:0016070</a>
Bathy04g03600	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03600" target="_blank">Bathy04g03600</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GO:0005525</a>
Bathy04g03610	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03610" target="_blank">Bathy04g03610</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">GO:0016887</a>
Bathy04g03620	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03620" target="_blank">Bathy04g03620</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030151" target="_blank">GO:0030151</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">GO:0030170</a>
Bathy04g03640	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03640" target="_blank">Bathy04g03640</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006396" target="_blank">GO:0006396</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">GO:0003723</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004525" target="_blank">GO:0004525</a>
Bathy04g03680	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03680" target="_blank">Bathy04g03680</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a>
Bathy04g03710	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03710" target="_blank">Bathy04g03710</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
Bathy04g03720	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03720" target="_blank">Bathy04g03720</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004318" target="_blank">GO:0004318</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006633" target="_blank">GO:0006633</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a>
Bathy04g03730	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03730" target="_blank">Bathy04g03730</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a>
Bathy04g03750	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03750" target="_blank">Bathy04g03750</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">GO:0003676</a>
Bathy04g03760	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03760" target="_blank">Bathy04g03760</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">GO:0004252</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a>
Bathy04g03800	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03800" target="_blank">Bathy04g03800</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
Bathy04g03850	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03850" target="_blank">Bathy04g03850</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy04g03870	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03870" target="_blank">Bathy04g03870</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006754" target="_blank">GO:0006754</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015662" target="_blank">GO:0015662</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a>
Bathy04g03880	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03880" target="_blank">Bathy04g03880</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a>
Bathy04g03920	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03920" target="_blank">Bathy04g03920</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008612" target="_blank">GO:0008612</a>
Bathy04g03960	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03960" target="_blank">Bathy04g03960</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy04g03990	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g03990" target="_blank">Bathy04g03990</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000049" target="_blank">GO:0000049</a>
Bathy04g04000	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g04000" target="_blank">Bathy04g04000</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy04g04020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g04020" target="_blank">Bathy04g04020</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008299" target="_blank">GO:0008299</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy04g04030	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g04030" target="_blank">Bathy04g04030</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016773" target="_blank">GO:0016773</a>
Bathy04g04040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy04g04040" target="_blank">Bathy04g04040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy06g01990	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g01990" target="_blank">Bathy06g01990</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">GO:0004553</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">GO:0005975</a>
Bathy06g02000	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02000" target="_blank">Bathy06g02000</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016671" target="_blank">GO:0016671</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019538" target="_blank">GO:0019538</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a>
Bathy06g02030	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02030" target="_blank">Bathy06g02030</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">GO:0008270</a>
Bathy06g02050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02050" target="_blank">Bathy06g02050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
Bathy06g02070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02070" target="_blank">Bathy06g02070</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">GO:0016787</a>
Bathy06g02100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02100" target="_blank">Bathy06g02100</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006626" target="_blank">GO:0006626</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045039" target="_blank">GO:0045039</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042719" target="_blank">GO:0042719</a>
Bathy06g02110	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02110" target="_blank">Bathy06g02110</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy06g02140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02140" target="_blank">Bathy06g02140</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">GO:0050660</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
Bathy06g02150	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02150" target="_blank">Bathy06g02150</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004372" target="_blank">GO:0004372</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006544" target="_blank">GO:0006544</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006563" target="_blank">GO:0006563</a>
Bathy06g02180	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02180" target="_blank">Bathy06g02180</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008233" target="_blank">GO:0008233</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">GO:0006508</a>
Bathy06g02200	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02200" target="_blank">Bathy06g02200</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy06g02210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02210" target="_blank">Bathy06g02210</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0043169" target="_blank">GO:0043169</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">GO:0005975</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy06g02220	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02220" target="_blank">Bathy06g02220</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">GO:0000166</a>
Bathy06g02240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02240" target="_blank">Bathy06g02240</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a>
Bathy06g02250	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02250" target="_blank">Bathy06g02250</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">GO:0030170</a>
Bathy06g02260	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02260" target="_blank">Bathy06g02260</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">GO:0016787</a>
Bathy06g02280	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02280" target="_blank">Bathy06g02280</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">GO:0005488</a>
Bathy06g02290	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02290" target="_blank">Bathy06g02290</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
Bathy06g02310	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02310" target="_blank">Bathy06g02310</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">GO:0045454</a>
Bathy06g02350	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02350" target="_blank">Bathy06g02350</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004332" target="_blank">GO:0004332</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006096" target="_blank">GO:0006096</a>
Bathy06g02360	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02360" target="_blank">Bathy06g02360</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a>
Bathy06g02370	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02370" target="_blank">Bathy06g02370</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006486" target="_blank">GO:0006486</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030173" target="_blank">GO:0030173</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008373" target="_blank">GO:0008373</a>
Bathy06g02380	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02380" target="_blank">Bathy06g02380</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004497" target="_blank">GO:0004497</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a>
Bathy06g02410	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02410" target="_blank">Bathy06g02410</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy06g02420	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02420" target="_blank">Bathy06g02420</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005694" target="_blank">GO:0005694</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0018024" target="_blank">GO:0018024</a>
Bathy06g02440	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02440" target="_blank">Bathy06g02440</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016627" target="_blank">GO:0016627</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">GO:0005737</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">GO:0006629</a>
Bathy06g02460	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02460" target="_blank">Bathy06g02460</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">GO:0055085</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015238" target="_blank">GO:0015238</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015297" target="_blank">GO:0015297</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006855" target="_blank">GO:0006855</a>
Bathy06g02490	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02490" target="_blank">Bathy06g02490</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006979" target="_blank">GO:0006979</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004602" target="_blank">GO:0004602</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a>
Bathy06g02500	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02500" target="_blank">Bathy06g02500</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006486" target="_blank">GO:0006486</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030173" target="_blank">GO:0030173</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008373" target="_blank">GO:0008373</a>
Bathy06g02510	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02510" target="_blank">Bathy06g02510</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006511" target="_blank">GO:0006511</a>
Bathy06g02560	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02560" target="_blank">Bathy06g02560</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a>
Bathy06g02580	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02580" target="_blank">Bathy06g02580</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a>
Bathy06g02590	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02590" target="_blank">Bathy06g02590</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">GO:0043565</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">GO:0008270</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">GO:0003700</a>
Bathy06g02610	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02610" target="_blank">Bathy06g02610</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016773" target="_blank">GO:0016773</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">GO:0005975</a>
Bathy06g02640	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02640" target="_blank">Bathy06g02640</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy06g02650	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02650" target="_blank">Bathy06g02650</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">GO:0003723</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004654" target="_blank">GO:0004654</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006402" target="_blank">GO:0006402</a>
Bathy06g02660	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02660" target="_blank">Bathy06g02660</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">GO:0003723</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004654" target="_blank">GO:0004654</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006402" target="_blank">GO:0006402</a>
Bathy06g02670	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02670" target="_blank">Bathy06g02670</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016070" target="_blank">GO:0016070</a>
Bathy06g02690	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02690" target="_blank">Bathy06g02690</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy06g02710	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02710" target="_blank">Bathy06g02710</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">GO:0003899</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a>
Bathy06g02720	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02720" target="_blank">Bathy06g02720</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">GO:0055085</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046873" target="_blank">GO:0046873</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030001" target="_blank">GO:0030001</a>
Bathy06g02750	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy06g02750" target="_blank">Bathy06g02750</a>	
