feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	42075	43579	+						17362703	NGA_0559600	1505		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	42075	43579	+	XM_005855866.1		XP_005855928.1	dna cross-link repair protein pso2		17362703	NGA_0559600	337	337	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	42154	43579	+	XP_005855928.1		XM_005855866.1	dna cross-link repair protein pso2		17362703	NGA_0559600	258	85	
gene	pseudogene	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	45071	46521	-				hypothetical protein		17362702	NGA_0560100	1451		pseudo
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	47210	47353	-						17362706	NGA_0560200	144		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	47210	47353	-	XM_005855871.1		XP_005855933.1	hypothetical protein		17362706	NGA_0560200	119	119	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	47210	47293	-	XP_005855933.1		XM_005855871.1	hypothetical protein		17362706	NGA_0560200	84	28	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	48734	50002	+						17362707	NGA_0559500	1269		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	48734	50002	+	XM_005855865.1		XP_005855927.1	hypothetical protein		17362707	NGA_0559500	906	906	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	48734	50002	+	XP_005855927.1		XM_005855865.1	hypothetical protein		17362707	NGA_0559500	906	301	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	52911	54093	-						17362705	NGA_0560000	1183		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	52911	54093	-	XM_005855870.1		XP_005855932.1	hypothetical protein		17362705	NGA_0560000	755	755	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	52968	54079	-	XP_005855932.1		XM_005855870.1	hypothetical protein		17362705	NGA_0560000	684	227	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	54757	55778	-						17362704	NGA_0559900	1022		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	54757	55778	-	XM_005855869.1		XP_005855931.1	hydrolase involved in interstrand cross-link repair		17362704	NGA_0559900	672	672	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	54757	55778	-	XP_005855931.1		XM_005855869.1	hydrolase involved in interstrand cross-link repair		17362704	NGA_0559900	672	223	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	65298	65841	+						17362700	NGA_0559400	544		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	65298	65841	+	XM_005855864.1		XP_005855926.1	hypothetical protein		17362700	NGA_0559400	366	366	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803873.1	65298	65841	+	XP_005855926.1		XM_005855864.1	hypothetical protein		17362700	NGA_0559400	366	121	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803872.1	67902	68182	-						17362697	NGA_2051600	281		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803872.1	67902	68182	-	XM_005855863.1		XP_005855925.1	hypothetical protein		17362697	NGA_2051600	281	281	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803872.1	67902	68182	-	XP_005855925.1		XM_005855863.1	hypothetical protein		17362697	NGA_2051600	281	93	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803872.1	70163	70264	-						17362698	NGA_2001210	102		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803872.1	70163	70264	-	XM_005855862.1		XP_005855924.1	hypothetical protein		17362698	NGA_2001210	102	102	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803872.1	70164	70264	-	XP_005855924.1		XM_005855862.1	hypothetical protein		17362698	NGA_2001210	101	32	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803871.1	6306	7724	-						17362695	NGA_2005310	1419		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803871.1	6306	7724	-	XM_005855860.1		XP_005855922.1	hypothetical protein		17362695	NGA_2005310	1419	1419	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803871.1	6306	7550	-	XP_005855922.1		XM_005855860.1	hypothetical protein		17362695	NGA_2005310	1245	415	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803871.1	23998	24818	-						17362696	NGA_2114910	821		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803871.1	23998	24818	-	XM_005855861.1		XP_005855923.1	transcriptional coactivator pterin dehydratase		17362696	NGA_2114910	821	821	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803871.1	24264	24800	-	XP_005855923.1		XM_005855861.1	transcriptional coactivator pterin dehydratase		17362696	NGA_2114910	537	178	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	35381	36179	-						17362694	NGA_2071200	799		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	35381	36179	-	XM_005855858.1		XP_005855920.1	isochorismatase hydrolase		17362694	NGA_2071200	799	799	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	35430	36179	-	XP_005855920.1		XM_005855858.1	isochorismatase hydrolase		17362694	NGA_2071200	750	249	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	50798	51321	+						17362692	NGA_2011500	524		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	50798	51321	+	XM_005855856.1		XP_005855918.1	phd zinc finger-containing protein		17362692	NGA_2011500	524	524	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	50798	51321	+	XP_005855918.1		XM_005855856.1	phd zinc finger-containing protein		17362692	NGA_2011500	524	174	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	68010	68221	+						17362691	NGA_2067500	212		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	68010	68221	+	XM_005855857.1		XP_005855919.1	hypothetical protein		17362691	NGA_2067500	212	212	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	68010	68221	+	XP_005855919.1		XM_005855857.1	hypothetical protein		17362691	NGA_2067500	212	71	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	68431	68753	+						17362693	NGA_2117400	323		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	68431	68753	+	XM_005855859.1		XP_005855921.1	hypothetical protein		17362693	NGA_2117400	323	323	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803870.1	68431	68753	+	XP_005855921.1		XM_005855859.1	hypothetical protein		17362693	NGA_2117400	323	107	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803869.1	17675	18543	-						17362689	NGA_2094600	869		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803869.1	17675	18543	-	XM_005855854.1		XP_005855916.1	sulfate transporter family domain-containing protein		17362689	NGA_2094600	869	869	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803869.1	17675	18543	-	XP_005855916.1		XM_005855854.1	sulfate transporter family domain-containing protein		17362689	NGA_2094600	869	289	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803869.1	47402	47681	-						17362690	NGA_2107400	280		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803869.1	47402	47681	-	XM_005855855.1		XP_005855917.1	endonuclease-like protein		17362690	NGA_2107400	280	280	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803869.1	47402	47681	-	XP_005855917.1		XM_005855855.1	endonuclease-like protein		17362690	NGA_2107400	280	92	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803867.1	28214	29130	+						17362688	NGA_2012700	917		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803867.1	28214	29130	+	XM_005855853.1		XP_005855915.1	mitochondrial 28s ribosomal s29-like protein		17362688	NGA_2012700	917	917	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803867.1	28214	29130	+	XP_005855915.1		XM_005855853.1	mitochondrial 28s ribosomal s29-like protein		17362688	NGA_2012700	917	306	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	3064	4596	+						17362686	NGA_0555900	1533		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	3064	4596	+	XM_005855843.1		XP_005855905.1	hypothetical protein		17362686	NGA_0555900	532	532	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	3064	4511	+	XP_005855905.1		XM_005855843.1	hypothetical protein		17362686	NGA_0555900	447	148	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	9706	10072	-						17362684	NGA_0556300	367		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	9706	10072	-	XM_005855847.1		XP_005855909.1	hypothetical protein		17362684	NGA_0556300	103	103	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	9706	10002	-	XP_005855909.1		XM_005855847.1	hypothetical protein		17362684	NGA_0556300	33	11	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	10812	11521	-						17362682	NGA_0556100	710		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	10812	11521	-	XM_005855845.1		XP_005855907.1	hypothetical protein		17362682	NGA_0556100	228	228	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	10812	11521	-	XP_005855907.1		XM_005855845.1	hypothetical protein		17362682	NGA_0556100	228	76	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	19611	20002	+						17362676	NGA_0556600	392		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	19611	20002	+	XM_005855850.1		XP_005855912.1	amidase		17362676	NGA_0556600	159	159	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	19611	20002	+	XP_005855912.1		XM_005855850.1	amidase		17362676	NGA_0556600	159	52	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	24767	25329	+						17362679	NGA_0555700	563		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	24767	25329	+	XM_005855842.1		XP_005855904.1	amidase		17362679	NGA_0555700	291	291	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	24803	25329	+	XP_005855904.1		XM_005855842.1	amidase		17362679	NGA_0555700	255	85	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	27396	27540	+						17362675	NGA_0556700	145		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	27396	27540	+	XM_005855851.1		XP_005855913.1	hypothetical protein		17362675	NGA_0556700	145	145	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	27454	27540	+	XP_005855913.1		XM_005855851.1	hypothetical protein		17362675	NGA_0556700	87	29	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	29477	30773	-						17362685	NGA_0556200	1297		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	29477	30773	-	XM_005855846.1		XP_005855908.1	protein kinase		17362685	NGA_0556200	321	321	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	29477	30773	-	XP_005855908.1		XM_005855846.1	protein kinase		17362685	NGA_0556200	321	106	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	35698	35948	-						17362677	NGA_0556400	251		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	35698	35948	-	XM_005855848.1		XP_005855910.1	hypothetical protein		17362677	NGA_0556400	114	114	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	35698	35948	-	XP_005855910.1		XM_005855848.1	hypothetical protein		17362677	NGA_0556400	114	38	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	37742	43051	-						17362680	NGA_0556000	5310		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	37742	43051	-	XM_005855844.1		XP_005855906.1	deah (asp-glu-ala-his) box polypeptide 9		17362680	NGA_0556000	2028	2028	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	37742	43051	-	XP_005855906.1		XM_005855844.1	deah (asp-glu-ala-his) box polypeptide 9		17362680	NGA_0556000	2028	676	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	55480	56233	-						17362683	NGA_0556500	754		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	55480	56233	-	XM_005855849.1		XP_005855911.1	hypothetical protein		17362683	NGA_0556500	567	567	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	55480	56233	-	XP_005855911.1		XM_005855849.1	hypothetical protein		17362683	NGA_0556500	567	189	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	60262	60981	+						17362681	NGA_0503602	720		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	60262	60981	+	XM_005855840.1		XP_005855902.1	hypothetical protein		17362681	NGA_0503602	720	720	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	60262	60981	+	XP_005855902.1		XM_005855840.1	hypothetical protein		17362681	NGA_0503602	720	239	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	62000	63897	+						17362687	NGA_0555600	1898		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	62000	63897	+	XM_005855841.1		XP_005855903.1	magnesium and cobalt efflux protein		17362687	NGA_0555600	1503	1503	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	62000	63897	+	XP_005855903.1		XM_005855841.1	magnesium and cobalt efflux protein		17362687	NGA_0555600	1503	501	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	66471	67956	+						17362678	NGA_0715620	1486		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	66471	67956	+	XM_005855852.1		XP_005855914.1	hypothetical protein		17362678	NGA_0715620	1024	1024	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803866.1	66637	67956	+	XP_005855914.1		XM_005855852.1	hypothetical protein		17362678	NGA_0715620	858	286	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	51873	52126	-						17362670	NGA_2080800	254		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	51873	52126	-	XM_005855836.1		XP_005855898.1	hypothetical protein		17362670	NGA_2080800	254	254	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	51873	52126	-	XP_005855898.1		XM_005855836.1	hypothetical protein		17362670	NGA_2080800	254	85	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	54006	54949	-						17362674	NGA_2087900	944		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	54006	54949	-	XM_005855837.1		XP_005855899.1	methyltransferase type 11		17362674	NGA_2087900	944	944	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	54121	54873	-	XP_005855899.1		XM_005855837.1	methyltransferase type 11		17362674	NGA_2087900	753	250	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	57685	58269	+						17362672	NGA_2065400	585		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	57685	58269	+	XM_005855835.1		XP_005855897.1	hypothetical protein		17362672	NGA_2065400	585	585	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	57938	58240	+	XP_005855897.1		XM_005855835.1	hypothetical protein		17362672	NGA_2065400	303	100	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	58340	60846	-					ABCG2	17362669	NGA_2093500	2507		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	58340	60846	-	XM_005855838.1		XP_005855900.1	ATP-binding cassette, subfamily G, member 2	ABCG2	17362669	NGA_2093500	2507	2507	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	58846	60846	-	XP_005855900.1		XM_005855838.1	ATP-binding cassette, subfamily G, member 2	ABCG2	17362669	NGA_2093500	2001	666	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	61463	62892	-						17362671	NGA_2021500	1430		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	61463	62892	-	XM_005855834.1		XP_005855896.1	putative atp-dependent rna helicase ddx31		17362671	NGA_2021500	1430	1430	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	61647	62892	-	XP_005855896.1		XM_005855834.1	putative atp-dependent rna helicase ddx31		17362671	NGA_2021500	1246	414	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	62875	64757	-						17362673	NGA_2110300	1883		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	62875	64757	-	XM_005855839.1		XP_005855901.1	dead box atp-dependent rna		17362673	NGA_2110300	1883	1883	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803865.1	62875	64592	-	XP_005855901.1		XM_005855839.1	dead box atp-dependent rna		17362673	NGA_2110300	1718	573	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	5583	6571	+						17362662	NGA_0556900	989		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	5583	6571	+	XM_005855828.1		XP_005855890.1	hypothetical protein		17362662	NGA_0556900	498	498	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	5673	6571	+	XP_005855890.1		XM_005855828.1	hypothetical protein		17362662	NGA_0556900	408	135	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	14364	16786	+						17362668	NGA_0556800	2423		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	14364	16786	+	XM_005855827.1		XP_005855889.1	peroxiredoxin q		17362668	NGA_0556800	1568	1568	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	14410	15807	+	XP_005855889.1		XM_005855827.1	peroxiredoxin q		17362668	NGA_0556800	543	180	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	20446	21150	-						17362663	NGA_0557400	705		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	20446	21150	-	XM_005855833.1		XP_005855895.1	3-oxoacid - b subunit		17362663	NGA_0557400	192	192	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	20446	21150	-	XP_005855895.1		XM_005855833.1	3-oxoacid - b subunit		17362663	NGA_0557400	192	63	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	29793	30876	-						17362665	NGA_0557000	1084		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	29793	30876	-	XM_005855829.1		XP_005855891.1	hypothetical protein		17362665	NGA_0557000	559	559	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	29793	30845	-	XP_005855891.1		XM_005855829.1	hypothetical protein		17362665	NGA_0557000	528	176	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	42915	43784	-						17362664	NGA_0557100	870		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	42915	43784	-	XM_005855830.1		XP_005855892.1	hypothetical protein		17362664	NGA_0557100	870	870	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	42915	43784	-	XP_005855892.1		XM_005855830.1	hypothetical protein		17362664	NGA_0557100	870	289	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	44377	45883	-						17362666	NGA_0557300	1507		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	44377	45883	-	XM_005855832.1		XP_005855894.1	hypothetical protein		17362666	NGA_0557300	1190	1190	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	45242	45883	-	XP_005855894.1		XM_005855832.1	hypothetical protein		17362666	NGA_0557300	642	213	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	58477	59780	-						17362667	NGA_0557200	1304		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	58477	59780	-	XM_005855831.1		XP_005855893.1	hypothetical protein		17362667	NGA_0557200	804	804	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803864.1	58477	59780	-	XP_005855893.1		XM_005855831.1	hypothetical protein		17362667	NGA_0557200	804	267	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	5012	5610	-					LPAAT	17362658	NGA_2112220	599		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	5012	5610	-	XM_005855826.1		XP_005855888.1	1-acylglycerol-3-phosphate O-acyltransferase	LPAAT	17362658	NGA_2112220	599	599	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	5012	5610	-	XP_005855888.1		XM_005855826.1	1-acylglycerol-3-phosphate O-acyltransferase	LPAAT	17362658	NGA_2112220	599	199	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	11291	12754	+						17362657	NGA_2005520	1464		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	11291	12754	+	XM_005855817.1		XP_005855879.1	hypothetical protein		17362657	NGA_2005520	1361	1361	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	11516	12685	+	XP_005855879.1		XM_005855817.1	hypothetical protein		17362657	NGA_2005520	1170	389	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	15824	16576	+						17362659	NGA_2080420	753		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	15824	16576	+	XM_005855821.1		XP_005855883.1	mitochondrial carrier domain-containing protein		17362659	NGA_2080420	753	753	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	15872	16138	+	XP_005855883.1		XM_005855821.1	mitochondrial carrier domain-containing protein		17362659	NGA_2080420	267	88	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	27062	28101	-						17362656	NGA_2087520	1040		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	27062	28101	-	XM_005855822.1		XP_005855884.1	hypothetical protein		17362656	NGA_2087520	1040	1040	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	27251	28084	-	XP_005855884.1		XM_005855822.1	hypothetical protein		17362656	NGA_2087520	834	277	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	34821	36107	-						17362652	NGA_2078120	1287		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	34821	36107	-	XM_005855820.1		XP_005855882.1	hypothetical protein		17362652	NGA_2078120	1287	1287	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	35198	36107	-	XP_005855882.1		XM_005855820.1	hypothetical protein		17362652	NGA_2078120	910	302	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	36109	36691	-						17362655	NGA_2047120	583		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	36109	36691	-	XM_005855819.1		XP_005855881.1	wd repeat and hmg-box dna-binding protein 1		17362655	NGA_2047120	583	583	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	36109	36691	-	XP_005855881.1		XM_005855819.1	wd repeat and hmg-box dna-binding protein 1		17362655	NGA_2047120	583	194	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	39410	40434	+						17362661	NGA_2008100	1025		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	39410	40434	+	XM_005855818.1		XP_005855880.1	pseudouridine synthase 1-like protein		17362661	NGA_2008100	1025	1025	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	39410	40434	+	XP_005855880.1		XM_005855818.1	pseudouridine synthase 1-like protein		17362661	NGA_2008100	1025	341	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	47025	47392	-						17362660	NGA_2105000	368		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	47025	47392	-	XM_005855823.1		XP_005855885.1	erg28 like protein		17362660	NGA_2105000	368	368	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	47025	47392	-	XP_005855885.1		XM_005855823.1	erg28 like protein		17362660	NGA_2105000	368	122	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803863.1	57362	57552	+						17362653	NGA_2107600	191		partial
